Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12
1,0.013476736,0.07812907,0.218054655,0.39824201,-0.578113287,0.80073752,-0.879603774,0.978102326,-0.886856878,0.857259151,-0.795544642,0.695120097
2,0.045188009,0.236435616,0.580387492,0.889091363,-1,0.981145434,-0.619099179,0.190460799,0.240718504,-0.579384669,0.810689842,-0.941061212
3,0.093099191,0.431491182,0.885146328,1,-0.582916135,-0.084851703,0.699771854,-0.963874918,0.647032208,-0.14954725,-0.426845213,1
4,0.156267848,0.620144324,0.96472886,0.538784246,0.393619897,-1,0.654396405,0.206005531,-0.790992229,0.768809481,-0.160844381,-0.900481422
5,0.233501034,0.761216035,0.741005018,-0.271362831,0.94925017,-0.39628753,-0.703751894,0.885172059,0.050331283,-0.825335952,0.681428746,0.721809365
6,0.322223706,0.823617503,0.272943806,-0.915410639,0.480604816,0.842682007,-0.659746758,-0.660064981,0.75148495,0.33221801,-0.966950437,-0.515854322
7,0.421021023,0.777102874,-0.292507795,-0.919589466,-0.549634796,0.750064233,0.774858708,-0.511195542,-0.828777883,0.35541202,1,0.337160006
8,0.528284642,0.605821066,-0.743338507,-0.230059875,-0.95473584,-0.603857959,0.551005193,1,0.160324389,-0.861501555,-0.853327416,-0.20575887
9,0.641465368,0.322386547,-0.89338731,0.649003444,-0.224380355,-0.975325368,-0.916390376,-0.212714918,0.646169089,1,0.611326649,0.113189254
10,0.758886349,-0.06022535,-0.608219862,0.989087853,0.788608657,0.380985964,-0.284036681,-0.840544314,-1,-0.821166944,-0.372895885,-0.056136728
11,0.878945586,-0.514756585,0.090295463,0.371178295,0.676660175,0.988307951,1,0.958132137,0.724936792,0.460076435,0.176966963,0.023364664
12,1,-1,1,-0.895699167,-0.679739355,-0.631865783,-0.467962586,-0.357791344,-0.230009057,-0.129890957,-0.045897861,-0.005637071
