story,story drift ratio
1,0.000989054
2,0.002679485
3,0.004039647
4,0.005315025
5,0.00648751
6,0.00744468
7,0.00828508
8,0.008994859
9,0.009495986
10,0.009859638
11,0.010090362
12,0.010182086
