Modes,Modal periods
1,0.77013284
2,0.134731507
3,0.049589924
4,0.025576948
5,0.015177708
6,0.010253478
7,0.007366586
8,0.005574386
9,0.004422703
10,0.003658507
11,0.003127015
12,0.002683708
