story,story drift ratio
1,0.002016386
2,0.005343231
3,0.007876157
4,0.010152846
5,0.012194946
6,0.013846362
7,0.015338312
8,0.016693264
9,0.017764133
10,0.018601366
11,0.019193698
12,0.01952157
