Modes,Modal periods
1,2.691034116
2,0.472607284
3,0.171777863
4,0.088344338
5,0.052620255
6,0.035563212
7,0.025489976
8,0.019313586
9,0.015299125
10,0.012670808
11,0.01097011
12,0.009395718
