rp,direction,ground_motion,story_1,story_2,story_3,story_4
43,1,median,0.00130463530909534,0.00164285778680466,0.00159635818233924,0.00145827953195384
43,2,median,0.00130463530909534,0.00164285778680466,0.00159635818233924,0.00145827953195384
72,1,median,0.001883158069883,0.00237136069928737,0.00230424147847145,0.00210493373098137
72,2,median,0.001883158069883,0.00237136069928737,0.00230424147847145,0.00210493373098137
108,1,median,0.0024784093711086,0.00312092897212691,0.00303259389897928,0.00277028655632234
108,2,median,0.0024784093711086,0.00312092897212691,0.00303259389897928,0.00277028655632234
224,1,median,0.00473325421082361,0.00601175703767652,0.00452613921162351,0.00354291386689629
224,2,median,0.00473325421082361,0.00601175703767652,0.00452613921162351,0.00354291386689629
475,1,median,0.00774539092301834,0.00987238580777495,0.0065480384284039,0.00461196650211554
475,2,median,0.00774539092301834,0.00987238580777495,0.0065480384284039,0.00461196650211554
975,1,median,0.0105570452095156,0.0135065369224638,0.00768527932558543,0.00457392799611429
975,2,median,0.0105570452095156,0.0135065369224638,0.00768527932558543,0.00457392799611429
2475,1,median,0.0172049403194749,0.0205572553969998,0.0105432417702168,0.0053884345872901
2475,2,median,0.0172049403194749,0.0205572553969998,0.0105432417702168,0.0053884345872901
4975,1,median,0.0244188534433797,0.0284750595415134,0.0137686267939037,0.00632485995604266
4975,2,median,0.0244188534433797,0.0284750595415134,0.0137686267939037,0.00632485995604266
