id,type,node_1,node_2,direction,ele_side,element_id,story,ele_direction
1,rotational,6069,6000,primary,1,1,1,x
2,rotational,6070,6020,primary,2,1,1,x
3,rotational,6071,6021,primary,1,2,1,x
4,rotational,6072,6023,primary,2,2,1,x
5,rotational,6073,6003,primary,1,3,1,x
6,rotational,6074,6022,primary,2,3,1,x
7,rotational,6075,6024,primary,1,4,1,x
8,rotational,6076,6026,primary,2,4,1,x
9,rotational,6077,6005,primary,1,5,1,x
10,rotational,6078,6025,primary,2,5,1,x
11,rotational,6079,6027,primary,1,6,1,x
12,rotational,6080,6029,primary,2,6,1,x
13,rotational,6081,6007,primary,1,7,1,x
14,rotational,6082,6028,primary,2,7,1,x
15,rotational,6083,6001,primary,1,8,2,x
16,rotational,6084,6030,primary,2,8,2,x
17,rotational,6085,6031,primary,1,9,2,x
18,rotational,6086,6033,primary,2,9,2,x
19,rotational,6087,6002,primary,1,10,2,x
20,rotational,6088,6032,primary,2,10,2,x
21,rotational,6089,6034,primary,1,11,2,x
22,rotational,6090,6036,primary,2,11,2,x
23,rotational,6091,6004,primary,1,12,2,x
24,rotational,6092,6035,primary,2,12,2,x
25,rotational,6093,6037,primary,1,13,2,x
26,rotational,6094,6039,primary,2,13,2,x
27,rotational,6095,6006,primary,1,14,2,x
28,rotational,6096,6038,primary,2,14,2,x
29,rotational,6097,6008,primary,1,15,3,x
30,rotational,6098,6040,primary,2,15,3,x
31,rotational,6099,6041,primary,1,16,3,x
32,rotational,6100,6043,primary,2,16,3,x
33,rotational,6101,6009,primary,1,17,3,x
34,rotational,6102,6042,primary,2,17,3,x
35,rotational,6103,6044,primary,1,18,3,x
36,rotational,6104,6046,primary,2,18,3,x
37,rotational,6105,6010,primary,1,19,3,x
38,rotational,6106,6045,primary,2,19,3,x
39,rotational,6107,6047,primary,1,20,3,x
40,rotational,6108,6049,primary,2,20,3,x
41,rotational,6109,6011,primary,1,21,3,x
42,rotational,6110,6048,primary,2,21,3,x
43,rotational,6111,6012,primary,1,22,4,x
44,rotational,6112,6050,primary,2,22,4,x
45,rotational,6113,6051,primary,1,23,4,x
46,rotational,6114,6053,primary,2,23,4,x
47,rotational,6115,6013,primary,1,24,4,x
48,rotational,6116,6052,primary,2,24,4,x
49,rotational,6117,6054,primary,1,25,4,x
50,rotational,6118,6056,primary,2,25,4,x
51,rotational,6119,6014,primary,1,26,4,x
52,rotational,6120,6055,primary,2,26,4,x
53,rotational,6121,6057,primary,1,27,4,x
54,rotational,6122,6059,primary,2,27,4,x
55,rotational,6123,6015,primary,1,28,4,x
56,rotational,6124,6058,primary,2,28,4,x
