rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12
43,1,1,0.000417261,0.000877126,0.00121712,0.00159013,0.00188638,0.0020863,0.00227731,0.00240269,0.00249339,0.00255618,0.00258795,0.0025954
43,1,2,0.000364823,0.00077023,0.00112579,0.00148308,0.00179204,0.00207753,0.00244138,0.00272387,0.00291829,0.00303609,0.00309127,0.00310437
43,1,3,0.00065371,0.00120853,0.00162934,0.00211632,0.00267891,0.0032245,0.00377768,0.00406226,0.00420749,0.00431818,0.00437352,0.00438469
43,1,4,0.000576734,0.000827535,0.00096812,0.00111347,0.00123791,0.00132087,0.00156283,0.00171012,0.00190511,0.002192,0.00215843,0.00217153
43,1,5,0.000717405,0.00117095,0.00137783,0.00170235,0.00202018,0.00223633,0.00256742,0.00290921,0.00306806,0.00315469,0.00319158,0.00319999
43,1,6,0.000543075,0.000902941,0.00118549,0.00146434,0.00179476,0.0020546,0.00235714,0.00257724,0.00270012,0.00279461,0.00281809,0.0028242
43,1,7,0.000448514,0.000800825,0.00107506,0.00128959,0.00154915,0.00173412,0.00209435,0.0022472,0.00239386,0.00248946,0.0025211,0.00252873
43,1,8,0.000764553,0.00132235,0.00180262,0.0023085,0.00272884,0.00307385,0.00363018,0.00395633,0.00421755,0.00436507,0.00442396,0.00443789
43,1,9,0.000847987,0.00135808,0.00163333,0.00190948,0.00209803,0.00239037,0.00270817,0.00309382,0.00330976,0.00358779,0.00374163,0.00369739
43,1,10,0.00105971,0.00163153,0.00213663,0.00273429,0.00324555,0.00366512,0.00414323,0.00449929,0.00481856,0.00492821,0.00496867,0.00497678
43,1,11,0.000682362,0.00138008,0.00186121,0.00237508,0.00285037,0.00326132,0.00342856,0.00357163,0.00373362,0.00399736,0.00402421,0.00403895
43,1,12,0.00064823,0.000840322,0.000955637,0.00108125,0.00135297,0.00143905,0.00176872,0.00186242,0.00217491,0.00238667,0.00245785,0.00247562
43,1,13,0.00110174,0.00172632,0.00214995,0.00241682,0.0027039,0.00297015,0.00331842,0.00352156,0.00402596,0.0048056,0.00546072,0.00522233
43,1,14,0.000828351,0.00130327,0.00173412,0.00197508,0.00233364,0.00239124,0.00281969,0.00353574,0.00397784,0.00427794,0.00427132,0.00428877
43,1,15,0.000445006,0.000854861,0.0011156,0.001383,0.00164027,0.0018328,0.00208181,0.00226849,0.00234667,0.00239533,0.00241762,0.00242274
43,1,16,0.000583243,0.000864299,0.00119097,0.0014213,0.00166656,0.00185063,0.00199867,0.00230604,0.00244412,0.00251833,0.00255554,0.00256562
43,1,17,0.000707681,0.00152445,0.0019335,0.00239003,0.00281543,0.00304512,0.0033068,0.00348143,0.00365121,0.00373848,0.00376456,0.00377024
43,1,18,0.000721578,0.00138672,0.00184641,0.00232584,0.00273488,0.00305851,0.00356097,0.00392376,0.00413608,0.00430069,0.00433257,0.00434121
43,1,19,0.000150258,0.000318318,0.00041522,0.000491145,0.000537638,0.000586874,0.000709746,0.000817803,0.000899294,0.0009544,0.000982896,0.000990085
43,1,20,0.00047656,0.000884031,0.00114606,0.0013824,0.00161154,0.00179292,0.00199392,0.00214962,0.00222779,0.00227763,0.00230152,0.00230733
43,1,21,0.00050411,0.000921472,0.00122117,0.00150235,0.00180096,0.00216754,0.00244829,0.00271536,0.00287358,0.00296112,0.00300203,0.00301144
43,1,22,0.000366831,0.000575154,0.0007034,0.000847859,0.000943678,0.000999516,0.00118572,0.00132776,0.00140925,0.00146127,0.00148871,0.00149546
43,1,23,0.000355391,0.000544107,0.000704197,0.000850858,0.00101328,0.00115781,0.00133948,0.0015125,0.00165467,0.00182533,0.00206742,0.00199057
43,1,24,0.000417595,0.000820133,0.000994494,0.0011109,0.00127891,0.00139809,0.00157818,0.00178492,0.00198843,0.00243609,0.00261467,0.0026325
43,1,25,0.000863062,0.0014883,0.00175971,0.00207871,0.00216291,0.0022861,0.00273235,0.00328219,0.00378937,0.00447219,0.00448419,0.00448764
43,1,26,0.00032533,0.000636756,0.000746244,0.000980567,0.00112412,0.0013049,0.00163797,0.00192235,0.00197146,0.00216134,0.00220005,0.00221456
43,1,27,0.000337855,0.000533376,0.000638248,0.000723869,0.000806804,0.000851051,0.000941182,0.00109768,0.0013056,0.00146307,0.00153435,0.00154118
43,1,28,0.000695126,0.00140231,0.00180843,0.00234032,0.00288658,0.00328168,0.00367159,0.00394113,0.00409677,0.00417889,0.00421423,0.00422359
43,1,29,0.000426246,0.000806422,0.000977901,0.00110469,0.00123194,0.00134349,0.00153225,0.00169896,0.00183893,0.0019636,0.00201065,0.00202313
43,1,30,0.00106399,0.00218844,0.00310794,0.0040251,0.00500629,0.00572442,0.00637072,0.00668257,0.00698706,0.00716618,0.00721977,0.00723107
43,1,31,0.000452385,0.000808255,0.00102644,0.00119145,0.00145157,0.00166572,0.00184357,0.00191973,0.00197935,0.00205018,0.0020895,0.00209952
43,1,32,0.000518062,0.00109998,0.00156077,0.00201644,0.00257322,0.00292708,0.00325198,0.00347688,0.00360704,0.00366742,0.00369464,0.0037004
43,1,33,0.000543494,0.00108388,0.0013937,0.00162306,0.00182346,0.00197386,0.00237234,0.00286897,0.00328998,0.00345952,0.00351218,0.00352292
43,1,34,0.000674945,0.00123616,0.00146202,0.00185541,0.00208525,0.00224882,0.00257751,0.00297202,0.00327297,0.00380488,0.00399314,0.00396843
43,1,35,0.000378447,0.000784706,0.000992214,0.00115928,0.00124737,0.00135379,0.00164146,0.00193525,0.00221154,0.00240722,0.00244056,0.0024529
43,1,36,0.000362123,0.000655387,0.000759784,0.000833019,0.000853012,0.000825858,0.000888618,0.0011904,0.00143527,0.0016553,0.00176167,0.00178011
43,1,37,0.000242534,0.000548468,0.000716003,0.000871891,0.00100936,0.00109339,0.00115802,0.00122433,0.00128253,0.00131981,0.00133869,0.00134407
43,1,38,0.000560028,0.00123947,0.00169654,0.00214644,0.00264077,0.00287402,0.00313155,0.00332034,0.00341656,0.00347034,0.00349515,0.00350013
43,1,39,0.000327952,0.00056885,0.000676618,0.000786231,0.000873011,0.000955352,0.00111546,0.00145447,0.00168493,0.00176768,0.00183379,0.00184653
43,1,40,0.000379139,0.000807858,0.00107076,0.00140649,0.00146967,0.00157346,0.001678,0.00196512,0.00213953,0.00225003,0.00229319,0.00230445
43,1,41,0.00043092,0.000898477,0.00120435,0.00170114,0.00209193,0.00226091,0.00253985,0.00274661,0.00297296,0.0030406,0.00328579,0.00323368
