rp,direction,ground_motion,floor_1,floor_2,floor_3,floor_4,floor_5
43,1,1,0.0897155440414508,0.134499222797927,0.195585751295337,0.262391191709845,0.331160621761658
43,1,2,0.111431606217617,0.174682383419689,0.219423834196891,0.261018134715026,0.32249481865285
43,1,3,0.11305621761658,0.189243523316062,0.218829274611399,0.238713212435233,0.306142487046632
43,1,4,0.132882642487047,0.204645336787565,0.207483160621762,0.264689119170984,0.348924870466321
43,1,5,0.151747409326425,0.217190155440415,0.234239637305699,0.332002590673575,0.396935233160622
43,1,6,0.171540414507772,0.195216580310881,0.192106476683938,0.203416062176166,0.283072538860104
43,1,7,0.0961142487046632,0.160428756476684,0.165213212435233,0.213672797927461,0.289901554404145
43,1,8,0.121875388601036,0.181894300518135,0.237625647668394,0.346080310880829,0.439186528497409
43,1,9,0.103375129533679,0.196322020725389,0.284536269430052,0.345360103626943,0.423290155440414
43,1,10,0.152675647668394,0.204262694300518,0.20184792746114,0.279660621761658,0.343134715025907
43,1,11,0.122339378238342,0.177594041450777,0.233655958549223,0.316854922279793,0.423339378238342
43,1,12,0.127403886010363,0.241273316062176,0.307800518134715,0.409746113989637,0.5635
43,1,13,0.174623834196891,0.291036269430052,0.392924870466321,0.520341968911917,0.680945595854922
43,1,14,0.172369430051813,0.232808549222798,0.302132124352332,0.474336787564767,0.567981865284974
43,1,15,0.0886215025906736,0.133461658031088,0.161105699481865,0.183675647668394,0.217194300518135
43,1,16,0.0772163212435233,0.127612694300518,0.152772797927461,0.173656476683938,0.198265284974093
43,1,17,0.0712155440414508,0.105978238341969,0.138081606217617,0.159173056994819,0.193981865284974
43,1,18,0.081659067357513,0.167630051813472,0.240611658031088,0.270344559585492,0.315536269430052
43,1,19,0.098700518134715,0.118040932642487,0.139036269430052,0.187242487046632,0.274945595854922
43,1,20,0.0676015544041451,0.0885531088082901,0.13,0.212638082901554,0.296173575129534
43,1,21,0.0800676165803109,0.11970414507772,0.163646632124352,0.206308031088083,0.243376943005181
43,1,22,0.0495658031088083,0.118624611398964,0.166820984455959,0.180001295336788,0.217044041450777
43,1,23,0.107751554404145,0.222866839378238,0.351922279792746,0.461536269430052,0.536474093264249
43,1,24,0.15880932642487,0.210262694300518,0.36670207253886,0.404012953367876,0.55819170984456
43,1,25,0.190736787564767,0.298028497409326,0.372367875647668,0.498326424870466,0.690189119170984
43,1,26,0.159969689119171,0.275290155440415,0.305243523316062,0.394445595854922,0.464054404145078
43,1,27,0.161991968911917,0.223737823834197,0.177538341968912,0.257165025906736,0.37050518134715
43,1,28,0.107220984455959,0.159649740932642,0.210486787564767,0.321937823834197,0.396375647668394
43,1,29,0.133317616580311,0.21495621761658,0.270559585492228,0.279531088082902,0.421880829015544
43,1,30,0.129533937823834,0.263658031088083,0.339958549222798,0.340341968911917,0.52829792746114
43,1,31,0.103176165803109,0.114688082901554,0.156052849740933,0.184374611398964,0.274779792746114
43,1,32,0.0744976683937824,0.0842256476683938,0.129011139896373,0.168844041450777,0.247047409326425
43,1,33,0.173761917098446,0.214021243523316,0.242589119170984,0.340238341968912,0.419316062176166
43,1,34,0.11690207253886,0.174034715025907,0.247383419689119,0.327041450777202,0.427564766839378
43,1,35,0.104767616580311,0.23064378238342,0.236267875647668,0.274145077720207,0.348867875647668
43,1,36,0.149227720207254,0.201818393782383,0.301914507772021,0.377709844559585,0.499277202072539
43,1,37,0.0480075129533679,0.0505380829015544,0.0703259067357513,0.101543005181347,0.146832642487047
43,1,38,0.0598766839378238,0.0765077720207254,0.0897479274611399,0.0971611398963731,0.127036528497409
43,1,39,0.150885233160622,0.228167098445596,0.274958549222798,0.28989378238342,0.372015544041451
43,1,40,0.162887305699482,0.242516321243523,0.387971502590674,0.324878238341969,0.379626943005181
43,1,41,0.14584585492228,0.246177202072539,0.292795336787565,0.361958549222798,0.47080310880829
43,1,42,0.121046373056995,0.244271243523316,0.228095336787565,0.307062176165803,0.443829015544041
43,1,43,0.167727720207254,0.317945595854922,0.357945595854922,0.332417098445596,0.48330829015544
43,1,44,0.150321761658031,0.236113212435233,0.353386010362694,0.485637305699482,0.606839378238342
43,2,1,0.0897155440414508,0.134499222797927,0.195585751295337,0.262391191709845,0.331160621761658
43,2,2,0.111431606217617,0.174682383419689,0.219423834196891,0.261018134715026,0.32249481865285
43,2,3,0.11305621761658,0.189243523316062,0.218829274611399,0.238713212435233,0.306142487046632
43,2,4,0.132882642487047,0.204645336787565,0.207483160621762,0.264689119170984,0.348924870466321
43,2,5,0.151747409326425,0.217190155440415,0.234239637305699,0.332002590673575,0.396935233160622
43,2,6,0.171540414507772,0.195216580310881,0.192106476683938,0.203416062176166,0.283072538860104
43,2,7,0.0961142487046632,0.160428756476684,0.165213212435233,0.213672797927461,0.289901554404145
43,2,8,0.121875388601036,0.181894300518135,0.237625647668394,0.346080310880829,0.439186528497409
43,2,9,0.103375129533679,0.196322020725389,0.284536269430052,0.345360103626943,0.423290155440414
43,2,10,0.152675647668394,0.204262694300518,0.20184792746114,0.279660621761658,0.343134715025907
43,2,11,0.122339378238342,0.177594041450777,0.233655958549223,0.316854922279793,0.423339378238342
43,2,12,0.127403886010363,0.241273316062176,0.307800518134715,0.409746113989637,0.5635
43,2,13,0.174623834196891,0.291036269430052,0.392924870466321,0.520341968911917,0.680945595854922
43,2,14,0.172369430051813,0.232808549222798,0.302132124352332,0.474336787564767,0.567981865284974
43,2,15,0.0886215025906736,0.133461658031088,0.161105699481865,0.183675647668394,0.217194300518135
43,2,16,0.0772163212435233,0.127612694300518,0.152772797927461,0.173656476683938,0.198265284974093
43,2,17,0.0712155440414508,0.105978238341969,0.138081606217617,0.159173056994819,0.193981865284974
43,2,18,0.081659067357513,0.167630051813472,0.240611658031088,0.270344559585492,0.315536269430052
43,2,19,0.098700518134715,0.118040932642487,0.139036269430052,0.187242487046632,0.274945595854922
43,2,20,0.0676015544041451,0.0885531088082901,0.13,0.212638082901554,0.296173575129534
43,2,21,0.0800676165803109,0.11970414507772,0.163646632124352,0.206308031088083,0.243376943005181
43,2,22,0.0495658031088083,0.118624611398964,0.166820984455959,0.180001295336788,0.217044041450777
43,2,23,0.107751554404145,0.222866839378238,0.351922279792746,0.461536269430052,0.536474093264249
43,2,24,0.15880932642487,0.210262694300518,0.36670207253886,0.404012953367876,0.55819170984456
43,2,25,0.190736787564767,0.298028497409326,0.372367875647668,0.498326424870466,0.690189119170984
43,2,26,0.159969689119171,0.275290155440415,0.305243523316062,0.394445595854922,0.464054404145078
43,2,27,0.161991968911917,0.223737823834197,0.177538341968912,0.257165025906736,0.37050518134715
43,2,28,0.107220984455959,0.159649740932642,0.210486787564767,0.321937823834197,0.396375647668394
43,2,29,0.133317616580311,0.21495621761658,0.270559585492228,0.279531088082902,0.421880829015544
43,2,30,0.129533937823834,0.263658031088083,0.339958549222798,0.340341968911917,0.52829792746114
43,2,31,0.103176165803109,0.114688082901554,0.156052849740933,0.184374611398964,0.274779792746114
