id,type,node_1,node_2,direction,ele_side,element_id,story,ele_direction
1,rotational,6133,6000,primary,1,1,1,x
2,rotational,6134,6036,primary,2,1,1,x
3,rotational,6135,6037,primary,1,2,1,x
4,rotational,6136,6039,primary,2,2,1,x
5,rotational,6137,6003,primary,1,3,1,x
6,rotational,6138,6038,primary,2,3,1,x
7,rotational,6139,6040,primary,1,4,1,x
8,rotational,6140,6042,primary,2,4,1,x
9,rotational,6141,6005,primary,1,5,1,x
10,rotational,6142,6041,primary,2,5,1,x
11,rotational,6143,6043,primary,1,6,1,x
12,rotational,6144,6045,primary,2,6,1,x
13,rotational,6145,6007,primary,1,7,1,x
14,rotational,6146,6044,primary,2,7,1,x
15,rotational,6147,6001,primary,1,8,2,x
16,rotational,6148,6046,primary,2,8,2,x
17,rotational,6149,6047,primary,1,9,2,x
18,rotational,6150,6049,primary,2,9,2,x
19,rotational,6151,6002,primary,1,10,2,x
20,rotational,6152,6048,primary,2,10,2,x
21,rotational,6153,6050,primary,1,11,2,x
22,rotational,6154,6052,primary,2,11,2,x
23,rotational,6155,6004,primary,1,12,2,x
24,rotational,6156,6051,primary,2,12,2,x
25,rotational,6157,6053,primary,1,13,2,x
26,rotational,6158,6055,primary,2,13,2,x
27,rotational,6159,6006,primary,1,14,2,x
28,rotational,6160,6054,primary,2,14,2,x
29,rotational,6161,6008,primary,1,15,3,x
30,rotational,6162,6056,primary,2,15,3,x
31,rotational,6163,6057,primary,1,16,3,x
32,rotational,6164,6059,primary,2,16,3,x
33,rotational,6165,6009,primary,1,17,3,x
34,rotational,6166,6058,primary,2,17,3,x
35,rotational,6167,6060,primary,1,18,3,x
36,rotational,6168,6062,primary,2,18,3,x
37,rotational,6169,6010,primary,1,19,3,x
38,rotational,6170,6061,primary,2,19,3,x
39,rotational,6171,6063,primary,1,20,3,x
40,rotational,6172,6065,primary,2,20,3,x
41,rotational,6173,6011,primary,1,21,3,x
42,rotational,6174,6064,primary,2,21,3,x
43,rotational,6175,6012,primary,1,22,4,x
44,rotational,6176,6066,primary,2,22,4,x
45,rotational,6177,6067,primary,1,23,4,x
46,rotational,6178,6069,primary,2,23,4,x
47,rotational,6179,6013,primary,1,24,4,x
48,rotational,6180,6068,primary,2,24,4,x
49,rotational,6181,6070,primary,1,25,4,x
50,rotational,6182,6072,primary,2,25,4,x
51,rotational,6183,6014,primary,1,26,4,x
52,rotational,6184,6071,primary,2,26,4,x
53,rotational,6185,6073,primary,1,27,4,x
54,rotational,6186,6075,primary,2,27,4,x
55,rotational,6187,6015,primary,1,28,4,x
56,rotational,6188,6074,primary,2,28,4,x
57,rotational,6189,6016,primary,1,29,5,x
58,rotational,6190,6076,primary,2,29,5,x
59,rotational,6191,6077,primary,1,30,5,x
60,rotational,6192,6079,primary,2,30,5,x
61,rotational,6193,6017,primary,1,31,5,x
62,rotational,6194,6078,primary,2,31,5,x
63,rotational,6195,6080,primary,1,32,5,x
64,rotational,6196,6082,primary,2,32,5,x
65,rotational,6197,6018,primary,1,33,5,x
66,rotational,6198,6081,primary,2,33,5,x
67,rotational,6199,6083,primary,1,34,5,x
68,rotational,6200,6085,primary,2,34,5,x
69,rotational,6201,6019,primary,1,35,5,x
70,rotational,6202,6084,primary,2,35,5,x
71,rotational,6203,6020,primary,1,36,6,x
72,rotational,6204,6086,primary,2,36,6,x
73,rotational,6205,6087,primary,1,37,6,x
74,rotational,6206,6089,primary,2,37,6,x
75,rotational,6207,6021,primary,1,38,6,x
76,rotational,6208,6088,primary,2,38,6,x
77,rotational,6209,6090,primary,1,39,6,x
78,rotational,6210,6092,primary,2,39,6,x
79,rotational,6211,6022,primary,1,40,6,x
80,rotational,6212,6091,primary,2,40,6,x
81,rotational,6213,6093,primary,1,41,6,x
82,rotational,6214,6095,primary,2,41,6,x
83,rotational,6215,6023,primary,1,42,6,x
84,rotational,6216,6094,primary,2,42,6,x
85,rotational,6217,6024,primary,1,43,7,x
86,rotational,6218,6096,primary,2,43,7,x
87,rotational,6219,6097,primary,1,44,7,x
88,rotational,6220,6099,primary,2,44,7,x
89,rotational,6221,6025,primary,1,45,7,x
90,rotational,6222,6098,primary,2,45,7,x
91,rotational,6223,6100,primary,1,46,7,x
92,rotational,6224,6102,primary,2,46,7,x
93,rotational,6225,6026,primary,1,47,7,x
94,rotational,6226,6101,primary,2,47,7,x
95,rotational,6227,6103,primary,1,48,7,x
96,rotational,6228,6105,primary,2,48,7,x
97,rotational,6229,6027,primary,1,49,7,x
98,rotational,6230,6104,primary,2,49,7,x
99,rotational,6231,6028,primary,1,50,8,x
100,rotational,6232,6106,primary,2,50,8,x
101,rotational,6233,6107,primary,1,51,8,x
102,rotational,6234,6109,primary,2,51,8,x
103,rotational,6235,6029,primary,1,52,8,x
104,rotational,6236,6108,primary,2,52,8,x
105,rotational,6237,6110,primary,1,53,8,x
106,rotational,6238,6112,primary,2,53,8,x
107,rotational,6239,6030,primary,1,54,8,x
108,rotational,6240,6111,primary,2,54,8,x
109,rotational,6241,6113,primary,1,55,8,x
110,rotational,6242,6115,primary,2,55,8,x
111,rotational,6243,6031,primary,1,56,8,x
112,rotational,6244,6114,primary,2,56,8,x
