id,column_low,column_high,beam_left,beam_right,story,y_neg,y_pos,x_neg,x_pos,class
1,1,8,0,2,1,6020,6001,0,6021,d
2,3,10,2,4,1,6022,6002,6023,6024,b
3,5,12,4,6,1,6025,6004,6026,6027,b
4,7,14,6,0,1,6028,6006,6029,6029,d
5,8,15,0,9,2,6030,6008,0,6031,d
6,10,17,9,11,2,6032,6009,6033,6034,b
7,12,19,11,13,2,6035,6010,6036,6037,b
8,14,21,13,0,2,6038,6011,6039,6039,d
9,15,22,0,16,3,6040,6012,0,6041,d
10,17,24,16,18,3,6042,6013,6043,6044,b
11,19,26,18,20,3,6045,6014,6046,6047,b
12,21,28,20,0,3,6048,6015,6049,6049,d
13,22,0,0,23,4,6050,6016,0,6051,e
14,24,0,23,25,4,6052,6017,6053,6054,b
15,26,0,25,27,4,6055,6018,6056,6057,b
16,28,0,27,0,4,6058,6019,6059,6059,e
