id,type,node_1,node_2,direction,ele_side,element_id,story,ele_direction
1,rotational,6325,6000,primary,1,1,1,x
2,rotational,6326,6084,primary,2,1,1,x
3,rotational,6327,6085,primary,1,2,1,x
4,rotational,6328,6087,primary,2,2,1,x
5,rotational,6329,6003,primary,1,3,1,x
6,rotational,6330,6086,primary,2,3,1,x
7,rotational,6331,6088,primary,1,4,1,x
8,rotational,6332,6090,primary,2,4,1,x
9,rotational,6333,6005,primary,1,5,1,x
10,rotational,6334,6089,primary,2,5,1,x
11,rotational,6335,6091,primary,1,6,1,x
12,rotational,6336,6093,primary,2,6,1,x
13,rotational,6337,6007,primary,1,7,1,x
14,rotational,6338,6092,primary,2,7,1,x
15,rotational,6339,6001,primary,1,8,2,x
16,rotational,6340,6094,primary,2,8,2,x
17,rotational,6341,6095,primary,1,9,2,x
18,rotational,6342,6097,primary,2,9,2,x
19,rotational,6343,6002,primary,1,10,2,x
20,rotational,6344,6096,primary,2,10,2,x
21,rotational,6345,6098,primary,1,11,2,x
22,rotational,6346,6100,primary,2,11,2,x
23,rotational,6347,6004,primary,1,12,2,x
24,rotational,6348,6099,primary,2,12,2,x
25,rotational,6349,6101,primary,1,13,2,x
26,rotational,6350,6103,primary,2,13,2,x
27,rotational,6351,6006,primary,1,14,2,x
28,rotational,6352,6102,primary,2,14,2,x
29,rotational,6353,6008,primary,1,15,3,x
30,rotational,6354,6104,primary,2,15,3,x
31,rotational,6355,6105,primary,1,16,3,x
32,rotational,6356,6107,primary,2,16,3,x
33,rotational,6357,6009,primary,1,17,3,x
34,rotational,6358,6106,primary,2,17,3,x
35,rotational,6359,6108,primary,1,18,3,x
36,rotational,6360,6110,primary,2,18,3,x
37,rotational,6361,6010,primary,1,19,3,x
38,rotational,6362,6109,primary,2,19,3,x
39,rotational,6363,6111,primary,1,20,3,x
40,rotational,6364,6113,primary,2,20,3,x
41,rotational,6365,6011,primary,1,21,3,x
42,rotational,6366,6112,primary,2,21,3,x
43,rotational,6367,6012,primary,1,22,4,x
44,rotational,6368,6114,primary,2,22,4,x
45,rotational,6369,6115,primary,1,23,4,x
46,rotational,6370,6117,primary,2,23,4,x
47,rotational,6371,6013,primary,1,24,4,x
48,rotational,6372,6116,primary,2,24,4,x
49,rotational,6373,6118,primary,1,25,4,x
50,rotational,6374,6120,primary,2,25,4,x
51,rotational,6375,6014,primary,1,26,4,x
52,rotational,6376,6119,primary,2,26,4,x
53,rotational,6377,6121,primary,1,27,4,x
54,rotational,6378,6123,primary,2,27,4,x
55,rotational,6379,6015,primary,1,28,4,x
56,rotational,6380,6122,primary,2,28,4,x
57,rotational,6381,6016,primary,1,29,5,x
58,rotational,6382,6124,primary,2,29,5,x
59,rotational,6383,6125,primary,1,30,5,x
60,rotational,6384,6127,primary,2,30,5,x
61,rotational,6385,6017,primary,1,31,5,x
62,rotational,6386,6126,primary,2,31,5,x
63,rotational,6387,6128,primary,1,32,5,x
64,rotational,6388,6130,primary,2,32,5,x
65,rotational,6389,6018,primary,1,33,5,x
66,rotational,6390,6129,primary,2,33,5,x
67,rotational,6391,6131,primary,1,34,5,x
68,rotational,6392,6133,primary,2,34,5,x
69,rotational,6393,6019,primary,1,35,5,x
70,rotational,6394,6132,primary,2,35,5,x
71,rotational,6395,6020,primary,1,36,6,x
72,rotational,6396,6134,primary,2,36,6,x
73,rotational,6397,6135,primary,1,37,6,x
74,rotational,6398,6137,primary,2,37,6,x
75,rotational,6399,6021,primary,1,38,6,x
76,rotational,6400,6136,primary,2,38,6,x
77,rotational,6401,6138,primary,1,39,6,x
78,rotational,6402,6140,primary,2,39,6,x
79,rotational,6403,6022,primary,1,40,6,x
80,rotational,6404,6139,primary,2,40,6,x
81,rotational,6405,6141,primary,1,41,6,x
82,rotational,6406,6143,primary,2,41,6,x
83,rotational,6407,6023,primary,1,42,6,x
84,rotational,6408,6142,primary,2,42,6,x
85,rotational,6409,6024,primary,1,43,7,x
86,rotational,6410,6144,primary,2,43,7,x
87,rotational,6411,6145,primary,1,44,7,x
88,rotational,6412,6147,primary,2,44,7,x
89,rotational,6413,6025,primary,1,45,7,x
90,rotational,6414,6146,primary,2,45,7,x
91,rotational,6415,6148,primary,1,46,7,x
92,rotational,6416,6150,primary,2,46,7,x
93,rotational,6417,6026,primary,1,47,7,x
94,rotational,6418,6149,primary,2,47,7,x
95,rotational,6419,6151,primary,1,48,7,x
96,rotational,6420,6153,primary,2,48,7,x
97,rotational,6421,6027,primary,1,49,7,x
98,rotational,6422,6152,primary,2,49,7,x
99,rotational,6423,6028,primary,1,50,8,x
100,rotational,6424,6154,primary,2,50,8,x
101,rotational,6425,6155,primary,1,51,8,x
102,rotational,6426,6157,primary,2,51,8,x
103,rotational,6427,6029,primary,1,52,8,x
104,rotational,6428,6156,primary,2,52,8,x
105,rotational,6429,6158,primary,1,53,8,x
106,rotational,6430,6160,primary,2,53,8,x
107,rotational,6431,6030,primary,1,54,8,x
108,rotational,6432,6159,primary,2,54,8,x
109,rotational,6433,6161,primary,1,55,8,x
110,rotational,6434,6163,primary,2,55,8,x
111,rotational,6435,6031,primary,1,56,8,x
112,rotational,6436,6162,primary,2,56,8,x
113,rotational,6437,6032,primary,1,57,9,x
114,rotational,6438,6164,primary,2,57,9,x
115,rotational,6439,6165,primary,1,58,9,x
116,rotational,6440,6167,primary,2,58,9,x
117,rotational,6441,6033,primary,1,59,9,x
118,rotational,6442,6166,primary,2,59,9,x
119,rotational,6443,6168,primary,1,60,9,x
120,rotational,6444,6170,primary,2,60,9,x
121,rotational,6445,6034,primary,1,61,9,x
122,rotational,6446,6169,primary,2,61,9,x
123,rotational,6447,6171,primary,1,62,9,x
124,rotational,6448,6173,primary,2,62,9,x
125,rotational,6449,6035,primary,1,63,9,x
126,rotational,6450,6172,primary,2,63,9,x
127,rotational,6451,6036,primary,1,64,10,x
128,rotational,6452,6174,primary,2,64,10,x
129,rotational,6453,6175,primary,1,65,10,x
130,rotational,6454,6177,primary,2,65,10,x
131,rotational,6455,6037,primary,1,66,10,x
132,rotational,6456,6176,primary,2,66,10,x
133,rotational,6457,6178,primary,1,67,10,x
134,rotational,6458,6180,primary,2,67,10,x
135,rotational,6459,6038,primary,1,68,10,x
136,rotational,6460,6179,primary,2,68,10,x
137,rotational,6461,6181,primary,1,69,10,x
138,rotational,6462,6183,primary,2,69,10,x
139,rotational,6463,6039,primary,1,70,10,x
140,rotational,6464,6182,primary,2,70,10,x
