id,story_group_id,story_ht,story_dead_load,story_live_load,p_delta_dead_load,p_delta_live_load,seismic_wt,bay_length_x_1,bay_length_x_2,bay_length_x_3,bay_length_z,story_start_x,story_start_z,y_start,bay_coor_x_1,bay_coor_x_2,bay_coor_x_3,bay_coor_x_4,bay_coor_z_1,bay_coor_z_2
1,1,180,630000,234000,525000,195000,684000,240,240,240,0,0,0,0,0,240,480,720,0,0
2,2,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,180,0,240,480,720,0,0
3,3,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,336,0,240,480,720,0,0
4,4,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,492,0,240,480,720,0,0
5,5,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,648,0,240,480,720,0,0
6,6,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,804,0,240,480,720,0,0
7,7,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,960,0,240,480,720,0,0
8,8,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1116,0,240,480,720,0,0
9,9,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1272,0,240,480,720,0,0
10,10,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1428,0,240,480,720,0,0
11,11,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1584,0,240,480,720,0,0
12,12,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1740,0,240,480,720,0,0
13,13,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,1896,0,240,480,720,0,0
14,14,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2052,0,240,480,720,0,0
15,15,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2208,0,240,480,720,0,0
16,16,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2364,0,240,480,720,0,0
17,17,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2520,0,240,480,720,0,0
18,18,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2676,0,240,480,720,0,0
19,19,156,630000,234000,525000,195000,684000,240,240,240,0,0,0,2832,0,240,480,720,0,0
20,20,156,504000,72000,420000,60000,531000,240,240,240,0,0,0,2988,0,240,480,720,0,0
