id,set,name,dimension,material,num_stories,framing_system_1,framing_system_2,year,ie,cs,design_drift,design_method,lat,lng,site_class,vs30,sds,sd1,dim_1_ft,dim_2_ft,num_bays,num_bays_lfrs,story_ht_first,story_ht_others,num_grav_cols,period,building_value,wall_lw
RCMF-0401,RCMF,4 Story RCMF RCII,2D,concrete,4,C1a,C1a,2023,1,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,40099000,
RCMF-0402,RCMF,4 Story RCMF Ie 1.25,2D,concrete,4,C1a,C1a,2023,1.25,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0403,RCMF,4 Story RCMF Ie 1.5,2D,concrete,4,C1a,C1a,2023,1.5,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0404,RCMF,4 Story RCMF Drift 0.015,2D,concrete,4,C1a,C1a,2023,1,,0.015,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0405,RCMF,4 Story RCMF Drift 0.01,2D,concrete,4,C1a,C1a,2023,1,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0406,RCMF,4 Story RCMF RCIV,2D,concrete,4,C1a,C1a,2023,1.5,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,41043000,
RCMF-0801,RCMF,8 Story RCMF RCII,2D,concrete,8,C1a,C1a,2023,1,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,78277000,
RCMF-0802,RCMF,8 Story RCMF Ie 1.25,2D,concrete,8,C1a,C1a,2023,1.25,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0803,RCMF,8 Story RCMF Ie 1.5,2D,concrete,8,C1a,C1a,2023,1.5,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0804,RCMF,8 Story RCMF Drift 0.015,2D,concrete,8,C1a,C1a,2023,1,,0.015,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-0805,RCMF,8 Story RCMF Drift 0.01,2D,concrete,8,C1a,C1a,2023,1,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
