id,set,name,dimension,material,num_stories,framing_system_1,framing_system_2,year,ie,cs,design_drift,design_method,lat,lng,site_class,vs30,sds,sd1,dim_1_ft,dim_2_ft,num_bays,num_bays_lfrs,story_ht_first,story_ht_others,num_grav_cols,period,building_value,wall_lw
RCMF-0806,RCMF,8 Story RCMF RCIV,2D,concrete,8,C1a,C1a,2023,1.5,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,80167000,
RCMF-1201,RCMF,12 Story RCMF RCII,2D,concrete,12,C1a,C1a,2023,1,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,117033000,
RCMF-1202,RCMF,12 Story RCMF Ie 1.25,2D,concrete,12,C1a,C1a,2023,1.25,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-1203,RCMF,12 Story RCMF Ie 1.5,2D,concrete,12,C1a,C1a,2023,1.5,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-1204,RCMF,12 Story RCMF Drift 0.015,2D,concrete,12,C1a,C1a,2023,1,,0.015,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-1205,RCMF,12 Story RCMF Drift 0.01,2D,concrete,12,C1a,C1a,2023,1,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-1206,RCMF,12 Story RCMF RCIV,2D,concrete,12,C1a,C1a,2023,1.5,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,119867000,
RCMF-2001,RCMF,20 Story RCMF RCII,2D,concrete,20,C1a,C1a,2023,1,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-2002,RCMF,20 Story RCMF Ie 1.25,2D,concrete,20,C1a,C1a,2023,1.25,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-2003,RCMF,20 Story RCMF Ie 1.5,2D,concrete,20,C1a,C1a,2023,1.5,,0.02,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-2004,RCMF,20 Story RCMF Drift 0.015,2D,concrete,20,C1a,C1a,2023,1,,0.015,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-2005,RCMF,20 Story RCMF Drift 0.01,2D,concrete,20,C1a,C1a,2023,1,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCMF-2006,RCMF,20 Story RCMF RCIV,2D,concrete,20,C1a,C1a,2023,1.5,,0.01,ELFP,34.05,-118.25,C,537,1,0.6,100,100,5,5,15,13,,,,
RCSW-0401,RCSW,4 Story RCSW RCII,2D,concrete,4,C2a,C2a,2023,1,0.2316,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.464,40365000,216
RCSW-0402,RCSW,4 Story RCSW RCIII,2D,concrete,4,C2a,C2a,2023,1.25,0.3,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.315,,
RCSW-0403,RCSW,4 Story RCSW RCIV,2D,concrete,4,C2a,C2a,2023,1.5,0.36,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.229,41311000,324
RCSW-0801,RCSW,8 Story RCSW RCII,2D,concrete,8,C2a,C2a,2023,1,0.1396,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.944,78807000,264
RCSW-0802,RCSW,8 Story RCSW RCIII,2D,concrete,8,C2a,C2a,2023,1.25,0.1946,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.506,,
RCSW-0803,RCSW,8 Story RCSW RCIV,2D,concrete,8,C2a,C2a,2023,1.5,0.36,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.312,80699000,648
RCSW-1201,RCSW,12 Story RCSW RCII,2D,concrete,12,C2a,C2a,2023,1,0.1035,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,1.356,117108000,312
RCSW-1202,RCSW,12 Story RCSW RCIII,2D,concrete,12,C2a,C2a,2023,1.25,0.1294,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.899,,
RCSW-1203,RCSW,12 Story RCSW RCIV,2D,concrete,12,C2a,C2a,2023,1.5,0.2701,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.448,119939000,696
RCSW-2001,RCSW,20 Story RCSW RCII,2D,concrete,20,C2a,C2a,2023,1,0.0708,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,2.131,,504
RCSW-2002,RCSW,20 Story RCSW RCIII,2D,concrete,20,C2a,C2a,2023,1.25,0.0885,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,1.445,,
RCSW-2003,RCSW,20 Story RCSW RCIV,2D,concrete,20,C2a,C2a,2023,1.5,0.1575,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,1,15,13,17,0.78,,864
SMF-0401,SMF,4 Story SMF RCII,2D,steel,4,S1a,S1a,2023,1,,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,40448000,
SMF-0402,SMF,4 Story SMF RCIII,2D,steel,4,S1a,S1a,2023,1.25,,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,,
SMF-0403,SMF,4 Story SMF RCIV,2D,steel,4,S1a,S1a,2023,1.5,,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,41395000,
SMF-0801,SMF,8 Story SMF RCII,2D,steel,8,S1a,S1a,2023,1,,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,79373000,
SMF-0802,SMF,8 Story SMF RCIII,2D,steel,8,S1a,S1a,2023,1.25,,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,,
SMF-0803,SMF,8 Story SMF RCIV,2D,steel,8,S1a,S1a,2023,1.5,,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,81263000,
SMF-1201,SMF,12 Story SMF RCII,2D,steel,12,S1a,S1a,2023,1,,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,119346000,
SMF-1202,SMF,12 Story SMF RCIII,2D,steel,12,S1a,S1a,2023,1.25,,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,,
SMF-1203,SMF,12 Story SMF RCIV,2D,steel,12,S1a,S1a,2023,1.5,,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,122179000,
SMF-2001,SMF,20 Story SMF RCII,2D,steel,20,S1a,S1a,2023,1,,0.02,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,2,15,13,13,,,
SMF-2002,SMF,20 Story SMF RCIII,2D,steel,20,S1a,S1a,2023,1.25,,0.015,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,3,15,13,9,,,
SMF-2003,SMF,20 Story SMF RCIV,2D,steel,20,S1a,S1a,2023,1.5,,0.01,MRSA,34.05,-118.25,C,537,1,0.6,120,120,4,3,15,13,9,,,
