Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8
1,0.030453792,0.183460732,0.469313905,0.745006746,-0.950712738,1,-0.918435787,0.748072269
2,0.100115809,0.502502692,0.983218643,1,-0.517007236,-0.206814932,0.771673149,-0.985075891
3,0.201876976,0.799080932,0.970271829,0.082788366,0.868977726,-0.791561479,-0.13196726,1
4,0.331064394,0.926341237,0.294292179,-0.922813233,0.42449801,0.848750842,-0.595517212,-0.844438021
5,0.482310971,0.787145382,-0.600047087,-0.61039326,-0.956986502,0.068157511,1,0.617521684
6,0.64777851,0.381749519,-1,0.598340365,-0.241591871,-0.929198234,-0.946877219,-0.377253448
7,0.821917294,-0.246986021,-0.422455872,0.825065657,1,0.879973445,0.552627603,0.172056776
8,1,-1,0.926729366,-0.638656136,-0.463274386,-0.30086253,-0.156832119,-0.043627021
