rp,direction,ground_motion,floor_1,floor_2,floor_3,floor_4,floor_5
43,1,median,0.121981984893215,0.155623788535524,0.189265592177833,0.246496323331758,0.333936540283389
43,2,median,0.121981984893215,0.155623788535524,0.189265592177833,0.246496323331758,0.333936540283389
72,1,median,0.172258689266908,0.219766466788908,0.267274244310908,0.348093479569231,0.471573493232624
72,2,median,0.172258689266908,0.219766466788908,0.267274244310908,0.348093479569231,0.471573493232624
108,1,median,0.221743847200155,0.282899295465144,0.344054743730134,0.448091110372787,0.607043517351935
108,2,median,0.221743847200155,0.282899295465144,0.344054743730134,0.448091110372787,0.607043517351935
224,1,median,0.336031609788451,0.380087895206029,0.437760907830411,0.545656194120126,0.760235426034418
224,2,median,0.336031609788451,0.380087895206029,0.437760907830411,0.545656194120126,0.760235426034418
475,1,median,0.489513392549532,0.502627734398873,0.54987988821442,0.654791145644746,0.875728626860169
475,2,median,0.489513392549532,0.502627734398873,0.54987988821442,0.654791145644746,0.875728626860169
975,1,median,0.67209504632395,0.647757583085653,0.682149953584634,0.782852967917117,0.992724634603795
975,2,median,0.67209504632395,0.647757583085653,0.682149953584634,0.782852967917117,0.992724634603795
2475,1,median,0.949423792842038,0.858181573831135,0.865828516567256,0.949885912939172,1.10820023176237
2475,2,median,0.949423792842038,0.858181573831135,0.865828516567256,0.949885912939172,1.10820023176237
4975,1,median,1.17455043497451,1.01910950502961,0.997927012882282,1.0583520288548,1.23474403366393
4975,2,median,1.17455043497451,1.01910950502961,0.997927012882282,1.0583520288548,1.23474403366393
