exterior column,interior column,beam
W36X529,W36X529,W33X291
W36X529,W36X529,W33X291
W36X529,W36X529,W33X291
W36X529,W36X529,W33X291
W36X529,W36X529,W33X291
W36X330,W36X330,W33X263
W36X330,W36X330,W33X263
W36X330,W36X330,W33X263
W36X330,W36X330,W33X263
W36X330,W36X330,W33X263
W36X282,W36X282,W33X241
W36X282,W36X282,W33X241
W36X282,W36X282,W33X241
W36X282,W36X282,W33X241
W36X282,W36X282,W33X241
W36X247,W36X247,W33X221
W36X247,W36X247,W33X221
W36X247,W36X247,W33X221
W36X247,W36X247,W33X221
W36X247,W36X247,W33X221
