sa,rp,direction,gm,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9
0.067,43,1,1,0.176905755739025,0.28403,0.238699544041451,0.169553772020725,0.251090668393782,0.172652222797922,0.207485119170973,0.180448839378238,0.310425476683938
0.067,43,1,2,0.0764343311793944,0.175010681347143,0.159852564766839,0.144017875647668,0.133899922279793,0.182855404145078,0.184821093264249,0.17230004145078,0.217222839378239
0.067,43,1,3,0.0318396663834384,0.259480139896373,0.267679155440414,0.270427860103627,0.263255088082902,0.240366849740933,0.214547393782383,0.208860088082902,0.220740139896373
0.067,43,1,4,0.0324749713123757,0.183857409326425,0.202033316062176,0.196826419689119,0.17768367357513,0.152082119170984,0.15309321761658,0.169086637305698,0.210257803108808
0.067,43,1,5,0.125798624095572,0.31759213471502,0.324297658031082,0.318881725388601,0.26490140932642,0.273460269430052,0.219817792746114,0.287833481865286,0.444047797927461
0.067,43,1,6,0.0737683768502359,0.433753031088082,0.417200880829016,0.397786554404145,0.384917383419688,0.375242917098446,0.369187331606217,0.367614533678756,0.363331113989636
0.067,43,1,7,0.0519401396989064,0.5691303626943,0.547021041450776,0.518766274611397,0.494752461139896,0.476434326424871,0.482562305699483,0.514388212435233,0.552880290155439
0.067,43,1,8,0.0971145498487518,0.461310160621762,0.438172906735751,0.431482492227979,0.404929124352332,0.378142595854922,0.374646041450774,0.406915989637303,0.430428165803107
0.067,43,1,9,0.249954339699142,0.394628544041451,0.422348129533679,0.395056160621762,0.360010424870466,0.453681626943005,0.471701233160622,0.468025352331606,0.485953668393782
0.067,43,1,10,0.0656910456318569,0.297164139896373,0.273750647668393,0.247250735751295,0.259337839378238,0.285944834196891,0.271250533678756,0.305052953367876,0.392914093264248
0.067,43,1,11,0.158402466508294,0.520356606217617,0.491641321243523,0.419739507772021,0.419244266839378,0.470628886010363,0.430537875647668,0.456836735751281,0.442995259067348
0.067,43,1,12,0.0804287000809721,0.450493455958543,0.444129984455959,0.431527963730567,0.476577911917094,0.466153041450772,0.398728523316058,0.422860595854917,0.474553176165796
0.067,43,1,13,0.0653583425494367,0.278939253886008,0.24080570466321,0.210706393782383,0.197813875647667,0.188794642487047,0.230711611398964,0.254850212435233,0.234061300518135
0.067,43,1,14,0.0561314005880201,0.205180020725389,0.208574305699482,0.205237632124352,0.190535896373057,0.191809601036269,0.192286834196891,0.21817318134715,0.250523450777202
0.067,43,1,15,0.113835837092761,0.530897549222798,0.487743689119171,0.436851222797927,0.395664176165803,0.405507678756477,0.44577296373057,0.466211823834197,0.496033103626945
0.067,43,1,16,0.0899393305369534,0.319192658031097,0.27390320207255,0.250009373056995,0.268935616580311,0.264392974093264,0.326781233160622,0.373975274611399,0.347408176165803
0.067,43,1,17,0.0689750973657896,0.281459492227979,0.248556487046632,0.225875999999999,0.206350528497409,0.222896383419689,0.255623844559584,0.244449751295336,0.252888632124349
0.067,43,1,18,0.13093274073481,0.461058709844558,0.490847051813469,0.474839797927457,0.41538306217616,0.324325549222792,0.287784378238342,0.359880373056994,0.442526321243525
0.067,43,1,19,0.09360930259581,0.145774906735768,0.122247476683969,0.127723642487071,0.121818279792746,0.12564278238342,0.132586735751294,0.150307217616581,0.185584476683938
0.067,43,1,20,0.0739829777075934,0.187659466321244,0.177882088082911,0.162179139896378,0.167615124352326,0.14506930051814,0.122506865284978,0.149637170984464,0.164886367875657
0.067,43,1,21,0.0514450584848678,0.314823518134715,0.323845725388601,0.30499310880829,0.26593085492228,0.214832772020725,0.219074880829016,0.219639647668394,0.2326567253886
0.067,43,1,22,0.0574354339914334,0.349914404145078,0.374499378238342,0.382838756476684,0.368109740932642,0.310502383419689,0.291620989637306,0.312066067357513,0.325147155440415
0.067,43,1,23,0.197752364147966,0.394247678756514,0.387818575129544,0.43442839896375,0.446697829015559,0.300122720207264,0.270724839378251,0.387859554404162,0.463145746114012
0.067,43,1,24,0.181064261077259,0.493291880829041,0.474598953367907,0.441300430051844,0.379656388601075,0.260596025906774,0.256227191709884,0.283950461139924,0.379387471502613
0.067,43,1,25,0.0532206254453976,0.444350502590673,0.411523844559584,0.391085466321243,0.389352564766839,0.414055347150259,0.438487834196891,0.442722341968911,0.439090113989636
0.067,43,1,26,0.166154433458593,0.349214435233158,0.301298347150255,0.275368165803109,0.309445082901554,0.315946963730568,0.291024875647667,0.274648487046628,0.42707596373057
0.067,43,1,27,0.151352653739096,0.453546777202073,0.488962989637304,0.430229569948185,0.353386523316062,0.404660616580311,0.420324606217617,0.439564502590674,0.618373170984453
0.067,43,1,28,0.18426525012321,0.458718113989637,0.460631512953366,0.444446538860102,0.42475727979274,0.403929404145078,0.278462917098446,0.324201098445598,0.497440564766842
0.067,43,1,29,0.108104219041444,0.319571844559585,0.313631777202072,0.325820637305699,0.32337892746114,0.293561860103627,0.262702414507772,0.288007186528497,0.333743974093264
0.067,43,1,30,0.104620743185039,0.402588450777202,0.37344607253886,0.340187404145076,0.334601113989636,0.306555331606216,0.286167585492228,0.300933590673575,0.318915715025907
0.067,43,1,31,0.142009582275587,0.417383797927461,0.412637331606219,0.400468937823835,0.368718642487051,0.332308279792753,0.270549663212435,0.336585222797927,0.474054704663212
0.067,43,1,32,0.117177074354265,0.490368849740933,0.442291492227979,0.401433979274611,0.385355740932642,0.376895119170984,0.351812735751295,0.325928362694301,0.318868259067359
0.067,43,1,33,0.0567560253193277,0.283573953367877,0.2769511865285,0.261363227979277,0.249954937823835,0.239215134715026,0.226416595854923,0.2187002746114,0.223841031088083
0.067,43,1,34,0.0472859470688767,0.36896796373057,0.356227943005181,0.348478772020725,0.342762761658031,0.335303176165803,0.350409621761657,0.37565014507772,0.395658922279792
0.067,43,1,35,0.0961146335983273,0.29233732642487,0.315522559585492,0.31706970984456,0.308992766839378,0.258701678756477,0.284601357512953,0.285738974093264,0.345097652849742
0.067,43,1,36,0.0708625039933461,0.419621663212435,0.367009150259067,0.337781528497409,0.342730911917098,0.36112029015544,0.364931170984456,0.373080393782383,0.370249305699482
0.067,43,1,37,0.0786377914193527,0.361923792746119,0.34537889119171,0.304400968911921,0.308531569948187,0.33191532642487,0.354177621761654,0.334147347150259,0.334539362694304
0.067,43,1,38,0.125242074039406,0.41053398963731,0.381219512953374,0.293429637305699,0.268102953367876,0.26399097409326,0.301733823834197,0.457053616580317,0.500744601036273
0.067,43,1,39,0.168759314135197,0.512503419689119,0.55964507253886,0.583077455958549,0.511045492227979,0.452211295336788,0.432241823834197,0.417972134715026,0.59887003626943
0.067,43,1,40,0.173046519329376,0.500847564766841,0.431765896373057,0.360667191709845,0.342160518134717,0.375568487046632,0.385732735751295,0.38173202072539,0.445883917098446
0.067,43,1,41,0.0602052907612311,0.294150362694301,0.30266121761658,0.292974067357513,0.260305621761658,0.22046092746114,0.193935129533679,0.201659347150259,0.219958917098444
0.067,43,1,42,0.0620786384605234,0.246269911917099,0.239651132124352,0.227479979274611,0.219859730569948,0.2118906373057,0.179569860103627,0.256711207253886,0.321569497409326
0.067,43,1,43,0.0894096394526327,0.218669601036269,0.205057606217616,0.16672826943005,0.167292352331606,0.156140455958549,0.144826663212434,0.155549082901557,0.225196549222803
0.067,43,1,44,0.0369504763708279,0.261774450777202,0.273019191709844,0.265438595854922,0.240072391191711,0.209216730569948,0.211998284974092,0.230802668393781,0.243230590673574
0.067,43,2,1,0.176905755739025,0.28403,0.238699544041451,0.169553772020725,0.251090668393782,0.172652222797922,0.207485119170973,0.180448839378238,0.310425476683938
0.067,43,2,2,0.0764343311793944,0.175010681347143,0.159852564766839,0.144017875647668,0.133899922279793,0.182855404145078,0.184821093264249,0.17230004145078,0.217222839378239
0.067,43,2,3,0.0318396663834384,0.259480139896373,0.267679155440414,0.270427860103627,0.263255088082902,0.240366849740933,0.214547393782383,0.208860088082902,0.220740139896373
0.067,43,2,4,0.0324749713123757,0.183857409326425,0.202033316062176,0.196826419689119,0.17768367357513,0.152082119170984,0.15309321761658,0.169086637305698,0.210257803108808
0.067,43,2,5,0.125798624095572,0.31759213471502,0.324297658031082,0.318881725388601,0.26490140932642,0.273460269430052,0.219817792746114,0.287833481865286,0.444047797927461
0.067,43,2,6,0.0737683768502359,0.433753031088082,0.417200880829016,0.397786554404145,0.384917383419688,0.375242917098446,0.369187331606217,0.367614533678756,0.363331113989636
0.067,43,2,7,0.0519401396989064,0.5691303626943,0.547021041450776,0.518766274611397,0.494752461139896,0.476434326424871,0.482562305699483,0.514388212435233,0.552880290155439
0.067,43,2,8,0.0971145498487518,0.461310160621762,0.438172906735751,0.431482492227979,0.404929124352332,0.378142595854922,0.374646041450774,0.406915989637303,0.430428165803107
0.067,43,2,9,0.249954339699142,0.394628544041451,0.422348129533679,0.395056160621762,0.360010424870466,0.453681626943005,0.471701233160622,0.468025352331606,0.485953668393782
0.067,43,2,10,0.0656910456318569,0.297164139896373,0.273750647668393,0.247250735751295,0.259337839378238,0.285944834196891,0.271250533678756,0.305052953367876,0.392914093264248
0.067,43,2,11,0.158402466508294,0.520356606217617,0.491641321243523,0.419739507772021,0.419244266839378,0.470628886010363,0.430537875647668,0.456836735751281,0.442995259067348
0.067,43,2,12,0.0804287000809721,0.450493455958543,0.444129984455959,0.431527963730567,0.476577911917094,0.466153041450772,0.398728523316058,0.422860595854917,0.474553176165796
0.067,43,2,13,0.0653583425494367,0.278939253886008,0.24080570466321,0.210706393782383,0.197813875647667,0.188794642487047,0.230711611398964,0.254850212435233,0.234061300518135
0.067,43,2,14,0.0561314005880201,0.205180020725389,0.208574305699482,0.205237632124352,0.190535896373057,0.191809601036269,0.192286834196891,0.21817318134715,0.250523450777202
0.067,43,2,15,0.113835837092761,0.530897549222798,0.487743689119171,0.436851222797927,0.395664176165803,0.405507678756477,0.44577296373057,0.466211823834197,0.496033103626945
