rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12,story_13,story_14,story_15,story_16,story_17,story_18,story_19,story_20
43,1,1,0.00152121,0.00228252,0.00237318,0.00226183,0.0020682,0.00190933,0.00161642,0.00139872,0.00170633,0.00193969,0.0021326,0.00220441,0.00237827,0.00253286,0.00261726,0.00292317,0.00293967,0.00266589,0.00213769,0.00150697
43,1,2,0.00107509,0.00161952,0.00170075,0.00165684,0.00157956,0.00158643,0.00157694,0.00175327,0.00178454,0.00167173,0.00159021,0.00177492,0.00193301,0.00217074,0.0023642,0.00285637,0.00312081,0.00288784,0.00234756,0.00168212
43,1,3,0.00125231,0.00185404,0.00188316,0.00175355,0.00162956,0.00181189,0.00213234,0.00228262,0.00227003,0.00211918,0.00191785,0.0017847,0.00185516,0.00200375,0.0021511,0.00247426,0.00249423,0.00242735,0.00207464,0.00152078
43,1,4,0.000874019,0.00131312,0.00138306,0.00136885,0.00132548,0.00130833,0.00116989,0.00126358,0.00142277,0.00153769,0.00169367,0.00183281,0.00188492,0.00188264,0.00184388,0.00193453,0.00225552,0.00217893,0.00180825,0.00127904
43,1,5,0.00133533,0.00197665,0.00199094,0.00194465,0.00190481,0.00192007,0.00182367,0.00194975,0.00215602,0.00228878,0.00240377,0.0024218,0.00232766,0.00251185,0.00262833,0.0030248,0.00324713,0.00304228,0.00252852,0.00184115
43,1,6,0.00115813,0.00170521,0.00170666,0.00152575,0.00126657,0.00120249,0.00118413,0.00107836,0.00113523,0.00134647,0.00169136,0.00196621,0.00202636,0.00237706,0.00262127,0.00304955,0.00308941,0.00269087,0.00210538,0.00148981
43,1,7,0.000784086,0.00117619,0.00121932,0.00115617,0.00106241,0.00104726,0.00102127,0.00109376,0.00126557,0.00141532,0.00157319,0.00167837,0.00170384,0.00169113,0.00168786,0.00188428,0.00194112,0.00176343,0.00144436,0.00105918
43,1,8,0.00146377,0.00214921,0.00215596,0.00194368,0.00163533,0.00161698,0.00193182,0.00220922,0.00251048,0.00266422,0.0027117,0.00256605,0.0023322,0.00243161,0.0027355,0.00337197,0.00365751,0.00337545,0.00277469,0.00201476
43,1,9,0.0013523,0.00205616,0.00217069,0.00210974,0.00208855,0.00221644,0.00237989,0.00255994,0.0027192,0.00286027,0.00304684,0.00316524,0.00316626,0.00309932,0.00300782,0.00316477,0.00305792,0.00265549,0.00218278,0.00163571
43,1,10,0.00159986,0.00245812,0.00262026,0.00259616,0.00253974,0.0026283,0.00259524,0.00245919,0.00241863,0.00244223,0.00290505,0.00324822,0.00340481,0.00342481,0.00336784,0.00365692,0.00381976,0.00344578,0.00277921,0.00200818
43,1,11,0.00138333,0.00213478,0.00234133,0.00240008,0.00241912,0.00259922,0.00270256,0.0026799,0.00257402,0.00242235,0.0022989,0.00222312,0.00210556,0.00207581,0.0020368,0.00215247,0.00207758,0.0017921,0.00146045,0.0011421
43,1,12,0.000855316,0.00127027,0.00129608,0.00126667,0.00130153,0.00140925,0.00161054,0.00170334,0.00172733,0.0016773,0.00157127,0.00136553,0.00129713,0.00115861,0.00123253,0.00159993,0.00177766,0.00165403,0.00139253,0.00104416
43,1,13,0.00121853,0.00173751,0.00181886,0.00170457,0.00163303,0.00192225,0.00212067,0.0021693,0.00218653,0.0021914,0.00229325,0.00225409,0.00208007,0.00223419,0.00252728,0.00304451,0.00318897,0.002834,0.00235206,0.00173369
43,1,14,0.000999416,0.00146213,0.00146059,0.00134902,0.0012931,0.00142874,0.00144972,0.00141585,0.00160636,0.00170165,0.00184602,0.00196774,0.00196631,0.00186453,0.00169647,0.00186575,0.00195259,0.00178109,0.00146071,0.00107932
43,1,15,0.00115748,0.00177161,0.00189155,0.00187475,0.00192814,0.00205896,0.00208862,0.00206737,0.0020122,0.00204453,0.00216255,0.00219905,0.00213015,0.00204048,0.00204657,0.00226524,0.00229218,0.00206282,0.00168551,0.00126511
43,1,16,0.000671453,0.000999674,0.00100809,0.00092698,0.000898436,0.00102075,0.0011299,0.00115052,0.00112695,0.00105005,0.00108015,0.00111977,0.00111085,0.00114601,0.00119292,0.00141875,0.00151961,0.00140957,0.00116322,0.000855048
43,1,17,0.000833415,0.00124323,0.00125724,0.001192,0.00116559,0.00127492,0.00134193,0.0013753,0.00142506,0.0014883,0.0015868,0.00164261,0.0016797,0.00171962,0.00171827,0.00183457,0.00176034,0.00169484,0.00143801,0.0010719
43,1,18,0.000992975,0.00151038,0.00161962,0.00167203,0.00170445,0.00178067,0.00170662,0.00149055,0.00139092,0.00150384,0.0018298,0.00208582,0.00218447,0.00215664,0.00205549,0.00213229,0.00215303,0.00191899,0.00154431,0.00113851
43,1,19,0.000581951,0.000868446,0.000897469,0.000886181,0.000885079,0.000947884,0.000999685,0.00100168,0.00102332,0.00102964,0.00107686,0.00110479,0.00108044,0.00105546,0.0010109,0.00102888,0.000993352,0.000875333,0.000756173,0.000604117
43,1,20,0.000850911,0.00132005,0.00144265,0.00147227,0.00147113,0.00153377,0.00155828,0.00155214,0.00151357,0.00149553,0.00150118,0.00147755,0.0014154,0.00133349,0.0012469,0.00130829,0.00133178,0.00121607,0.00100354,0.000756377
43,1,21,0.00138225,0.00212847,0.0022998,0.00230782,0.00225153,0.00227034,0.00222499,0.00217223,0.0021701,0.00223682,0.00234356,0.00239845,0.0023943,0.00235872,0.0023097,0.00245451,0.00239468,0.00210012,0.00171761,0.00131608
43,1,22,0.000801535,0.00122886,0.00130539,0.0012784,0.00120458,0.00120725,0.00113863,0.00102976,0.00109499,0.00119776,0.00130758,0.00135141,0.00131806,0.00129135,0.0013058,0.00142454,0.00138597,0.00122272,0.00102886,0.000775615
43,1,23,0.000802584,0.00117794,0.00116319,0.00100788,0.000813325,0.000841629,0.00093158,0.00101412,0.00108958,0.00108462,0.00102087,0.000949545,0.000935283,0.000867002,0.000890248,0.00126364,0.00175072,0.00183936,0.00156935,0.00109075
43,1,24,0.001266,0.00178356,0.00164796,0.00137556,0.0011737,0.00122359,0.00149047,0.0016701,0.0017047,0.0017454,0.00179279,0.00175279,0.0016034,0.00152618,0.00162474,0.00221364,0.00301321,0.00324899,0.00287833,0.00206821
43,1,25,0.000932165,0.00135412,0.00140077,0.00132907,0.00123652,0.00139302,0.00150601,0.00162755,0.00180035,0.00178487,0.00196725,0.00213473,0.00212869,0.00196515,0.00188571,0.00254798,0.0029511,0.0028552,0.00240598,0.00176279
43,1,26,0.000496399,0.00068642,0.000670115,0.000637781,0.000689497,0.000895453,0.00102311,0.00101251,0.000877069,0.000919,0.000918855,0.00104022,0.00110701,0.00114176,0.00119187,0.00138181,0.00145189,0.00150348,0.00130309,0.000922866
43,1,27,0.000733882,0.00112122,0.00119487,0.00118068,0.00112262,0.00110934,0.00117156,0.00122675,0.00118248,0.00104393,0.00112008,0.00119123,0.0012771,0.00140645,0.00149824,0.00172049,0.00186621,0.00181397,0.00151786,0.00109095
43,1,28,0.00095289,0.00144151,0.00157513,0.00166025,0.00166909,0.00170066,0.00182597,0.00204889,0.0021843,0.00223549,0.00229211,0.00232472,0.00222816,0.0020389,0.00197854,0.00220881,0.00227831,0.00208216,0.00172603,0.00129733
43,1,29,0.000807768,0.00123256,0.00131015,0.00132631,0.00131308,0.00136122,0.001397,0.00140534,0.00148522,0.00151789,0.00156608,0.0016015,0.0015689,0.00159516,0.00166471,0.00191209,0.00193552,0.00164422,0.0013187,0.00103505
43,1,30,0.00193261,0.00291591,0.00316435,0.0032526,0.00331701,0.00351691,0.00355672,0.00349513,0.00344968,0.00338909,0.00337135,0.00328271,0.00310473,0.00293534,0.00274847,0.00279138,0.00270041,0.00242955,0.00207741,0.00163479
43,1,31,0.00085879,0.00130951,0.00140725,0.00138031,0.00131643,0.00140217,0.00143396,0.00141356,0.00137914,0.00136315,0.0013636,0.00134153,0.00125644,0.00129025,0.00132154,0.00145079,0.00143886,0.00126773,0.00102097,0.000762012
43,1,32,0.000945452,0.00147829,0.00163,0.00168371,0.00171627,0.00184672,0.00198132,0.0020516,0.00207531,0.00205096,0.0020214,0.00199766,0.00205244,0.00205987,0.00202202,0.00212431,0.00204147,0.00180121,0.00153671,0.00119626
