sa,rp,direction,gm,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8
0.067,43,1,1,0.00133417777777778,0.00183698717948718,0.0020439358974359,0.00203592307692308,0.00200608974358974,0.00231164102564103,0.00199846153846154,0.00160884615384615
0.067,43,1,2,0.00137193333333333,0.00195014102564103,0.00202220512820513,0.00189380769230769,0.00183012820512821,0.00166185897435898,0.00131019230769231,0.000908525641025642
0.067,43,1,3,0.00147058888888889,0.00209066666666667,0.00206715384615385,0.00197665384615385,0.00216038461538461,0.00223352564102564,0.00171326923076923,0.00105865384615385
0.067,43,1,4,0.00145734444444444,0.00206802564102564,0.00208999358974359,0.00201552564102564,0.00214179487179487,0.00220737179487179,0.00169038461538462,0.0010751282051282
0.067,43,1,5,0.00161881666666667,0.00229835256410256,0.00229989743589744,0.00220288461538462,0.00235141025641026,0.00246345512820513,0.00269011538461538,0.00205101923076923
0.067,43,1,6,0.00161228333333333,0.00222372435897436,0.00209369871794872,0.00199783974358974,0.00227237179487179,0.00257442307692308,0.00223064102564103,0.00150442307692308
0.067,43,1,7,0.00144048888888889,0.00207930128205128,0.00210183333333333,0.00205322435897436,0.00225096153846154,0.00228467948717949,0.00168634615384615,0.00103051282051282
0.067,43,1,8,0.00147682222222222,0.00215039743589744,0.00222546153846154,0.00223241666666667,0.00244115384615385,0.00246679487179487,0.00181871794871795,0.00112801282051282
0.067,43,1,9,0.00180188888888889,0.0023624358974359,0.00229578846153846,0.00214897435897436,0.00280098653846154,0.00361871794871795,0.00378346153846154,0.00293608974358974
0.067,43,1,10,0.00139891111111111,0.00186428846153846,0.00187505769230769,0.00174152564102564,0.00181311538461538,0.00200725,0.00159429487179487,0.0010901282051282
0.067,43,1,11,0.00153146666666667,0.00210734615384615,0.00204989743589744,0.00187707051282051,0.00225951923076923,0.00231532051282051,0.00209141025641026,0.00152955128205128
0.067,43,1,12,0.00146737222222222,0.0019800641025641,0.0018893141025641,0.00198098717948718,0.00238365384615385,0.00260852564102564,0.00213461538461538,0.00136064102564103
0.067,43,1,13,0.00104143333333333,0.00152698717948718,0.00169246153846154,0.00178736538461539,0.00204620512820513,0.00215185897435897,0.0016051282051282,0.00103570512820513
0.067,43,1,14,0.00150105,0.00197060897435897,0.00181742307692308,0.00183514743589744,0.00217164102564103,0.0024276282051282,0.00200698717948718,0.00135403846153846
0.067,43,1,15,0.0016146,0.00226398076923077,0.00209599358974359,0.00176425,0.00231110897435897,0.00304453205128205,0.00277288461538462,0.00185115384615385
