exterior column,interior column,beam
W36X395,W36X395,W33X241
W36X395,W36X395,W33X241
W36X395,W36X395,W33X241
W36X395,W36X395,W33X241
W36X395,W36X395,W33X241
W36X282,W36X282,W33X221
W36X282,W36X282,W33X221
W36X282,W36X282,W33X221
W36X282,W36X282,W33X221
W36X282,W36X282,W33X221
W36X262,W36X262,W33X201
W36X262,W36X262,W33X201
W36X262,W36X262,W33X201
W36X262,W36X262,W33X201
W36X262,W36X262,W33X201
W36X170,W36X170,W33X152
W36X170,W36X170,W33X152
W36X170,W36X170,W33X152
W36X170,W36X170,W33X152
W36X170,W36X170,W33X152
