exterior column,interior column,beam
W36X247,W36X247,W33X201
W36X247,W36X247,W33X201
W36X247,W36X247,W33X201
W36X247,W36X247,W33X201
W36X160,W36X160,W33X169
W36X160,W36X160,W33X169
W36X150,W36X150,W33X152
W36X150,W36X150,W33X152
