sa,rp,direction,gm,story_1,story_2,story_3,story_4
0.103,43,1,1,0.00170018333333333,0.00217826923076923,0.00250309615384615,0.00231735897435897
0.103,43,1,2,0.00200152777777778,0.00261416025641026,0.00269594230769231,0.00231320512820513
0.103,43,1,3,0.00173563888888889,0.00236514102564103,0.00242273076923077,0.00194817307692308
0.103,43,1,4,0.00205397777777778,0.00259428846153846,0.00247691025641026,0.00199076923076923
0.103,43,1,5,0.00193773888888889,0.0026516282051282,0.0027291858974359,0.00223782051282051
0.103,43,1,6,0.00161659444444444,0.00204486538461538,0.00224990384615385,0.0019761858974359
0.103,43,1,7,0.00178377777777778,0.00225221794871795,0.00250380128205128,0.00224578205128205
0.103,43,1,8,0.00174204444444444,0.00224704487179487,0.00219578846153846,0.00184467948717949
0.103,43,1,9,0.00209460555555556,0.00235058974358974,0.00250742948717949,0.00234850641025641
0.103,43,1,10,0.00133805555555556,0.0019436858974359,0.00216153846153846,0.00200916666666667
0.103,43,1,11,0.0014703,0.00200789102564103,0.00207583974358974,0.00172628846153846
0.103,43,1,12,0.00168063888888889,0.00217467948717949,0.00272286538461538,0.00262280769230769
0.103,43,1,13,0.00157003888888889,0.00206473717948718,0.00238058974358974,0.00213139102564103
0.103,43,1,14,0.00202287777777778,0.00228385256410256,0.00277411538461539,0.0026094358974359
0.103,43,1,15,0.00168295555555556,0.00231619230769231,0.00267675641025641,0.00241761538461538
0.103,43,1,16,0.00177912777777778,0.00236321794871795,0.00264578205128205,0.00227397435897436
0.103,43,1,17,0.00171432777777778,0.0021163141025641,0.00232548717948718,0.00210455769230769
0.103,43,1,18,0.00203561666666667,0.00203334615384615,0.00314475,0.00334389102564102
0.103,43,1,19,0.00170109444444444,0.00232873717948718,0.00253892948717949,0.0022149358974359
0.103,43,1,20,0.00206967222222222,0.00274760897435897,0.00262311538461538,0.00201339743589744
0.103,43,1,21,0.00200694444444444,0.00263112179487179,0.00250982692307692,0.00191032051282051
0.103,43,1,22,0.00175036666666667,0.00236060256410256,0.0023225,0.00181717948717949
0.103,43,1,23,0.00121176666666667,0.00186412820512821,0.00212529487179487,0.00182136538461538
0.103,43,1,24,0.00170637777777778,0.00237833333333333,0.00259069871794872,0.00219442307692308
0.103,43,1,25,0.00202678888888889,0.0026360641025641,0.00269351923076923,0.00239739743589744
0.103,43,1,26,0.00211233888888889,0.0026573717948718,0.00267340384615385,0.00218339743589744
0.103,43,1,27,0.00216953333333333,0.00257037179487179,0.00291977564102564,0.0027555
0.103,43,1,28,0.00158521111111111,0.00205059615384615,0.00210557051282051,0.00182308333333333
0.103,43,1,29,0.00164865,0.00220258974358974,0.00214458333333333,0.00168578846153846
0.103,43,1,30,0.00176885,0.00220713461538462,0.00202213461538462,0.00165614743589744
0.103,43,1,31,0.00201979444444444,0.00246124358974359,0.00256614743589744,0.00230772435897436
0.103,43,1,32,0.00156546666666667,0.00215751923076923,0.00222378846153846,0.00181637820512821
0.103,43,1,33,0.00190551111111111,0.00252839102564103,0.00269360897435897,0.0022598717948718
0.103,43,1,34,0.00158801111111111,0.00214178205128205,0.00280751282051282,0.00262601282051282
0.103,43,1,35,0.00225936111111111,0.00277672435897436,0.00246048717948718,0.00192160256410256
0.103,43,1,36,0.0018163,0.00243926923076923,0.00236396153846154,0.00179607051282051
0.103,43,1,37,0.00216658888888889,0.00220319871794872,0.00290974358974359,0.00344522435897436
0.103,43,1,38,0.00199799444444444,0.00197121794871795,0.00235737820512821,0.00245460897435897
0.103,43,1,39,0.00190682777777778,0.0023956858974359,0.00223596794871795,0.0018694358974359
0.103,43,1,40,0.00175811666666667,0.00215533974358974,0.00240039743589744,0.00218430769230769
0.103,43,1,41,0.00170355555555556,0.0023489358974359,0.00237561538461539,0.00189288461538461
0.103,43,1,42,0.00157583888888889,0.00214851282051282,0.00225015384615385,0.00196966666666667
0.103,43,1,43,0.0014995,0.00205090384615385,0.00230751923076923,0.00203529487179487
0.103,43,1,44,0.00193933888888889,0.00234575641025641,0.00214032051282051,0.00179226282051282
0.103,43,2,1,0.00170018333333333,0.00217826923076923,0.00250309615384615,0.00231735897435897
0.103,43,2,2,0.00200152777777778,0.00261416025641026,0.00269594230769231,0.00231320512820513
0.103,43,2,3,0.00173563888888889,0.00236514102564103,0.00242273076923077,0.00194817307692308
0.103,43,2,4,0.00205397777777778,0.00259428846153846,0.00247691025641026,0.00199076923076923
0.103,43,2,5,0.00193773888888889,0.0026516282051282,0.0027291858974359,0.00223782051282051
0.103,43,2,6,0.00161659444444444,0.00204486538461538,0.00224990384615385,0.0019761858974359
0.103,43,2,7,0.00178377777777778,0.00225221794871795,0.00250380128205128,0.00224578205128205
0.103,43,2,8,0.00174204444444444,0.00224704487179487,0.00219578846153846,0.00184467948717949
0.103,43,2,9,0.00209460555555556,0.00235058974358974,0.00250742948717949,0.00234850641025641
0.103,43,2,10,0.00133805555555556,0.0019436858974359,0.00216153846153846,0.00200916666666667
0.103,43,2,11,0.0014703,0.00200789102564103,0.00207583974358974,0.00172628846153846
0.103,43,2,12,0.00168063888888889,0.00217467948717949,0.00272286538461538,0.00262280769230769
0.103,43,2,13,0.00157003888888889,0.00206473717948718,0.00238058974358974,0.00213139102564103
0.103,43,2,14,0.00202287777777778,0.00228385256410256,0.00277411538461539,0.0026094358974359
0.103,43,2,15,0.00168295555555556,0.00231619230769231,0.00267675641025641,0.00241761538461538
0.103,43,2,16,0.00177912777777778,0.00236321794871795,0.00264578205128205,0.00227397435897436
0.103,43,2,17,0.00171432777777778,0.0021163141025641,0.00232548717948718,0.00210455769230769
0.103,43,2,18,0.00203561666666667,0.00203334615384615,0.00314475,0.00334389102564102
0.103,43,2,19,0.00170109444444444,0.00232873717948718,0.00253892948717949,0.0022149358974359
0.103,43,2,20,0.00206967222222222,0.00274760897435897,0.00262311538461538,0.00201339743589744
0.103,43,2,21,0.00200694444444444,0.00263112179487179,0.00250982692307692,0.00191032051282051
0.103,43,2,22,0.00175036666666667,0.00236060256410256,0.0023225,0.00181717948717949
0.103,43,2,23,0.00121176666666667,0.00186412820512821,0.00212529487179487,0.00182136538461538
0.103,43,2,24,0.00170637777777778,0.00237833333333333,0.00259069871794872,0.00219442307692308
0.103,43,2,25,0.00202678888888889,0.0026360641025641,0.00269351923076923,0.00239739743589744
0.103,43,2,26,0.00211233888888889,0.0026573717948718,0.00267340384615385,0.00218339743589744
0.103,43,2,27,0.00216953333333333,0.00257037179487179,0.00291977564102564,0.0027555
0.103,43,2,28,0.00158521111111111,0.00205059615384615,0.00210557051282051,0.00182308333333333
0.103,43,2,29,0.00164865,0.00220258974358974,0.00214458333333333,0.00168578846153846
0.103,43,2,30,0.00176885,0.00220713461538462,0.00202213461538462,0.00165614743589744
0.103,43,2,31,0.00201979444444444,0.00246124358974359,0.00256614743589744,0.00230772435897436
0.103,43,2,32,0.00156546666666667,0.00215751923076923,0.00222378846153846,0.00181637820512821
0.103,43,2,33,0.00190551111111111,0.00252839102564103,0.00269360897435897,0.0022598717948718
0.103,43,2,34,0.00158801111111111,0.00214178205128205,0.00280751282051282,0.00262601282051282
0.103,43,2,35,0.00225936111111111,0.00277672435897436,0.00246048717948718,0.00192160256410256
0.103,43,2,36,0.0018163,0.00243926923076923,0.00236396153846154,0.00179607051282051
0.103,43,2,37,0.00216658888888889,0.00220319871794872,0.00290974358974359,0.00344522435897436
0.103,43,2,38,0.00199799444444444,0.00197121794871795,0.00235737820512821,0.00245460897435897
0.103,43,2,39,0.00190682777777778,0.0023956858974359,0.00223596794871795,0.0018694358974359
