rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8
43,1,1,0.00198725,0.00286637,0.00298871,0.00297844,0.00311162,0.00287556,0.00235286,0.00165102
43,1,2,0.00231792,0.00339616,0.00356119,0.00360827,0.00390872,0.00373186,0.00313103,0.00222893
43,1,3,0.0020887,0.0028421,0.00256006,0.00226786,0.00262949,0.00307313,0.00298936,0.00230342
43,1,4,0.00183622,0.00268387,0.0027497,0.00255435,0.00240794,0.00241572,0.00203711,0.00169642
43,1,5,0.00180407,0.00241653,0.00217299,0.00177886,0.00173626,0.00216805,0.00244109,0.00198389
43,1,6,0.00134107,0.00201756,0.00217118,0.00230575,0.00267039,0.0027208,0.00243767,0.00181002
43,1,7,0.00184147,0.00250767,0.00265574,0.00298065,0.00336059,0.00302585,0.0023114,0.00172912
43,1,8,0.00367829,0.00516794,0.00502025,0.00462195,0.0047672,0.00457737,0.00397362,0.00295486
43,1,9,0.00229286,0.00321672,0.00307157,0.00262125,0.00270603,0.00288671,0.00259295,0.00196915
43,1,10,0.003598,0.00505987,0.0050619,0.00472523,0.00460704,0.00417058,0.00352146,0.00256566
43,1,11,0.00257469,0.00355789,0.00353656,0.00346381,0.00331175,0.00312276,0.00302819,0.00236307
43,1,12,0.00159867,0.00216177,0.00206495,0.00201016,0.00225251,0.00273552,0.00265181,0.00205556
43,1,13,0.00329857,0.003773,0.00282052,0.00240894,0.00418392,0.00518846,0.0054672,0.00456086
43,1,14,0.00204922,0.00262242,0.00210644,0.002024,0.00295998,0.00366441,0.00354794,0.00269295
43,1,15,0.00180518,0.00250083,0.00236553,0.00248864,0.00307657,0.00314478,0.0026601,0.00190161
43,1,16,0.00163203,0.00231202,0.00231928,0.00249898,0.00296115,0.00304177,0.00271874,0.00201002
43,1,17,0.00121868,0.0017065,0.00169064,0.00167125,0.00172526,0.00163333,0.00144428,0.00106709
43,1,18,0.0024348,0.00372252,0.00405894,0.00404974,0.00415183,0.00391055,0.00338182,0.00245507
43,1,19,0.000744675,0.00102734,0.000982709,0.000998126,0.000962798,0.000838985,0.00081512,0.000706973
43,1,20,0.00118244,0.00164933,0.00167609,0.00157959,0.00150469,0.0013233,0.00117464,0.000895702
43,1,21,0.00323616,0.00467306,0.00492211,0.00491229,0.00517315,0.00483973,0.004036,0.00287829
43,1,22,0.00229578,0.00331288,0.00341409,0.0032812,0.00329413,0.00294394,0.00236084,0.00170785
43,1,23,0.000975073,0.00140955,0.0014759,0.00154022,0.00175144,0.00171728,0.00194972,0.00163704
43,1,24,0.00269902,0.00366451,0.00367208,0.00393833,0.00468846,0.00491952,0.00462007,0.00350491
43,1,25,0.00494723,0.00738089,0.00785314,0.0077182,0.00782616,0.00700081,0.00585286,0.00425198
43,1,26,0.0028068,0.0041321,0.00429478,0.00419886,0.00432974,0.00394473,0.00316694,0.00219192
43,1,27,0.0013923,0.00189749,0.00177586,0.00191578,0.00233668,0.00241027,0.00215471,0.00165868
43,1,28,0.00237159,0.00321136,0.00313643,0.00288373,0.00273479,0.00264232,0.00228099,0.00168079
43,1,29,0.00120998,0.00161842,0.00167055,0.00166098,0.00189898,0.00179968,0.00160358,0.00131079
43,1,30,0.00282055,0.00373783,0.00343307,0.00366465,0.00402246,0.00386388,0.00324678,0.0023098
43,1,31,0.00174459,0.00242982,0.00250632,0.00262249,0.00291992,0.00281431,0.0022705,0.00162832
