inner_bay,id,trib_wt_1,trib_wt_2,trib_seismic_wt_1,trib_seismic_wt_2,ele_id,direction,story,type,node_1,node_2,node_3,node_4,dead_load_1,live_load_1,dead_load_2,live_load_2,seismic_wt_1,seismic_wt_2,elastic,e,iz,Mn_pos_1,Mn_neg_1,Mp_pos_1,Mp_neg_1,a_hinge_1,b_hinge_1,c_hinge_1,critical_mode_1,Mn_pos_2,Mn_neg_2,Mp_pos_2,Mp_neg_2,a_hinge_2,b_hinge_2,c_hinge_2,critical_mode_2,dead_load,live_load,length,rigid
0,1,0,0,0,0.025,1101,x,1,column,6197,6198,0,0,0,0,0,0,0,17100,0,4768962.15124423,65318.4,25682634.9572822,25682634.9572822,30482593.9223406,30482593.9223406,0.0738493040722103,0.17384930407221,0.2,flexure,25682634.9572822,25682634.9572822,30482593.9223406,30482593.9223406,0.0738493040722103,0.17384930407221,0.2,flexure,0,0,138,0
0,2,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6199,6200,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,29750,11050,204,0
1,3,0,0,0,0.05,1201,x,1,column,6201,6202,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,23082296.9686295,23082296.9686295,27304210.5247774,27304210.5247774,0.0667562760612657,0.166756276061266,0.2,flexure,23082296.9686295,23082296.9686295,27304210.5247774,27304210.5247774,0.0667562760612657,0.166756276061266,0.2,flexure,0,0,138,0
1,4,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6203,6204,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,29750,11050,204,0
1,5,0,0,0,0.05,1201,x,1,column,6205,6206,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,23082296.9686295,23082296.9686295,27304210.5247774,27304210.5247774,0.0667562760612657,0.166756276061266,0.2,flexure,23082296.9686295,23082296.9686295,27304210.5247774,27304210.5247774,0.0667562760612657,0.166756276061266,0.2,flexure,0,0,138,0
0,6,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6207,6208,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,11426034.5918646,16161050.1503938,13825308.4012437,19554597.0582169,0.052446704906781,0.152446704906781,0.2,flexure,29750,11050,204,0
0,7,0,0,0,0.025,1101,x,1,column,6209,6210,0,0,0,0,0,0,0,17100,0,4768962.15124423,65318.4,25682634.9572822,25682634.9572822,30482593.9223406,30482593.9223406,0.0738493040722103,0.17384930407221,0.2,flexure,25682634.9572822,25682634.9572822,30482593.9223406,30482593.9223406,0.0738493040722103,0.17384930407221,0.2,flexure,0,0,138,0
0,8,0,0,0,0.025,1102,x,2,column,6211,6212,0,0,0,0,0,0,0,17100,0,4030508.65276332,65318.4,18161218.2487267,18161218.2487267,21799504.1123634,21799504.1123634,0.0652926215696891,0.165292621569689,0.2,flexure,18161218.2487267,18161218.2487267,21799504.1123634,21799504.1123634,0.0652926215696891,0.165292621569689,0.2,flexure,0,0,114,0
0,9,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2102,x,2,beam,6213,6214,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
1,10,0,0,0,0.05,1202,x,2,column,6215,6216,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,22499640.5876,22499640.5876,26636734.7395689,26636734.7395689,0.0676194577988533,0.167619457798853,0.2,flexure,22499640.5876,22499640.5876,26636734.7395689,26636734.7395689,0.0676194577988533,0.167619457798853,0.2,flexure,0,0,114,0
1,11,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2102,x,2,beam,6217,6218,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
1,12,0,0,0,0.05,1202,x,2,column,6219,6220,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,22499640.5876,22499640.5876,26636734.7395689,26636734.7395689,0.0676194577988533,0.167619457798853,0.2,flexure,22499640.5876,22499640.5876,26636734.7395689,26636734.7395689,0.0676194577988533,0.167619457798853,0.2,flexure,0,0,114,0
0,13,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2102,x,2,beam,6221,6222,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
0,14,0,0,0,0.025,1102,x,2,column,6223,6224,0,0,0,0,0,0,0,17100,0,4030508.65276332,65318.4,18161218.2487267,18161218.2487267,21799504.1123634,21799504.1123634,0.0652926215696891,0.165292621569689,0.2,flexure,18161218.2487267,18161218.2487267,21799504.1123634,21799504.1123634,0.0652926215696891,0.165292621569689,0.2,flexure,0,0,114,0
0,15,0,0,0,0.025,1103,x,3,column,6225,6226,0,0,0,0,0,0,0,17100,0,4030508.65276332,65318.4,17798967.8595341,17798967.8595341,21380572.4460558,21380572.4460558,0.0660604497468102,0.16606044974681,0.2,flexure,17798967.8595341,17798967.8595341,21380572.4460558,21380572.4460558,0.0660604497468102,0.16606044974681,0.2,flexure,0,0,114,0
0,16,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2103,x,3,beam,6227,6228,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13012368.43282,16172868.3500205,15744745.4904814,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
