inner_bay,id,trib_wt_1,trib_wt_2,trib_seismic_wt_1,trib_seismic_wt_2,ele_id,direction,story,type,node_1,node_2,node_3,node_4,dead_load_1,live_load_1,dead_load_2,live_load_2,seismic_wt_1,seismic_wt_2,elastic,e,iz,Mn_pos_1,Mn_neg_1,Mp_pos_1,Mp_neg_1,a_hinge_1,b_hinge_1,c_hinge_1,critical_mode_1,Mn_pos_2,Mn_neg_2,Mp_pos_2,Mp_neg_2,a_hinge_2,b_hinge_2,c_hinge_2,critical_mode_2,dead_load,live_load,length,rigid
0,1,0,0,0,0.025,1101,x,1,column,6133,6134,0,0,0,0,0,0,0,17100,0,4768962.15124423,65318.4,22600008.7521687,22600008.7521687,26880877.5998835,26880877.5998835,0.0751445603899404,0.17514456038994,0.2,flexure,22600008.7521687,22600008.7521687,26880877.5998835,26880877.5998835,0.0751445603899404,0.17514456038994,0.2,flexure,0,0,138,0
0,2,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6135,6136,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
1,3,0,0,0,0.05,1201,x,1,column,6137,6138,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,20904979.9174624,20904979.9174624,24809589.3780591,24809589.3780591,0.0702765495828236,0.170276549582824,0.2,flexure,20904979.9174624,20904979.9174624,24809589.3780591,24809589.3780591,0.0702765495828236,0.170276549582824,0.2,flexure,0,0,138,0
1,4,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6139,6140,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
1,5,0,0,0,0.05,1201,x,1,column,6141,6142,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,20904979.9174624,20904979.9174624,24809589.3780591,24809589.3780591,0.0702765495828236,0.170276549582824,0.2,flexure,20904979.9174624,20904979.9174624,24809589.3780591,24809589.3780591,0.0702765495828236,0.170276549582824,0.2,flexure,0,0,138,0
0,6,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2101,x,1,beam,6143,6144,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,13031961.8958162,16172868.3500205,15768453.2489686,19568896.8796705,0.0583582061347686,0.158358206134769,0.2,flexure,29750,11050,204,0
0,7,0,0,0,0.025,1101,x,1,column,6145,6146,0,0,0,0,0,0,0,17100,0,4768962.15124423,65318.4,22600008.7521687,22600008.7521687,26880877.5998835,26880877.5998835,0.0751445603899404,0.17514456038994,0.2,flexure,22600008.7521687,22600008.7521687,26880877.5998835,26880877.5998835,0.0751445603899404,0.17514456038994,0.2,flexure,0,0,138,0
0,8,0,0,0,0.025,1102,x,2,column,6147,6148,0,0,0,0,0,0,0,17100,0,4768962.15124423,65318.4,15460014.3950339,15460014.3950339,18398200.7604915,18398200.7604915,0.0710724336097623,0.171072433609762,0.2,flexure,15460014.3950339,15460014.3950339,18398200.7604915,18398200.7604915,0.0710724336097623,0.171072433609762,0.2,flexure,0,0,114,0
0,9,0.141666666666667,0.141666666666667,0.141666666666667,0.141666666666667,2102,x,2,beam,6149,6150,0,0,14875,5525,14875,5525,96900,96900,0,4030508.65276332,91766.4149184149,14596513.5406643,16187834.4974878,17661534.2497123,19587005.6647131,0.0585984214866957,0.158598421486696,0.2,flexure,14596513.5406643,16187834.4974878,17661534.2497123,19587005.6647131,0.0585984214866957,0.158598421486696,0.2,flexure,29750,11050,204,0
1,10,0,0,0,0.05,1202,x,2,column,6151,6152,0,0,0,0,0,0,0,34200,0,4768962.15124423,65318.4,20308676.6185758,20308676.6185758,24121607.7754219,24121607.7754219,0.0711852496745557,0.171185249674556,0.2,flexure,20308676.6185758,20308676.6185758,24121607.7754219,24121607.7754219,0.0711852496745557,0.171185249674556,0.2,flexure,0,0,114,0
