Modes,Modal periods
1,1.502428077
2,0.257529182
3,0.094839392
4,0.049018944
5,0.029756759
6,0.019663698
7,0.014132949
8,0.010650248
9,0.008306437
10,0.006646501
11,0.005424655
12,0.00455699
13,0.003886702
14,0.003366667
15,0.00297326
16,0.00267062
17,0.002418912
18,0.002216206
19,0.002051614
20,0.001877921
