story,story drift ratio
1,0.000607532
2,0.001677467
3,0.002585117
4,0.003413146
5,0.004236461
6,0.005048603
7,0.00577617
8,0.006423234
9,0.007023822
10,0.007577318
11,0.008055808
12,0.008463585
13,0.008823821
14,0.00913627
15,0.009384471
16,0.00957373
17,0.009727254
18,0.009843514
19,0.00991151
20,0.00994452
