rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12,story_13,story_14,story_15,story_16,story_17,story_18
43,1,median,0.000306320617355321,0.000533589872474058,0.000703950703202547,0.000828129281360159,0.000916222759697187,0.000977867715258046,0.00102175254489766,0.00105513639966348,0.00108354663487144,0.00111092657818112,0.00113984495136578,0.00117166354187539,0.00120663316919228,0.0012436636902848,0.00128001474481329,0.00131123858290788,0.00133184651137005,0.00133860645019296
43,2,median,0.000306320617355321,0.000533589872474058,0.000703950703202547,0.000828129281360159,0.000916222759697187,0.000977867715258046,0.00102175254489766,0.00105513639966348,0.00108354663487144,0.00111092657818112,0.00113984495136578,0.00117166354187539,0.00120663316919228,0.0012436636902848,0.00128001474481329,0.00131123858290788,0.00133184651137005,0.00133860645019296
72,1,median,0.000455605336315219,0.000793633792598893,0.00104701962163357,0.00123171637287777,0.00136274202557931,0.00145442952266301,0.00151970153321103,0.00156935494051152,0.00161161084505515,0.00165233434707602,0.00169534602958774,0.00174267134433596,0.00179468334715863,0.00184976061607362,0.00190382728180071,0.00195026799277525,0.00198091915252685,0.0019909735335459
72,2,median,0.000455605336315219,0.000793633792598893,0.00104701962163357,0.00123171637287777,0.00136274202557931,0.00145442952266301,0.00151970153321103,0.00156935494051152,0.00161161084505515,0.00165233434707602,0.00169534602958774,0.00174267134433596,0.00179468334715863,0.00184976061607362,0.00190382728180071,0.00195026799277525,0.00198091915252685,0.0019909735335459
108,1,median,0.000611308487399634,0.00106485818894624,0.00140483864029136,0.00165265551738035,0.00182845919477211,0.00195148089949796,0.00203905962357603,0.00210568208580746,0.00216237894827001,0.0022170197095555,0.0022747306371522,0.00233822938106162,0.00240801648897677,0.00248191641785564,0.00255446036984637,0.00261677219658924,0.00265789839202922,0.00267138885836618
108,2,median,0.000611308487399634,0.00106485818894624,0.00140483864029136,0.00165265551738035,0.00182845919477211,0.00195148089949796,0.00203905962357603,0.00210568208580746,0.00216237894827001,0.0022170197095555,0.0022747306371522,0.00233822938106162,0.00240801648897677,0.00248191641785564,0.00255446036984637,0.00261677219658924,0.00265789839202922,0.00267138885836618
224,1,median,0.00102764793866482,0.0017532680573869,0.00229518149890985,0.00268826139331627,0.00296502080949424,0.00315641736131805,0.00329033740699956,0.00339007238240143,0.00347335788564941,0.00355285073959449,0.00363680175590259,0.00372959398176327,0.00383205091542506,0.00394070101883868,0.00405705995468105,0.004157006782104,0.00422297231341738,0.00424461073073419
224,2,median,0.00102764793866482,0.0017532680573869,0.00229518149890985,0.00268826139331627,0.00296502080949424,0.00315641736131805,0.00329033740699956,0.00339007238240143,0.00347335788564941,0.00355285073959449,0.00363680175590259,0.00372959398176327,0.00383205091542506,0.00394070101883868,0.00405705995468105,0.004157006782104,0.00422297231341738,0.00424461073073419
475,1,median,0.00206703791497815,0.00307264911745016,0.00379762481702271,0.00429841333686741,0.00462363655139057,0.00481866056420997,0.00492402619298966,0.00497349627598362,0.00499278949864914,0.00500030981847934,0.00500813227735972,0.00502278661223859,0.00504570792497499,0.00507220229476094,0.00523732114541976,0.00537915043555204,0.00547275865424801,0.00550346459506434
475,2,median,0.00206703791497815,0.00307264911745016,0.00379762481702271,0.00429841333686741,0.00462363655139057,0.00481866056420997,0.00492402619298966,0.00497349627598362,0.00499278949864914,0.00500030981847934,0.00500813227735972,0.00502278661223859,0.00504570792497499,0.00507220229476094,0.00523732114541976,0.00537915043555204,0.00547275865424801,0.00550346459506434
975,1,median,0.0038357513812229,0.0051658152185968,0.00608006342649225,0.00666707199212542,0.00699725720654829,0.0071348436317823,0.00713669858767785,0.00705002178131426,0.0069107829169542,0.00674480349146711,0.00656915228411837,0.00639324636238519,0.00621948747644559,0.00604186805148929,0.00626687884128792,0.00646015247698677,0.00658771428556517,0.00662955789074426
975,2,median,0.0038357513812229,0.0051658152185968,0.00608006342649225,0.00666707199212542,0.00699725720654829,0.0071348436317823,0.00713669858767785,0.00705002178131426,0.0069107829169542,0.00674480349146711,0.00656915228411837,0.00639324636238519,0.00621948747644559,0.00604186805148929,0.00626687884128792,0.00646015247698677,0.00658771428556517,0.00662955789074426
2475,1,median,0.00719855125668858,0.00904720507372007,0.0102422729148825,0.0109304485821574,0.0112199531637426,0.0112072064559753,0.0109767498841951,0.0105984968701038,0.0101257515928851,0.00959691090409297,0.00903755917516856,0.00846210801087725,0.00787474910353005,0.00726747283916657,0.00759143005876985,0.00786969400202187,0.00805334994523953,0.00811359389178152
2475,2,median,0.00719855125668858,0.00904720507372007,0.0102422729148825,0.0109304485821574,0.0112199531637426,0.0112072064559753,0.0109767498841951,0.0105984968701038,0.0101257515928851,0.00959691090409297,0.00903755917516856,0.00846210801087725,0.00787474910353005,0.00726747283916657,0.00759143005876985,0.00786969400202187,0.00805334994523953,0.00811359389178152
4975,1,median,0.0101243061909882,0.0124474505674898,0.0139055784542494,0.0146966512216942,0.0149626425401993,0.0148288507932389,0.0144046930390604,0.013780516124971,0.0130252168178428,0.012188495058136,0.0113035761315437,0.0103893344259578,0.00945153030585581,0.00848029483115809,0.00889387692888172,0.00924912440727388,0.00948358996525217,0.00956050079260303
4975,2,median,0.0101243061909882,0.0124474505674898,0.0139055784542494,0.0146966512216942,0.0149626425401993,0.0148288507932389,0.0144046930390604,0.013780516124971,0.0130252168178428,0.012188495058136,0.0113035761315437,0.0103893344259578,0.00945153030585581,0.00848029483115809,0.00889387692888172,0.00924912440727388,0.00948358996525217,0.00956050079260303
