rp,direction,ground_motion,story_1,story_2,story_3,story_4
43,1,1,0.00023065,0.000375232,0.000452278,0.000473589
43,1,2,0.000453972,0.000647353,0.000742192,0.000766537
43,1,3,0.000528668,0.00108164,0.00117831,0.00120651
43,1,4,0.000698376,0.00119019,0.00149624,0.00143278
43,1,5,0.000549667,0.00100315,0.00137396,0.00137769
43,1,6,0.000434176,0.000746961,0.000889798,0.000901486
43,1,7,0.000261355,0.00049958,0.000567641,0.000590816
43,1,8,0.00054701,0.000989979,0.00122802,0.00123017
43,1,9,0.000616966,0.00119211,0.00152839,0.00148223
43,1,10,0.000645483,0.00108024,0.00134079,0.0013314
43,1,11,0.00035281,0.000647654,0.0007544,0.000784183
43,1,12,0.000474127,0.00100996,0.00117128,0.00119767
43,1,13,0.00192768,0.00357174,0.00434632,0.00422268
43,1,14,0.00117843,0.00220578,0.00291409,0.00271193
43,1,15,0.000253809,0.000461301,0.000539301,0.000560689
43,1,16,0.000363938,0.000627731,0.000714353,0.000736902
43,1,17,0.000227506,0.000384127,0.000462246,0.000486331
43,1,18,0.000362384,0.000625641,0.000740858,0.00076762
43,1,19,0.000107529,0.000204629,0.000260886,0.000277496
43,1,20,0.000155461,0.000290421,0.00035823,0.000379297
43,1,21,0.000175525,0.000297888,0.000358728,0.000376618
43,1,22,0.000181483,0.000314363,0.000385462,0.000406576
43,1,23,0.000597678,0.00116594,0.00126682,0.00130782
43,1,24,0.00105588,0.00189179,0.00230649,0.00229963
43,1,25,0.000884214,0.00186046,0.00204131,0.00211
43,1,26,0.000974228,0.00162383,0.00178621,0.00183226
43,1,27,0.000534627,0.000854232,0.000898467,0.00093819
43,1,28,0.000317619,0.00045133,0.000544246,0.000574658
43,1,29,0.000421753,0.000835931,0.000897838,0.000930144
43,1,30,0.000477579,0.000890861,0.00110946,0.00112697
43,1,31,0.000305155,0.000512897,0.000569902,0.000589684
43,1,32,0.000108337,0.000202151,0.00025629,0.000272566
43,1,33,0.000949405,0.00183612,0.00215898,0.00219517
43,1,34,0.000636654,0.00126229,0.00151926,0.00145736
43,1,35,0.000342406,0.000634288,0.00068704,0.000711636
43,1,36,0.00124731,0.00210349,0.00268435,0.00250526
43,1,37,0.000109442,0.000195192,0.000245128,0.000260378
43,1,38,0.000161892,0.000257207,0.000306921,0.000319139
43,1,39,0.00101191,0.00175292,0.00209663,0.00214635
43,1,40,0.000411903,0.000762486,0.000838491,0.000873481
43,1,41,0.000665172,0.00108041,0.00121595,0.00126168
43,1,42,0.000463463,0.000826161,0.000876104,0.000902144
43,1,43,0.000640155,0.0010437,0.0011881,0.00124795
43,1,44,0.00128005,0.00194904,0.00236965,0.00229555
43,2,1,0.00023065,0.000375232,0.000452278,0.000473589
43,2,2,0.000453972,0.000647353,0.000742192,0.000766537
43,2,3,0.000528668,0.00108164,0.00117831,0.00120651
43,2,4,0.000698376,0.00119019,0.00149624,0.00143278
43,2,5,0.000549667,0.00100315,0.00137396,0.00137769
43,2,6,0.000434176,0.000746961,0.000889798,0.000901486
43,2,7,0.000261355,0.00049958,0.000567641,0.000590816
43,2,8,0.00054701,0.000989979,0.00122802,0.00123017
43,2,9,0.000616966,0.00119211,0.00152839,0.00148223
43,2,10,0.000645483,0.00108024,0.00134079,0.0013314
43,2,11,0.00035281,0.000647654,0.0007544,0.000784183
43,2,12,0.000474127,0.00100996,0.00117128,0.00119767
43,2,13,0.00192768,0.00357174,0.00434632,0.00422268
43,2,14,0.00117843,0.00220578,0.00291409,0.00271193
43,2,15,0.000253809,0.000461301,0.000539301,0.000560689
43,2,16,0.000363938,0.000627731,0.000714353,0.000736902
43,2,17,0.000227506,0.000384127,0.000462246,0.000486331
43,2,18,0.000362384,0.000625641,0.000740858,0.00076762
43,2,19,0.000107529,0.000204629,0.000260886,0.000277496
43,2,20,0.000155461,0.000290421,0.00035823,0.000379297
43,2,21,0.000175525,0.000297888,0.000358728,0.000376618
43,2,22,0.000181483,0.000314363,0.000385462,0.000406576
43,2,23,0.000597678,0.00116594,0.00126682,0.00130782
43,2,24,0.00105588,0.00189179,0.00230649,0.00229963
43,2,25,0.000884214,0.00186046,0.00204131,0.00211
43,2,26,0.000974228,0.00162383,0.00178621,0.00183226
43,2,27,0.000534627,0.000854232,0.000898467,0.00093819
43,2,28,0.000317619,0.00045133,0.000544246,0.000574658
43,2,29,0.000421753,0.000835931,0.000897838,0.000930144
43,2,30,0.000477579,0.000890861,0.00110946,0.00112697
43,2,31,0.000305155,0.000512897,0.000569902,0.000589684
43,2,32,0.000108337,0.000202151,0.00025629,0.000272566
43,2,33,0.000949405,0.00183612,0.00215898,0.00219517
43,2,34,0.000636654,0.00126229,0.00151926,0.00145736
43,2,35,0.000342406,0.000634288,0.00068704,0.000711636
43,2,36,0.00124731,0.00210349,0.00268435,0.00250526
43,2,37,0.000109442,0.000195192,0.000245128,0.000260378
43,2,38,0.000161892,0.000257207,0.000306921,0.000319139
43,2,39,0.00101191,0.00175292,0.00209663,0.00214635
43,2,40,0.000411903,0.000762486,0.000838491,0.000873481
43,2,41,0.000665172,0.00108041,0.00121595,0.00126168
43,2,42,0.000463463,0.000826161,0.000876104,0.000902144
43,2,43,0.000640155,0.0010437,0.0011881,0.00124795
43,2,44,0.00128005,0.00194904,0.00236965,0.00229555
72,1,1,0.000406797,0.000604743,0.000702458,0.000725537
72,1,2,0.000871143,0.00134627,0.00156611,0.00161019
72,1,3,0.0010711,0.00165589,0.00222359,0.002207
72,1,4,0.000866998,0.00167836,0.00217912,0.00222029
72,1,5,0.000720602,0.00126335,0.00178932,0.00174328
72,1,6,0.000807285,0.00124878,0.00169565,0.00164927
72,1,7,0.000438008,0.000791367,0.00104547,0.000998677
72,1,8,0.00181101,0.00283176,0.00404905,0.00361445
72,1,9,0.00104748,0.00166698,0.00225267,0.00208447
72,1,10,0.000944807,0.00161363,0.00200646,0.00199803
72,1,11,0.000527623,0.000948265,0.00108725,0.00111376
72,1,12,0.000683996,0.00133031,0.00159392,0.00164784
72,1,13,0.00218185,0.00351331,0.00431453,0.00416411
72,1,14,0.00178448,0.00315083,0.00350446,0.00346414
72,1,15,0.000551408,0.00102291,0.00111896,0.00115157
72,1,16,0.000497404,0.000856253,0.00100884,0.00103541
72,1,17,0.000424196,0.000722913,0.00083994,0.000878507
72,1,18,0.000819663,0.00132905,0.00157376,0.00157222
72,1,19,0.00017291,0.000311953,0.00038294,0.000406364
72,1,20,0.000171514,0.000311511,0.000384068,0.000403905
72,1,21,0.000351691,0.000592051,0.000694831,0.000723951
72,1,22,0.000236878,0.000385301,0.000467957,0.000491184
72,1,23,0.000946571,0.00166306,0.00191524,0.00192642
72,1,24,0.00210691,0.00299467,0.00398179,0.00389541
72,1,25,0.00142132,0.00254942,0.00290517,0.00287044
72,1,26,0.00151597,0.00235944,0.0027827,0.00272095
72,1,27,0.00121383,0.00198294,0.00225939,0.00228717
72,1,28,0.000399822,0.000666313,0.000751917,0.000780838
72,1,29,0.000575784,0.0011967,0.00122519,0.00127019
72,1,30,0.000632452,0.00109507,0.00120489,0.00123868
72,1,31,0.000369582,0.000720906,0.000771229,0.000793536
72,1,32,0.000260784,0.000407634,0.000474272,0.000492166
72,1,33,0.00187703,0.0028791,0.00423574,0.00389791
72,1,34,0.00117622,0.00212219,0.0028042,0.00264067
72,1,35,0.000558506,0.000941069,0.00106831,0.00110324
72,1,36,0.00191011,0.00329043,0.00408729,0.00405199
72,1,37,0.00025415,0.000403171,0.000472927,0.000489057
72,1,38,0.000231931,0.000392153,0.00046976,0.000493189
72,1,39,0.00131615,0.00254742,0.00317481,0.00304235
72,1,40,0.000835637,0.0016442,0.00185791,0.00189886
72,1,41,0.000898953,0.00173845,0.00212245,0.00217012
72,1,42,0.000750274,0.00142248,0.00168459,0.00175005
72,1,43,0.00146518,0.00251383,0.00304543,0.00314788
72,1,44,0.00203365,0.00315798,0.00381636,0.00383396
72,2,1,0.000406797,0.000604743,0.000702458,0.000725537
72,2,2,0.000871143,0.00134627,0.00156611,0.00161019
72,2,3,0.0010711,0.00165589,0.00222359,0.002207
72,2,4,0.000866998,0.00167836,0.00217912,0.00222029
72,2,5,0.000720602,0.00126335,0.00178932,0.00174328
72,2,6,0.000807285,0.00124878,0.00169565,0.00164927
72,2,7,0.000438008,0.000791367,0.00104547,0.000998677
72,2,8,0.00181101,0.00283176,0.00404905,0.00361445
72,2,9,0.00104748,0.00166698,0.00225267,0.00208447
72,2,10,0.000944807,0.00161363,0.00200646,0.00199803
72,2,11,0.000527623,0.000948265,0.00108725,0.00111376
72,2,12,0.000683996,0.00133031,0.00159392,0.00164784
72,2,13,0.00218185,0.00351331,0.00431453,0.00416411
72,2,14,0.00178448,0.00315083,0.00350446,0.00346414
72,2,15,0.000551408,0.00102291,0.00111896,0.00115157
72,2,16,0.000497404,0.000856253,0.00100884,0.00103541
72,2,17,0.000424196,0.000722913,0.00083994,0.000878507
72,2,18,0.000819663,0.00132905,0.00157376,0.00157222
72,2,19,0.00017291,0.000311953,0.00038294,0.000406364
72,2,20,0.000171514,0.000311511,0.000384068,0.000403905
72,2,21,0.000351691,0.000592051,0.000694831,0.000723951
72,2,22,0.000236878,0.000385301,0.000467957,0.000491184
72,2,23,0.000946571,0.00166306,0.00191524,0.00192642
72,2,24,0.00210691,0.00299467,0.00398179,0.00389541
72,2,25,0.00142132,0.00254942,0.00290517,0.00287044
72,2,26,0.00151597,0.00235944,0.0027827,0.00272095
72,2,27,0.00121383,0.00198294,0.00225939,0.00228717
72,2,28,0.000399822,0.000666313,0.000751917,0.000780838
72,2,29,0.000575784,0.0011967,0.00122519,0.00127019
72,2,30,0.000632452,0.00109507,0.00120489,0.00123868
72,2,31,0.000369582,0.000720906,0.000771229,0.000793536
72,2,32,0.000260784,0.000407634,0.000474272,0.000492166
72,2,33,0.00187703,0.0028791,0.00423574,0.00389791
72,2,34,0.00117622,0.00212219,0.0028042,0.00264067
72,2,35,0.000558506,0.000941069,0.00106831,0.00110324
72,2,36,0.00191011,0.00329043,0.00408729,0.00405199
72,2,37,0.00025415,0.000403171,0.000472927,0.000489057
72,2,38,0.000231931,0.000392153,0.00046976,0.000493189
72,2,39,0.00131615,0.00254742,0.00317481,0.00304235
72,2,40,0.000835637,0.0016442,0.00185791,0.00189886
72,2,41,0.000898953,0.00173845,0.00212245,0.00217012
72,2,42,0.000750274,0.00142248,0.00168459,0.00175005
72,2,43,0.00146518,0.00251383,0.00304543,0.00314788
72,2,44,0.00203365,0.00315798,0.00381636,0.00383396
108,1,1,0.000743239,0.00122916,0.00147442,0.00151955
108,1,2,0.00237306,0.00326279,0.0041914,0.00423036
108,1,3,0.00127875,0.00238352,0.00311705,0.00292813
108,1,4,0.00124367,0.00194788,0.00254294,0.00253793
108,1,5,0.00127397,0.00228445,0.00294459,0.00280546
108,1,6,0.00104674,0.00196797,0.00249582,0.00242083
108,1,7,0.000466723,0.000777156,0.000957137,0.000985049
108,1,8,0.00262422,0.00369092,0.00467789,0.00452977
108,1,9,0.00126649,0.00232707,0.00303101,0.00287777
108,1,10,0.00162654,0.00260852,0.00328346,0.00316886
108,1,11,0.00107943,0.00192645,0.00230207,0.00235242
108,1,12,0.00109295,0.00211466,0.00260652,0.00260879
108,1,13,0.00224564,0.00371668,0.00434512,0.00438447
108,1,14,0.00183997,0.00318936,0.00404509,0.00382624
108,1,15,0.000766461,0.00139819,0.00153127,0.0015416
108,1,16,0.000539004,0.00105314,0.00115265,0.0011946
108,1,17,0.000716322,0.0013562,0.00153033,0.00157644
108,1,18,0.000854364,0.00160168,0.00184091,0.00189509
108,1,19,0.000211298,0.000357643,0.000440995,0.000469266
108,1,20,0.000354945,0.000665671,0.000777101,0.000813142
108,1,21,0.000598503,0.00123698,0.00149816,0.00152668
108,1,22,0.000622085,0.00116222,0.00132274,0.00135169
108,1,23,0.000994984,0.0020038,0.00239193,0.00236184
108,1,24,0.00243303,0.00379507,0.0044885,0.00456632
108,1,25,0.00244319,0.00325118,0.00386633,0.00380076
108,1,26,0.00189257,0.00324924,0.00383798,0.00364547
108,1,27,0.00137299,0.00287923,0.00351099,0.00343072
108,1,28,0.000496882,0.000998815,0.00107734,0.00111251
108,1,29,0.000731649,0.00151233,0.00183754,0.00187412
108,1,30,0.00123623,0.00196098,0.00246187,0.00243292
108,1,31,0.0004283,0.000811801,0.000930934,0.000965362
108,1,32,0.00033755,0.000544606,0.000644685,0.000670151
108,1,33,0.00208347,0.00345845,0.00432535,0.00420558
108,1,34,0.00109029,0.00212089,0.00246891,0.0024806
108,1,35,0.000628209,0.00116458,0.00128334,0.00133053
108,1,36,0.00242045,0.00421083,0.00529287,0.00525602
108,1,37,0.000276502,0.000509338,0.000619444,0.000645716
108,1,38,0.000352257,0.000605439,0.000708432,0.000735605
108,1,39,0.00184851,0.00291047,0.0036221,0.00356755
108,1,40,0.000902959,0.00162972,0.00189291,0.0019684
108,1,41,0.00111228,0.00200231,0.002532,0.00248561
108,1,42,0.00083724,0.00147061,0.00190828,0.00190892
108,1,43,0.00230382,0.00325393,0.00380977,0.00385453
108,1,44,0.00263037,0.00350608,0.00447199,0.00433146
