sa,rp,direction,gm,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_10,floor_11,floor_12,floor_13,floor_14,floor_15,floor_16,floor_17,floor_18,floor_19,floor_20,floor_21
0.031,43,1,1,0.199267756998602,0.279961051813472,0.257569015544041,0.243328637305699,0.225206461139896,0.218002958549223,0.222396792746114,0.228098958549223,0.220242134715026,0.224366544041451,0.196616222797927,0.158896341968912,0.156832481865282,0.16286468393783,0.170728139896373,0.166638010362694,0.126265455958548,0.165975792746103,0.191504248704663,0.245210046632124,0.333261860103627
0.031,43,1,2,0.0643635617163412,0.202367305699482,0.196801743523316,0.182898264248705,0.172098549222798,0.173394134715026,0.184515533678756,0.195742194300518,0.201948616580311,0.200590414507772,0.190762227979275,0.175118523316062,0.173206067357513,0.165469487046632,0.163131440414508,0.171216155440415,0.169890507772021,0.152645430051813,0.146731658031088,0.161787958549223,0.172452621761658
0.031,43,1,3,0.0543354969627726,0.25075853626943,0.248600018134715,0.244225658031088,0.238812445595855,0.231772419689119,0.222686772020725,0.211241953367876,0.197642471502591,0.183957497409326,0.173585994818653,0.168317601036269,0.166994284974093,0.167368119170984,0.167789362694301,0.168459829015544,0.171155943005181,0.178612678756477,0.187993766839378,0.194593766839378,0.19736967357513
0.031,43,1,4,0.0600941389112333,0.159876367875646,0.152585404145077,0.154083227979273,0.153149279792743,0.150881922279788,0.137636041450772,0.134314585492228,0.139470404145076,0.143392943005178,0.151333453367876,0.167292476683938,0.171462787564767,0.162459471502591,0.142829212435233,0.118633227979275,0.110432968911916,0.118687528497408,0.128436326424866,0.148015481865283,0.167819108808289
0.031,43,1,5,0.199091638542295,0.313458357512952,0.313728663212435,0.298328989637299,0.270909419689119,0.234332559585492,0.247266238341969,0.252548880829016,0.245628321243523,0.238161538860097,0.229141471502591,0.223267844559585,0.254203772020725,0.243096290155443,0.257354704663214,0.327312031088086,0.343532994818653,0.262080720207255,0.256472906735751,0.281740031088083,0.34798629015544
0.031,43,1,6,0.148157844590801,0.437398176165802,0.425460958549223,0.414749248704663,0.403527227979275,0.392629041450777,0.379195880829016,0.358140766839373,0.328385844559581,0.295665829015544,0.263490440414507,0.247326823834197,0.250806077720207,0.271940766839377,0.316226621761656,0.335804367875645,0.321248409326421,0.296111424870466,0.368066606217617,0.451033186528497,0.549183849740933
0.031,43,1,7,0.152966885386861,0.573222829015542,0.550623787564764,0.51383984974093,0.47198205181347,0.455914036269429,0.427319734974092,0.378809632124352,0.367462274611399,0.391884813471502,0.408103839378237,0.441719901554402,0.459330264248703,0.498150590673576,0.526534113989638,0.521979580310881,0.484263984455958,0.403676704663211,0.395983290155441,0.409485963730567,0.415107347150259
0.031,43,1,8,0.244073661935116,0.476130160621753,0.422461849740916,0.343274839378232,0.334178347150259,0.341193632124352,0.347859176165803,0.360172388601036,0.352828347150259,0.311254772020725,0.246974202072539,0.272817689119173,0.317326932642481,0.373399808290149,0.380923901554398,0.373950186528491,0.338406145077713,0.301176051813472,0.406231455958549,0.523670056994819,0.618215652849741
0.031,43,1,9,0.325563352557398,0.422180316062169,0.386295715025907,0.388543440414508,0.407561797927461,0.382811797927461,0.322912497409326,0.37633496891192,0.438033207253886,0.426287113989626,0.361272347150247,0.374192668393782,0.405469974093264,0.396848212435233,0.326242507772021,0.30718836787565,0.32535394300518,0.355066424870466,0.302597689119171,0.344945647668394,0.535850388601036
0.031,43,1,10,0.049712111905501,0.317770357512953,0.305569735751294,0.28719707253886,0.269967404145076,0.262353932642486,0.264862222797927,0.272272212435233,0.276783870466321,0.276831797927461,0.273987238341969,0.269124803108808,0.264324139896373,0.262473880829015,0.266235538860103,0.277740202072538,0.294334502590673,0.312356860103627,0.321822673575129,0.320611010103626,0.315331626943004
