story,story drift ratio
1,0.000906866
2,0.002479108
3,0.003780088
4,0.004937614
5,0.006123608
6,0.007325181
7,0.008382691
8,0.009311811
9,0.010173662
10,0.010976315
11,0.011682847
12,0.012302583
13,0.012872669
14,0.013393333
15,0.013833613
16,0.014194117
17,0.014490177
18,0.01472015
19,0.014875489
20,0.014970791
