Mode,Modal periods
1,2.663780162
2,0.46374015
3,0.170652638
4,0.087598471
5,0.053116629
6,0.03514629
7,0.025307283
8,0.019059689
9,0.014858501
10,0.011903001
11,0.009709535
12,0.008149369
13,0.006953134
14,0.0060255
15,0.005311316
16,0.004771391
17,0.004351046
18,0.00402198
19,0.003718922
20,0.003317634
