Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19,Mode 20
1,0.004658056,0.02854148,0.078576706,-0.151989247,0.249575079,-0.366511938,0.490737487,-0.577622541,0.680128713,-0.758167769,0.855636632,-0.938144511,0.961252835,-0.958758168,0.844845301,-0.871429278,0.728769164,-0.658372425,0.584413171,0.677303974
2,0.015863821,0.092077676,0.238744088,-0.428279742,0.642162644,-0.842562357,0.992096771,-1,0.972835221,-0.850224425,0.685097525,-0.46500328,0.188991464,0.086198289,-0.298618881,0.508671396,-0.572060809,0.630607567,-0.660506753,-0.93452321
3,0.033227743,0.181681535,0.438020477,-0.710122326,0.928164729,-1,0.8962323,-0.579980196,0.201840095,0.203837021,-0.581359529,0.845111334,-0.919248357,0.822482041,-0.536296996,0.29161666,0.006591278,-0.240628967,0.454576235,1
4,0.056276594,0.288069673,0.635892652,-0.899087093,0.945515078,-0.670866577,0.16928696,0.389506217,-0.812578836,0.949984659,-0.80016445,0.390705747,0.151733734,-0.615376201,0.780316623,-0.840507312,0.576365537,-0.297451045,-0.052153767,-0.870362848
5,0.085382026,0.403148189,0.790573522,-0.90724008,0.616344085,0.041094862,-0.692312985,0.952428422,-0.757734267,0.17147433,0.513208436,-0.937650664,0.872226742,-0.393208531,-0.212052124,0.699236932,-0.794610755,0.694029028,-0.363865787,0.67448826
6,0.120815354,0.517568596,0.864338317,-0.694252544,0.024873946,0.738823426,-0.970466202,0.454731641,0.367199137,-0.929909204,0.852941487,-0.171305656,-0.621771926,0.94569755,-0.566365758,-0.046338926,0.58803281,-0.833703945,0.702901043,-0.5022097
7,0.161959675,0.62124201,0.838700167,-0.306915285,-0.578725116,0.970500311,-0.409879154,-0.553226534,0.980226713,-0.465859496,-0.498663267,0.975048926,-0.507421419,-0.410266762,0.831312722,-0.632864721,-0.095782137,0.700076204,-0.923017943,0.36103961
8,0.208207719,0.705425669,0.711511137,0.159325987,-0.939736731,0.584714435,0.516774222,-0.949905746,0.215972034,0.80168015,-0.859530466,-0.125771303,0.931712383,-0.596439614,-0.363902556,0.895133533,-0.443388756,-0.346695983,1,-0.246347555
9,0.259234704,0.761195856,0.491406474,0.582728547,-0.884763468,-0.190718198,0.990997286,-0.25071985,-0.869206068,0.688558887,0.540777567,-0.940998862,-0.078938684,0.955215764,-0.41027615,-0.60281191,0.791368471,-0.098473344,-0.968104193,0.161775346
10,0.314684594,0.781055181,0.202950714,0.84432224,-0.41950738,-0.848808469,0.560776424,0.756955531,-0.692244265,-0.646444345,0.831498227,0.480428788,-0.888086356,-0.30621437,0.859879589,-0.039288863,-0.833309267,0.521007971,0.874895214,-0.104525301
11,0.373930433,0.761257248,-0.112956102,0.870812395,0.244610833,-0.938208626,-0.386040966,0.870279518,0.500663026,-0.831489129,-0.611551948,0.746756205,0.68552246,-0.654470076,-0.638322548,0.656696262,0.567035772,-0.833656262,-0.737820853,0.065689263
12,0.436373322,0.700329529,-0.411112769,0.655156684,0.809701741,-0.393006315,-0.993623553,-0.056960678,0.967743374,0.478438411,-0.778799781,-0.796388135,0.410913387,0.958089843,-0.070418487,-0.92123968,-0.100943732,0.986036634,0.57519439,-0.039370455
13,0.50162262,0.596172578,-0.6434379,0.247901861,1,0.434775233,-0.665480634,-0.927407708,-0.033493797,0.927804284,0.73312696,-0.391139542,-1,-0.335348222,0.730205462,0.734337281,-0.394005016,-1,-0.423888566,0.02278284
14,0.569277369,0.449033111,-0.767526675,-0.237383005,0.704043812,0.963781299,0.320179973,-0.647054475,-1,-0.351340204,0.655935792,1,0.38167402,-0.60229696,-0.906827236,-0.222375936,0.789625521,0.925084212,0.303057117,-0.013056606
15,0.638786679,0.264061977,-0.759858433,-0.649949007,0.065898981,0.805857469,1,0.44566351,-0.408561282,-0.966047951,-0.859109042,-0.123198486,0.682492355,0.993255464,0.50076324,-0.381299041,-1,-0.782201819,-0.207450683,0.00730238
16,0.709657585,0.047895633,-0.615387175,-0.860231482,-0.604880389,0.069000823,0.713947649,0.995907854,0.844130612,0.251166434,-0.474209483,-0.948458245,-0.962853601,-0.514096012,0.218602049,0.833541521,0.99697573,0.596103953,0.132643948,-0.0038897
17,0.781528992,-0.193720945,-0.337627468,-0.772835973,-0.951237087,-0.712029507,-0.288769154,0.259623506,0.752661464,1,1,0.684284837,0.175656921,-0.388733404,-0.814912695,-1,-0.84161406,-0.414616295,-0.0797345,0.001984976
18,0.854074537,-0.454049168,0.051746043,-0.371284727,-0.741654517,-0.907524525,-0.971074431,-0.813063171,-0.570396855,-0.213566115,0.17698326,0.531801393,0.81016871,1,1,0.882351133,0.607815405,0.261526501,0.044943107,-0.000977644
19,0.926971874,-0.724932795,0.51094165,0.259984814,-0.017509605,-0.284778016,-0.527987578,-0.696585507,-0.856774529,-0.926318108,-0.99579164,-0.984660707,-0.923681861,-0.843316651,-0.685595599,-0.52255325,-0.322757141,-0.12784339,-0.020397915,0.000403376
20,1,-1,1,1,0.9841007,0.86333125,0.815523484,0.709627339,0.645525923,0.551890772,0.489081846,0.415915917,0.344288507,0.283422029,0.21187206,0.151189691,0.088590246,0.033646942,0.005162268,-9.69E-05
