rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12
43,1,median,0.000598224711303839,0.000981099252172799,0.00121140375076173,0.00133976609785036,0.00140719083037259,0.00144453815869544,0.0014722529861548,0.0015018848242225,0.00153789482321113,0.00157721173334493,0.00160752361720614,0.00161464281743664
43,2,median,0.000598224711303839,0.000981099252172799,0.00121140375076173,0.00133976609785036,0.00140719083037259,0.00144453815869544,0.0014722529861548,0.0015018848242225,0.00153789482321113,0.00157721173334493,0.00160752361720614,0.00161464281743664
72,1,median,0.000878944170259273,0.00144148419790876,0.00177986004998287,0.00196845696770038,0.0020675210392138,0.0021223937582504,0.00216311388492665,0.00220665058749265,0.00225955842978676,0.00231732496517342,0.00236186082787845,0.00237232074272529
72,2,median,0.000878944170259273,0.00144148419790876,0.00177986004998287,0.00196845696770038,0.0020675210392138,0.0021223937582504,0.00216311388492665,0.00220665058749265,0.00225955842978676,0.00231732496517342,0.00236186082787845,0.00237232074272529
108,1,median,0.00116851685597156,0.00191638859425641,0.00236624411430122,0.00261697525831937,0.00274867649862734,0.00282162731768601,0.00287576289990901,0.00293364299346123,0.00300398159701044,0.00308077961512628,0.0031399880472736,0.00315389403496215
108,2,median,0.00116851685597156,0.00191638859425641,0.00236624411430122,0.00261697525831937,0.00274867649862734,0.00282162731768601,0.00287576289990901,0.00293364299346123,0.00300398159701044,0.00308077961512628,0.0031399880472736,0.00315389403496215
224,1,median,0.00297487648505263,0.00386869911072299,0.00386479370962846,0.00418390839934573,0.00428028864555255,0.00425960331495463,0.00418702697200323,0.00409945084623537,0.00401206498643487,0.00391754081742042,0.00378127788761256,0.00356296924016591
224,2,median,0.00297487648505263,0.00386869911072299,0.00386479370962846,0.00418390839934573,0.00428028864555255,0.00425960331495463,0.00418702697200323,0.00409945084623537,0.00401206498643487,0.00391754081742042,0.00378127788761256,0.00356296924016591
475,1,median,0.00509150762221282,0.00673136182435043,0.00603155271552181,0.00644467117641643,0.00648358196649164,0.0063199714498333,0.00605550512803463,0.00574779856712563,0.0054214571637905,0.00506736314755611,0.00463591184150131,0.00406885355680488
475,2,median,0.00509150762221282,0.00673136182435043,0.00603155271552181,0.00644467117641643,0.00648358196649164,0.0063199714498333,0.00605550512803463,0.00574779856712563,0.0054214571637905,0.00506736314755611,0.00463591184150131,0.00406885355680488
975,1,median,0.00763984990570898,0.00991730627357859,0.0085662794250646,0.00910929931974567,0.00910715939711011,0.0088071842058952,0.00835373862013364,0.00782867225917612,0.00726739371079918,0.00665814759924705,0.00593274529821534,0.00501085440675959
975,2,median,0.00763984990570898,0.00991730627357859,0.0085662794250646,0.00910929931974567,0.00910715939711011,0.0088071842058952,0.00835373862013364,0.00782867225917612,0.00726739371079918,0.00665814759924705,0.00593274529821534,0.00501085440675959
2475,1,median,0.012612299415636,0.015958831702369,0.0130494924834699,0.0137725198982394,0.0136324353101996,0.0130143158557945,0.0121380210475929,0.0111282880681696,0.0100401601854682,0.00885857599477907,0.00748505197107761,0.0058029253092126
2475,2,median,0.012612299415636,0.015958831702369,0.0130494924834699,0.0137725198982394,0.0136324353101996,0.0130143158557945,0.0121380210475929,0.0111282880681696,0.0100401601854682,0.00885857599477907,0.00748505197107761,0.0058029253092126
4975,1,median,0.0178860468866884,0.0222054002806038,0.0173787221214088,0.0182250818240611,0.0178854794084287,0.0168820424889512,0.0155075033559593,0.0139280384661471,0.0122181861298277,0.0103610718624366,0.0082315709732934,0.0056807063765235
4975,2,median,0.0178860468866884,0.0222054002806038,0.0173787221214088,0.0182250818240611,0.0178854794084287,0.0168820424889512,0.0155075033559593,0.0139280384661471,0.0122181861298277,0.0103610718624366,0.0082315709732934,0.0056807063765235
