rp,direction,ground_motion,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9,floor_10,floor_11,floor_12,floor_13
43,1,median,0.121981984893215,0.135059767545571,0.148137550197927,0.161215332850283,0.174293115502639,0.168964995050366,0.158743111351639,0.163129633939408,0.168214635161445,0.161262825867768,0.163410748824101,0.214309573873711,0.326089534726728
43,2,median,0.121981984893215,0.135059767545571,0.148137550197927,0.161215332850283,0.174293115502639,0.168964995050366,0.158743111351639,0.163129633939408,0.168214635161445,0.161262825867768,0.163410748824101,0.214309573873711,0.326089534726728
72,1,median,0.172258689266908,0.190726676160091,0.209194663053274,0.227662649946457,0.24613063683964,0.23860645163993,0.224171465282536,0.230365958937236,0.237546819670036,0.227729717923326,0.230762939537388,0.302640478634222,0.460492226658352
72,2,median,0.172258689266908,0.190726676160091,0.209194663053274,0.227662649946457,0.24613063683964,0.23860645163993,0.224171465282536,0.230365958937236,0.237546819670036,0.227729717923326,0.230762939537388,0.302640478634222,0.460492226658352
108,1,median,0.221743847200155,0.245517176029977,0.2692905048598,0.293063833689622,0.316837162519444,0.307151486979182,0.288569728213965,0.296543728598478,0.305787452046486,0.293150168441606,0.297054750747295,0.389580719187212,0.592778909322658
108,2,median,0.221743847200155,0.245517176029977,0.2692905048598,0.293063833689622,0.316837162519444,0.307151486979182,0.288569728213965,0.296543728598478,0.305787452046486,0.293150168441606,0.297054750747295,0.389580719187212,0.592778909322658
224,1,median,0.336031609788451,0.385299849518909,0.428624420372026,0.471487847884988,0.514313828667843,0.502502085746213,0.475423905997366,0.491700256802274,0.510040130825102,0.491674453972574,0.50082322714965,0.570769624952848,0.640716022756045
224,2,median,0.336031609788451,0.385299849518909,0.428624420372026,0.471487847884988,0.514313828667843,0.502502085746213,0.475423905997366,0.491700256802274,0.510040130825102,0.491674453972574,0.50082322714965,0.570769624952848,0.640716022756045
475,1,median,0.489513392549532,0.521014414414564,0.561932320997835,0.603580842587165,0.645288693110824,0.619366239575686,0.576633633601202,0.587594302736074,0.601137138544833,0.571995955249533,0.575495320648565,0.621083421715747,0.66667152278293
475,2,median,0.489513392549532,0.521014414414564,0.561932320997835,0.603580842587165,0.645288693110824,0.619366239575686,0.576633633601202,0.587594302736074,0.601137138544833,0.571995955249533,0.575495320648565,0.621083421715747,0.66667152278293
975,1,median,0.67209504632395,0.696324995660642,0.742021529019473,0.789383560989008,0.836880838274996,0.797173062402303,0.73694950211291,0.745976326706711,0.758348229282307,0.717210354775577,0.717372929454672,0.753241575927405,0.789110222400139
975,2,median,0.67209504632395,0.696324995660642,0.742021529019473,0.789383560989008,0.836880838274996,0.797173062402303,0.73694950211291,0.745976326706711,0.758348229282307,0.717210354775577,0.717372929454672,0.753241575927405,0.789110222400139
2475,1,median,0.949423792842038,0.958048128704498,1.00848906014524,1.06217435882057,1.11612311341866,1.05448918241663,0.967325828381481,0.971971120552478,0.981072288840831,0.921441906562627,0.915422917342287,0.961194063209401,1.00696520907652
2475,2,median,0.949423792842038,0.958048128704498,1.00848906014524,1.06217435882057,1.11612311341866,1.05448918241663,0.967325828381481,0.971971120552478,0.981072288840831,0.921441906562627,0.915422917342287,0.961194063209401,1.00696520907652
4975,1,median,1.17455043497451,1.16655645342418,1.21867159066678,1.2754503322228,1.33260777757187,1.2523199554247,1.14296535572316,1.14280320699814,1.14795706726477,1.07308091027284,1.06107987343469,1.11413386710643,1.16718786077816
4975,2,median,1.17455043497451,1.16655645342418,1.21867159066678,1.2754503322228,1.33260777757187,1.2523199554247,1.14296535572316,1.14280320699814,1.14795706726477,1.07308091027284,1.06107987343469,1.11413386710643,1.16718786077816
