Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12
1,0.013347492,0.07848422,0.22546755,0.401048295,-0.579582271,0.79966862,-0.898477471,0.953649876,-0.922871338,0.825320279,-0.786933693,0.713180445
2,0.04475596,0.237800279,0.599914684,0.893173454,-1,0.975494329,-0.622996283,0.177199718,0.262079028,-0.566227947,0.787771132,-0.955964486
3,0.092211926,0.434675821,0.914604659,1,-0.577636385,-0.093943065,0.725265864,-0.941012466,0.662137278,-0.127880398,-0.390902732,1
4,0.154929154,0.625986267,0.994153373,0.526212405,0.404783058,-1,0.648867661,0.225603786,-0.839845366,0.731679524,-0.195604117,-0.88313689
5,0.231840763,0.770043058,0.756294068,-0.297135651,0.951204231,-0.371705453,-0.744947775,0.848688454,0.10106515,-0.818532296,0.700537285,0.692578611
6,0.320349956,0.835188759,0.265383709,-0.939050506,0.458298581,0.864780257,-0.63455359,-0.687303004,0.749674757,0.387339951,-0.968290518,-0.482632659
7,0.41917933,0.788912369,-0.32172523,-0.912812816,-0.584087251,0.712023454,0.840996428,-0.431082385,-0.912541353,0.252773441,1,0.308827818
8,0.52680202,0.613321079,-0.776915375,-0.183176438,-0.950411364,-0.664729835,0.483063414,1,0.304801561,-0.778099755,-0.881189342,-0.188981884
9,0.640571334,0.321500065,-0.902000219,0.689628868,-0.168415665,-0.922116574,-0.970422981,-0.329041237,0.540132647,1,0.676439544,0.108305891
10,0.758480293,-0.06639982,-0.590851715,0.98229513,0.808083129,0.433776825,-0.207043183,-0.743691185,-1,-0.889552439,-0.446409679,-0.057084575
11,0.878787753,-0.519335461,0.106606514,0.34523244,0.649423702,0.943330376,1,0.939828581,0.771996353,0.5230566,0.223031178,0.0247194
12,1,-1,1,-0.907778862,-0.690550941,-0.63007147,-0.483922664,-0.361442099,-0.251023942,-0.151005981,-0.059402639,-0.006098553
