story,story drift ratio
1,0.001450111
2,0.003890797
3,0.005809744
4,0.007589317
5,0.00921941
6,0.010546341
7,0.011735252
8,0.012776833
9,0.013546728
10,0.014104335
11,0.014463658
12,0.014634615
