Modes,Modal periods
1,1.799537288
2,0.316040003
3,0.114870588
4,0.059077263
5,0.035188001
6,0.023781685
7,0.017045552
8,0.012915302
9,0.010230768
10,0.008473171
11,0.007335887
12,0.006283066
