id,x,y,z,mass,record_disp,record_accel,story,on_slab,primary_story,fix
6000,0,0,0,0,1,1,0,1,0,[111111]
6001,0,180,0,295.336787564767,1,1,1,1,1,[000000]
6002,240,180,0,590.673575129534,1,1,1,1,0,[000000]
6003,240,0,0,0,1,1,0,1,0,[111111]
6004,480,180,0,590.673575129534,1,1,1,1,0,[000000]
6005,480,0,0,0,1,1,0,1,0,[111111]
6006,720,180,0,295.336787564767,1,1,1,1,0,[000000]
6007,720,0,0,0,1,1,0,1,0,[111111]
6008,0,336,0,295.336787564767,1,1,2,1,1,[000000]
6009,240,336,0,590.673575129534,1,1,2,1,0,[000000]
6010,480,336,0,590.673575129534,1,1,2,1,0,[000000]
6011,720,336,0,295.336787564767,1,1,2,1,0,[000000]
6012,0,492,0,295.336787564767,1,1,3,1,1,[000000]
6013,240,492,0,590.673575129534,1,1,3,1,0,[000000]
6014,480,492,0,590.673575129534,1,1,3,1,0,[000000]
6015,720,492,0,295.336787564767,1,1,3,1,0,[000000]
6016,0,648,0,295.336787564767,1,1,4,1,1,[000000]
6017,240,648,0,590.673575129534,1,1,4,1,0,[000000]
6018,480,648,0,590.673575129534,1,1,4,1,0,[000000]
6019,720,648,0,295.336787564767,1,1,4,1,0,[000000]
6020,0,804,0,295.336787564767,1,1,5,1,1,[000000]
6021,240,804,0,590.673575129534,1,1,5,1,0,[000000]
6022,480,804,0,590.673575129534,1,1,5,1,0,[000000]
6023,720,804,0,295.336787564767,1,1,5,1,0,[000000]
6024,0,960,0,295.336787564767,1,1,6,1,1,[000000]
6025,240,960,0,590.673575129534,1,1,6,1,0,[000000]
6026,480,960,0,590.673575129534,1,1,6,1,0,[000000]
6027,720,960,0,295.336787564767,1,1,6,1,0,[000000]
6028,0,1116,0,295.336787564767,1,1,7,1,1,[000000]
6029,240,1116,0,590.673575129534,1,1,7,1,0,[000000]
6030,480,1116,0,590.673575129534,1,1,7,1,0,[000000]
6031,720,1116,0,295.336787564767,1,1,7,1,0,[000000]
6032,0,1272,0,229.274611398964,1,1,8,1,1,[000000]
6033,240,1272,0,458.549222797927,1,1,8,1,0,[000000]
6034,480,1272,0,458.549222797927,1,1,8,1,0,[000000]
6035,720,1272,0,229.274611398964,1,1,8,1,0,[000000]
6036,0,144,0,0,0,0,0,0,0,[000000]
6037,15,162,0,0,0,0,0,0,0,[000000]
6038,240,144,0,0,0,0,0,0,0,[000000]
6039,225,162,0,0,0,0,0,0,0,[000000]
6040,255,162,0,0,0,0,0,0,0,[000000]
6041,480,144,0,0,0,0,0,0,0,[000000]
6042,465,162,0,0,0,0,0,0,0,[000000]
6043,495,162,0,0,0,0,0,0,0,[000000]
6044,720,144,0,0,0,0,0,0,0,[000000]
6045,705,162,0,0,0,0,0,0,0,[000000]
6046,0,300,0,0,0,0,0,0,0,[000000]
6047,15,318,0,0,0,0,0,0,0,[000000]
6048,240,300,0,0,0,0,0,0,0,[000000]
6049,225,318,0,0,0,0,0,0,0,[000000]
6050,255,318,0,0,0,0,0,0,0,[000000]
6051,480,300,0,0,0,0,0,0,0,[000000]
6052,465,318,0,0,0,0,0,0,0,[000000]
6053,495,318,0,0,0,0,0,0,0,[000000]
6054,720,300,0,0,0,0,0,0,0,[000000]
6055,705,318,0,0,0,0,0,0,0,[000000]
6056,0,456,0,0,0,0,0,0,0,[000000]
6057,15,474,0,0,0,0,0,0,0,[000000]
6058,240,456,0,0,0,0,0,0,0,[000000]
6059,225,474,0,0,0,0,0,0,0,[000000]
6060,255,474,0,0,0,0,0,0,0,[000000]
6061,480,456,0,0,0,0,0,0,0,[000000]
6062,465,474,0,0,0,0,0,0,0,[000000]
6063,495,474,0,0,0,0,0,0,0,[000000]
6064,720,456,0,0,0,0,0,0,0,[000000]
6065,705,474,0,0,0,0,0,0,0,[000000]
6066,0,612,0,0,0,0,0,0,0,[000000]
6067,15,630,0,0,0,0,0,0,0,[000000]
6068,240,612,0,0,0,0,0,0,0,[000000]
6069,225,630,0,0,0,0,0,0,0,[000000]
6070,255,630,0,0,0,0,0,0,0,[000000]
6071,480,612,0,0,0,0,0,0,0,[000000]
6072,465,630,0,0,0,0,0,0,0,[000000]
6073,495,630,0,0,0,0,0,0,0,[000000]
6074,720,612,0,0,0,0,0,0,0,[000000]
6075,705,630,0,0,0,0,0,0,0,[000000]
6076,0,774,0,0,0,0,0,0,0,[000000]
6077,15,789,0,0,0,0,0,0,0,[000000]
6078,240,774,0,0,0,0,0,0,0,[000000]
6079,225,789,0,0,0,0,0,0,0,[000000]
6080,255,789,0,0,0,0,0,0,0,[000000]
6081,480,774,0,0,0,0,0,0,0,[000000]
6082,465,789,0,0,0,0,0,0,0,[000000]
6083,495,789,0,0,0,0,0,0,0,[000000]
