id,column_low,column_high,beam_left,beam_right,story,y_neg,y_pos,x_neg,x_pos,class
1,1,8,0,2,1,6036,6001,0,6037,d
2,3,10,2,4,1,6038,6002,6039,6040,b
3,5,12,4,6,1,6041,6004,6042,6043,b
4,7,14,6,0,1,6044,6006,6045,6045,d
5,8,15,0,9,2,6046,6008,0,6047,d
6,10,17,9,11,2,6048,6009,6049,6050,b
7,12,19,11,13,2,6051,6010,6052,6053,b
8,14,21,13,0,2,6054,6011,6055,6055,d
9,15,22,0,16,3,6056,6012,0,6057,d
10,17,24,16,18,3,6058,6013,6059,6060,b
11,19,26,18,20,3,6061,6014,6062,6063,b
12,21,28,20,0,3,6064,6015,6065,6065,d
13,22,29,0,23,4,6066,6016,0,6067,d
14,24,31,23,25,4,6068,6017,6069,6070,b
15,26,33,25,27,4,6071,6018,6072,6073,b
16,28,35,27,0,4,6074,6019,6075,6075,d
17,29,36,0,30,5,6076,6020,0,6077,d
18,31,38,30,32,5,6078,6021,6079,6080,b
19,33,40,32,34,5,6081,6022,6082,6083,b
20,35,42,34,0,5,6084,6023,6085,6085,d
21,36,43,0,37,6,6086,6024,0,6087,d
22,38,45,37,39,6,6088,6025,6089,6090,b
23,40,47,39,41,6,6091,6026,6092,6093,b
24,42,49,41,0,6,6094,6027,6095,6095,d
25,43,50,0,44,7,6096,6028,0,6097,d
26,45,52,44,46,7,6098,6029,6099,6100,b
27,47,54,46,48,7,6101,6030,6102,6103,b
28,49,56,48,0,7,6104,6031,6105,6105,d
29,50,0,0,51,8,6106,6032,0,6107,e
30,52,0,51,53,8,6108,6033,6109,6110,b
31,54,0,53,55,8,6111,6034,6112,6113,b
32,56,0,55,0,8,6114,6035,6115,6115,e
