rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8
43,1,1,0.000353928,0.000727594,0.000945188,0.00114351,0.001255,0.00131614,0.00134835,0.00135267
43,1,2,0.000591446,0.00113961,0.00158537,0.00202885,0.00214325,0.00222744,0.0022684,0.00227394
43,1,3,0.000294742,0.000600627,0.000879718,0.00117791,0.00135122,0.00143263,0.00148074,0.00149321
43,1,4,0.00039275,0.00061823,0.000916541,0.00116025,0.00126962,0.00132934,0.00136438,0.00136983
43,1,5,0.000437635,0.000629857,0.000754927,0.00114248,0.00119272,0.00125635,0.00129138,0.00129721
43,1,6,0.000667176,0.00104579,0.00141542,0.00183527,0.00215933,0.00218372,0.00222761,0.00223517
43,1,7,0.000453815,0.000730152,0.000918893,0.0012168,0.00126669,0.00131384,0.00134213,0.00134662
43,1,8,0.000320066,0.000485213,0.000625522,0.000757316,0.000859275,0.00090971,0.000937826,0.000942394
43,1,9,0.000586228,0.000997591,0.00136216,0.00184892,0.00203117,0.00208195,0.00212174,0.00212791
43,1,10,0.000957646,0.00152412,0.00190433,0.00241232,0.00327089,0.002987,0.00300459,0.00301294
43,1,11,0.000268572,0.000448466,0.000557933,0.000669182,0.000729748,0.000764967,0.000787022,0.000791397
43,1,12,0.000369303,0.000658461,0.000834875,0.00100456,0.00117192,0.00123641,0.0012753,0.00128204
43,1,13,0.000496732,0.000905355,0.00110607,0.00136998,0.00152657,0.00157703,0.00160633,0.0016106
43,1,14,0.000429575,0.000712371,0.000930322,0.00114081,0.00133805,0.00141479,0.00145034,0.00145685
43,1,15,0.000576798,0.000960713,0.00144877,0.00173729,0.00197626,0.00203816,0.002078,0.00208417
43,1,16,0.000437875,0.000766162,0.00116725,0.00145159,0.00151873,0.00160408,0.00164426,0.0016516
43,1,17,0.000284135,0.000477266,0.00061532,0.000701562,0.000757872,0.000790487,0.000809765,0.000813858
43,1,18,0.000321158,0.000523756,0.000664302,0.000794078,0.000854631,0.000897327,0.000919306,0.000926621
