exterior column,interior column,beam
W36X652,W36X652,W36X282
W36X652,W36X652,W36X282
W36X652,W36X652,W36X282
W36X652,W36X652,W36X282
W36X529,W36X529,W36X282
W36X529,W36X529,W36X282
W36X529,W36X529,W36X282
W36X529,W36X529,W36X282
W36X529,W36X529,W36X282
W36X529,W36X529,W36X282
W36X361,W36X361,W33X291
W36X361,W36X361,W33X291
W36X361,W36X361,W33X291
W36X361,W36X361,W33X291
W36X361,W36X361,W33X291
W36X282,W36X282,W33X201
W36X282,W36X282,W33X201
W36X282,W36X282,W33X201
W36X282,W36X282,W33X201
W36X282,W36X282,W33X201
