sa,rp,direction,gm,story_1,story_2,story_3,story_4
0.107,43,1,1,0.0016624,0.00239326923076923,0.00245953846153846,0.00206628205128205
0.107,43,1,2,0.00210902222222222,0.00273659615384615,0.00261149358974359,0.00227141025641026
0.107,43,1,3,0.00171680555555556,0.00240110897435897,0.00240352564102564,0.00198474358974359
0.107,43,1,4,0.00152101111111111,0.00229369871794872,0.00255458974358974,0.00220653846153846
0.107,43,1,5,0.00194171666666667,0.00272065384615385,0.00269632692307692,0.00217448717948718
0.107,43,1,6,0.00132512777777778,0.00187024358974359,0.00207771794871795,0.00182754487179487
0.107,43,1,7,0.00172053888888889,0.00211525,0.00265817948717949,0.00262991666666667
0.107,43,1,8,0.00200880555555556,0.00276266025641026,0.00264330769230769,0.00206269230769231
0.107,43,1,9,0.00203578333333333,0.00236089743589744,0.00227080769230769,0.00226514102564103
0.107,43,1,10,0.00131942777777778,0.0019251858974359,0.00205439743589744,0.0020306858974359
0.107,43,1,11,0.00148535,0.00215877564102564,0.00226961538461538,0.0019455641025641
0.107,43,1,12,0.00148182222222222,0.00215155769230769,0.00216211538461538,0.00226934615384615
0.107,43,1,13,0.00153262222222222,0.00201808974358974,0.00213639102564103,0.00197003205128205
0.107,43,1,14,0.00183505,0.00211414743589744,0.0027595,0.00286267307692308
0.107,43,1,15,0.00158205555555556,0.00230440384615385,0.00238530128205128,0.00212545512820513
0.107,43,1,16,0.00187417777777778,0.00247288461538462,0.00276867948717949,0.00235711538461538
0.107,43,1,17,0.00158322222222222,0.0020556858974359,0.00211869871794872,0.00183901923076923
0.107,43,1,18,0.00188287222222222,0.0019524358974359,0.00272821153846154,0.00290727564102564
0.107,43,1,19,0.00177382777777778,0.00248923076923077,0.00248771794871795,0.00218339743589744
0.107,43,1,20,0.00182643333333333,0.00247441666666667,0.00236309615384615,0.00190807692307692
0.107,43,1,21,0.00194096111111111,0.00263358974358974,0.0025048141025641,0.0019424358974359
0.107,43,1,22,0.00168860555555556,0.00233289743589744,0.00236432692307692,0.00196173076923077
0.107,43,1,23,0.00131142777777778,0.00198490384615385,0.00214869230769231,0.00186269871794872
0.107,43,1,24,0.00164547777777778,0.00231042948717949,0.00228348717948718,0.00185392948717949
0.107,43,1,25,0.00184124444444444,0.00258321153846154,0.00264586538461538,0.0021524358974359
