sa,rp,direction,gm,story_1,story_2,story_3,story_4
0.086,43,1,1,0.00168365,0.00254032051282051,0.00314471794871795,0.00291115384615385
0.086,43,1,2,0.00178093888888889,0.00237794230769231,0.002744,0.00252902564102564
0.086,43,1,3,0.00159922222222222,0.00229144871794872,0.00258657692307692,0.00206374358974359
0.086,43,1,4,0.00156830555555556,0.00232658333333333,0.00281566025641026,0.00228
0.086,43,1,5,0.00239796666666667,0.00263423717948718,0.00436315384615385,0.00485710256410256
0.086,43,1,6,0.00178918888888889,0.00243807692307692,0.0026513141025641,0.00293926282051282
0.086,43,1,7,0.00224290555555556,0.00272600641025641,0.00297792948717949,0.00302405128205128
0.086,43,1,8,0.00168420555555556,0.00228730128205128,0.00268921794871795,0.00309094230769231
0.086,43,1,9,0.00193651111111111,0.00277176923076923,0.00317539102564103,0.00326307692307692
0.086,43,1,10,0.00174358888888889,0.00236354487179487,0.00271573717948718,0.00241426923076923
0.086,43,1,11,0.00191983333333333,0.00233395512820513,0.00307711538461538,0.00302316666666667
0.086,43,1,12,0.0019821,0.00248204487179487,0.00294605769230769,0.00294247435897436
0.086,43,1,13,0.00165249444444444,0.00206551923076923,0.00277408974358974,0.00245151282051282
0.086,43,1,14,0.0017634,0.00234841025641026,0.00249203846153846,0.00195684615384615
0.086,43,1,15,0.00198783333333333,0.00257164743589744,0.00283305128205128,0.0025086282051282
0.086,43,1,16,0.00173498333333333,0.00254467307692308,0.00280936538461538,0.00229487179487179
0.086,43,1,17,0.00145487777777778,0.00230179487179487,0.00286064102564103,0.0022575641025641
0.086,43,1,18,0.00175259444444444,0.00246664102564103,0.00319324358974359,0.00296961538461538
0.086,43,1,19,0.00152758888888889,0.00236740384615385,0.00301116666666667,0.00251102564102564
0.086,43,1,20,0.00164962777777778,0.00242888461538462,0.00288084615384615,0.00223153846153846
0.086,43,1,21,0.00170374444444444,0.00249549358974359,0.00286844230769231,0.00219685897435897
0.086,43,1,22,0.00154528888888889,0.00220465384615385,0.00252824358974359,0.00188038461538461
0.086,43,1,23,0.00189453888888889,0.00261095512820513,0.00318149358974359,0.00311423717948718
0.086,43,1,24,0.00163203888888889,0.00223842307692308,0.00287130769230769,0.0024683141025641
0.086,43,1,25,0.00168583888888889,0.00227536538461538,0.00303767948717949,0.00258051923076923
0.086,43,1,26,0.00162008333333333,0.00244669871794872,0.00336117948717949,0.00316525641025641
0.086,43,1,27,0.0019433,0.00256699358974359,0.00280222435897436,0.00309158974358974
0.086,43,1,28,0.00178957222222222,0.00238398717948718,0.00340274358974359,0.00325371794871795
0.086,43,1,29,0.00163321666666667,0.00222186538461538,0.0027553141025641,0.0024053717948718
0.086,43,1,30,0.0017451,0.00243572435897436,0.00269300641025641,0.00210397435897436
0.086,43,1,31,0.00208227222222222,0.0026365641025641,0.00268609615384615,0.0025268141025641
0.086,43,1,32,0.00167213333333333,0.00230023717948718,0.00276794230769231,0.00235114743589744
0.086,43,1,33,0.00159173333333333,0.00231030128205128,0.00283039743589744,0.0022699358974359
0.086,43,1,34,0.0016592,0.00242595512820513,0.00279574358974359,0.00208467948717949
0.086,43,1,35,0.00198332222222222,0.00265246794871795,0.00297728205128205,0.00309958974358974
0.086,43,1,36,0.00178156666666667,0.00260717948717949,0.00307253205128205,0.00244019230769231
0.086,43,1,37,0.00176229444444444,0.00230662820512821,0.00322192948717949,0.00327382051282051
0.086,43,1,38,0.0016922,0.00213320512820513,0.00281007051282051,0.00278810897435897
0.086,43,1,39,0.00162010555555556,0.00217230769230769,0.00260816025641026,0.00250776282051282
0.086,43,1,40,0.00163971111111111,0.00236470512820513,0.00282819871794872,0.00239838461538461
0.086,43,1,41,0.00133083888888889,0.00190966025641026,0.00246819871794872,0.0020429358974359
