sa,rp,direction,gm,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8
0.063,43,1,1,0.00156131111111111,0.00199612820512821,0.00199551923076923,0.00192572435897436,0.00195653846153846,0.0017175641025641,0.00155948076923077,0.00136296794871795
0.063,43,1,2,0.00177946666666667,0.00211157051282051,0.00201323076923077,0.00185680769230769,0.00184653846153846,0.00163858974358974,0.00130692307692308,0.000872435897435897
0.063,43,1,3,0.00178752777777778,0.00223583974358974,0.00213275,0.00207870512820513,0.00222846153846154,0.00208801282051282,0.00159891025641026,0.00101525641025641
0.063,43,1,4,0.00203701111111111,0.0025101282051282,0.00229425641025641,0.00199583333333333,0.00217051282051282,0.0020774358974359,0.00152621794871795,0.000988205128205129
0.063,43,1,5,0.00183747777777778,0.00202792948717949,0.0018761858974359,0.00189999358974359,0.00238638461538462,0.00310601153846154,0.00332282051282051,0.00221435897435897
0.063,43,1,6,0.00156625555555556,0.00195391666666667,0.00184561538461539,0.00190016025641026,0.00247000641025641,0.00288089743589744,0.00236134615384615,0.0014425641025641
0.063,43,1,7,0.00156560555555556,0.00202186538461538,0.00207392948717949,0.00211446794871795,0.00238794871794872,0.00233121794871795,0.00179448717948718,0.00114230769230769
0.063,43,1,8,0.00188692222222222,0.00244988461538462,0.00240164743589744,0.00231448717948718,0.00248019230769231,0.00236205128205128,0.00180967948717949,0.00114410256410256
0.063,43,1,9,0.00182607777777778,0.00225657051282051,0.00218198717948718,0.0022011282051282,0.00261173076923077,0.0031545,0.00318910256410256,0.00225314102564102
0.063,43,1,10,0.00195863888888889,0.00228904487179487,0.00198428846153846,0.00188221794871795,0.00186282051282051,0.00180861538461538,0.00154769230769231,0.0010676282051282
0.063,43,1,11,0.00172763888888889,0.00199042307692308,0.00200467948717949,0.00200583333333333,0.00223198717948718,0.00232660256410256,0.00198660256410256,0.00149262820512821
0.063,43,1,12,0.00176742222222222,0.00214823076923077,0.00186764743589744,0.00209125641025641,0.00258961538461538,0.00265282051282051,0.00205538461538461,0.00128282051282051
0.063,43,1,13,0.00163972777777778,0.00198985256410256,0.00178630128205128,0.00192205128205128,0.00221307692307692,0.00210314102564103,0.00164173076923077,0.00110641025641026
0.063,43,1,14,0.00197899444444444,0.00235362820512821,0.00211785256410256,0.00193662820512821,0.00212294871794872,0.00213378205128205,0.00173641025641026,0.00118339743589744
