id,column_low,column_high,beam_left,beam_right,story,y_neg,y_pos,x_neg,x_pos,class
1,1,8,0,2,1,6084,6001,0,6085,d
2,3,10,2,4,1,6086,6002,6087,6088,b
3,5,12,4,6,1,6089,6004,6090,6091,b
4,7,14,6,0,1,6092,6006,6093,6093,d
5,8,15,0,9,2,6094,6008,0,6095,d
6,10,17,9,11,2,6096,6009,6097,6098,b
7,12,19,11,13,2,6099,6010,6100,6101,b
8,14,21,13,0,2,6102,6011,6103,6103,d
9,15,22,0,16,3,6104,6012,0,6105,d
10,17,24,16,18,3,6106,6013,6107,6108,b
11,19,26,18,20,3,6109,6014,6110,6111,b
12,21,28,20,0,3,6112,6015,6113,6113,d
13,22,29,0,23,4,6114,6016,0,6115,d
14,24,31,23,25,4,6116,6017,6117,6118,b
15,26,33,25,27,4,6119,6018,6120,6121,b
16,28,35,27,0,4,6122,6019,6123,6123,d
17,29,36,0,30,5,6124,6020,0,6125,d
18,31,38,30,32,5,6126,6021,6127,6128,b
19,33,40,32,34,5,6129,6022,6130,6131,b
20,35,42,34,0,5,6132,6023,6133,6133,d
21,36,43,0,37,6,6134,6024,0,6135,d
22,38,45,37,39,6,6136,6025,6137,6138,b
23,40,47,39,41,6,6139,6026,6140,6141,b
24,42,49,41,0,6,6142,6027,6143,6143,d
25,43,50,0,44,7,6144,6028,0,6145,d
26,45,52,44,46,7,6146,6029,6147,6148,b
27,47,54,46,48,7,6149,6030,6150,6151,b
28,49,56,48,0,7,6152,6031,6153,6153,d
29,50,57,0,51,8,6154,6032,0,6155,d
30,52,59,51,53,8,6156,6033,6157,6158,b
31,54,61,53,55,8,6159,6034,6160,6161,b
32,56,63,55,0,8,6162,6035,6163,6163,d
33,57,64,0,58,9,6164,6036,0,6165,d
34,59,66,58,60,9,6166,6037,6167,6168,b
35,61,68,60,62,9,6169,6038,6170,6171,b
36,63,70,62,0,9,6172,6039,6173,6173,d
37,64,71,0,65,10,6174,6040,0,6175,d
38,66,73,65,67,10,6176,6041,6177,6178,b
39,68,75,67,69,10,6179,6042,6180,6181,b
40,70,77,69,0,10,6182,6043,6183,6183,d
41,71,78,0,72,11,6184,6044,0,6185,d
42,73,80,72,74,11,6186,6045,6187,6188,b
43,75,82,74,76,11,6189,6046,6190,6191,b
44,77,84,76,0,11,6192,6047,6193,6193,d
45,78,85,0,79,12,6194,6048,0,6195,d
46,80,87,79,81,12,6196,6049,6197,6198,b
47,82,89,81,83,12,6199,6050,6200,6201,b
48,84,91,83,0,12,6202,6051,6203,6203,d
49,85,92,0,86,13,6204,6052,0,6205,d
50,87,94,86,88,13,6206,6053,6207,6208,b
51,89,96,88,90,13,6209,6054,6210,6211,b
52,91,98,90,0,13,6212,6055,6213,6213,d
53,92,99,0,93,14,6214,6056,0,6215,d
54,94,101,93,95,14,6216,6057,6217,6218,b
55,96,103,95,97,14,6219,6058,6220,6221,b
56,98,105,97,0,14,6222,6059,6223,6223,d
57,99,106,0,100,15,6224,6060,0,6225,d
58,101,108,100,102,15,6226,6061,6227,6228,b
59,103,110,102,104,15,6229,6062,6230,6231,b
60,105,112,104,0,15,6232,6063,6233,6233,d
61,106,113,0,107,16,6234,6064,0,6235,d
62,108,115,107,109,16,6236,6065,6237,6238,b
63,110,117,109,111,16,6239,6066,6240,6241,b
64,112,119,111,0,16,6242,6067,6243,6243,d
65,113,120,0,114,17,6244,6068,0,6245,d
66,115,122,114,116,17,6246,6069,6247,6248,b
67,117,124,116,118,17,6249,6070,6250,6251,b
68,119,126,118,0,17,6252,6071,6253,6253,d
69,120,127,0,121,18,6254,6072,0,6255,d
70,122,129,121,123,18,6256,6073,6257,6258,b
71,124,131,123,125,18,6259,6074,6260,6261,b
72,126,133,125,0,18,6262,6075,6263,6263,d
73,127,134,0,128,19,6264,6076,0,6265,d
74,129,136,128,130,19,6266,6077,6267,6268,b
75,131,138,130,132,19,6269,6078,6270,6271,b
76,133,140,132,0,19,6272,6079,6273,6273,d
77,134,0,0,135,20,6274,6080,0,6275,e
78,136,0,135,137,20,6276,6081,6277,6278,b
79,138,0,137,139,20,6279,6082,6280,6281,b
80,140,0,139,0,20,6282,6083,6283,6283,e
