sa,rp,direction,gm,floor_1,floor_2,floor_3,floor_4,floor_5
0.149,43,1,1,0.24089948758129,0.387088834196869,0.429472937823834,0.195650808290163,0.564740305699482
0.149,43,1,2,0.12725972420555,0.230946409326431,0.24891271502591,0.224602056994819,0.291384378238342
0.149,43,1,3,0.0695080351740167,0.296995062176166,0.357518378238342,0.391453870466321,0.389410347150259
0.149,43,1,4,0.0915007614570878,0.250784518134715,0.300659647668394,0.244936544041448,0.337220139896373
0.149,43,1,5,0.108878350314642,0.338027186528485,0.33117674611399,0.261067699481865,0.49412989119171
0.149,43,1,6,0.0756384540386668,0.455466277202073,0.468352787564768,0.484350658031088,0.495285777202072
0.149,43,1,7,0.0764678223299098,0.59255650777202,0.570233031088083,0.494932772020726,0.469946911917098
0.149,43,1,8,0.0503331354937372,0.484992562176166,0.482726015544041,0.517976533678757,0.533215134715026
0.149,43,1,9,0.131407308116237,0.524285512953368,0.442156544041451,0.354977196891192,0.471863497409329
0.149,43,1,10,0.141533347196894,0.34672314507772,0.320863176165802,0.277037590673575,0.418467196891194
0.149,43,1,11,0.101675160940948,0.463439595854913,0.519939595854913,0.419569383419689,0.474840564766839
0.149,43,1,12,0.129666656614056,0.516772031088083,0.493650269430052,0.464778212435226,0.666424663212435
0.149,43,1,13,0.0814051501115006,0.294878051813468,0.319315088082907,0.286333046632124,0.382952917098446
0.149,43,1,14,0.132427576491027,0.221779549222798,0.229733958549223,0.224683103626943,0.324534056994819
0.149,43,1,15,0.125094949254132,0.526806119170984,0.50942529015544,0.481622906735751,0.444246538860104
0.149,43,1,16,0.0847206651727582,0.381654756476689,0.381525025906736,0.372933419689119,0.390155041450777
0.149,43,1,17,0.0665050555399639,0.346909808290153,0.389275093264247,0.393628766839377,0.388645347150259
0.149,43,1,18,0.102011411958834,0.403136170984453,0.373956378238338,0.318294979274608,0.307409658031083
0.149,43,1,19,0.0770697883691088,0.215383108808313,0.247777404145078,0.27556398963731,0.343557450777197
0.149,43,1,20,0.0833799726731961,0.22050655440415,0.256217036269442,0.301379538860108,0.341907632124352
0.149,43,1,21,0.0669361442246787,0.281354404145078,0.27863418134715,0.299601632124352,0.348265435233161
0.149,43,1,22,0.062448214111312,0.335251950777202,0.354489238341969,0.397270585492228,0.433893124352332
0.149,43,1,23,0.0753392144125271,0.431098880829029,0.368469658031101,0.339430269430059,0.345064015544044
0.149,43,1,24,0.0881836853724258,0.474548435233172,0.444785922279808,0.407614160621782,0.387631518134748
0.149,43,1,25,0.124054053229368,0.576684378238335,0.557647072538857,0.409212642487047,0.530809792746114
0.149,43,1,26,0.148856044076132,0.42814741450777,0.382982367875642,0.352301870466321,0.42402596373057
0.149,43,1,27,0.169920029276674,0.495758284974093,0.429255015544041,0.34943770984456,0.358084352331607
0.149,43,1,28,0.0455186049959073,0.482640310880829,0.519126062176166,0.554215699481865,0.57471725388601
0.149,43,1,29,0.0508740380101179,0.353925031088083,0.344760186528497,0.325544383419689,0.34671121761658
0.149,43,1,30,0.0626117709173041,0.399394865284974,0.363583839378238,0.393087761658031,0.426057699481865
0.149,43,1,31,0.097278011594791,0.407685222797927,0.328808844559585,0.290515606217617,0.243337398963731
0.149,43,1,32,0.105680003289631,0.498643020725389,0.466574911917098,0.447234756476684,0.446056518134715
0.149,43,1,33,0.114614595475761,0.304526492227982,0.270711772020725,0.258833678756477,0.26338670984456
0.149,43,1,34,0.100429599844055,0.368728551813471,0.317229601036269,0.283137642487046,0.321139113989637
0.149,43,1,35,0.0665277449687605,0.295287409326425,0.293644274611399,0.308060124352332,0.365073077720207
0.149,43,1,36,0.0688338279517626,0.480285834196891,0.45677529015544,0.452725626943005,0.500465886010363
0.149,43,1,37,0.114637437325357,0.417565979274613,0.353350176165806,0.347634357512953,0.426959937823839
0.149,43,1,38,0.0997169293861279,0.31842777202073,0.32684192746114,0.304718134715027,0.366307295336788
0.149,43,1,39,0.0945520245186419,0.587533015544041,0.554320424870466,0.464275901554401,0.490195774611399
0.149,43,1,40,0.0823690048821502,0.552317176165804,0.530857215025909,0.469574507772022,0.489400756476684
0.149,43,1,41,0.0446372781251025,0.308874129533679,0.357646917098446,0.41942189119171,0.465332512953369
0.149,43,1,42,0.0453691318777586,0.245033238341969,0.255806010362694,0.295976616580311,0.329938015544041
0.149,43,1,43,0.064669026260123,0.200787196891195,0.214344492227979,0.224375424870469,0.256053880829019
0.149,43,1,44,0.0841195692934986,0.228106062176165,0.221164018134715,0.213616248704664,0.239199393782382
0.149,43,2,1,0.24089948758129,0.387088834196869,0.429472937823834,0.195650808290163,0.564740305699482
0.149,43,2,2,0.12725972420555,0.230946409326431,0.24891271502591,0.224602056994819,0.291384378238342
0.149,43,2,3,0.0695080351740167,0.296995062176166,0.357518378238342,0.391453870466321,0.389410347150259
0.149,43,2,4,0.0915007614570878,0.250784518134715,0.300659647668394,0.244936544041448,0.337220139896373
0.149,43,2,5,0.108878350314642,0.338027186528485,0.33117674611399,0.261067699481865,0.49412989119171
0.149,43,2,6,0.0756384540386668,0.455466277202073,0.468352787564768,0.484350658031088,0.495285777202072
0.149,43,2,7,0.0764678223299098,0.59255650777202,0.570233031088083,0.494932772020726,0.469946911917098
0.149,43,2,8,0.0503331354937372,0.484992562176166,0.482726015544041,0.517976533678757,0.533215134715026
0.149,43,2,9,0.131407308116237,0.524285512953368,0.442156544041451,0.354977196891192,0.471863497409329
0.149,43,2,10,0.141533347196894,0.34672314507772,0.320863176165802,0.277037590673575,0.418467196891194
0.149,43,2,11,0.101675160940948,0.463439595854913,0.519939595854913,0.419569383419689,0.474840564766839
0.149,43,2,12,0.129666656614056,0.516772031088083,0.493650269430052,0.464778212435226,0.666424663212435
0.149,43,2,13,0.0814051501115006,0.294878051813468,0.319315088082907,0.286333046632124,0.382952917098446
0.149,43,2,14,0.132427576491027,0.221779549222798,0.229733958549223,0.224683103626943,0.324534056994819
0.149,43,2,15,0.125094949254132,0.526806119170984,0.50942529015544,0.481622906735751,0.444246538860104
0.149,43,2,16,0.0847206651727582,0.381654756476689,0.381525025906736,0.372933419689119,0.390155041450777
0.149,43,2,17,0.0665050555399639,0.346909808290153,0.389275093264247,0.393628766839377,0.388645347150259
0.149,43,2,18,0.102011411958834,0.403136170984453,0.373956378238338,0.318294979274608,0.307409658031083
0.149,43,2,19,0.0770697883691088,0.215383108808313,0.247777404145078,0.27556398963731,0.343557450777197
0.149,43,2,20,0.0833799726731961,0.22050655440415,0.256217036269442,0.301379538860108,0.341907632124352
0.149,43,2,21,0.0669361442246787,0.281354404145078,0.27863418134715,0.299601632124352,0.348265435233161
0.149,43,2,22,0.062448214111312,0.335251950777202,0.354489238341969,0.397270585492228,0.433893124352332
0.149,43,2,23,0.0753392144125271,0.431098880829029,0.368469658031101,0.339430269430059,0.345064015544044
0.149,43,2,24,0.0881836853724258,0.474548435233172,0.444785922279808,0.407614160621782,0.387631518134748
0.149,43,2,25,0.124054053229368,0.576684378238335,0.557647072538857,0.409212642487047,0.530809792746114
0.149,43,2,26,0.148856044076132,0.42814741450777,0.382982367875642,0.352301870466321,0.42402596373057
0.149,43,2,27,0.169920029276674,0.495758284974093,0.429255015544041,0.34943770984456,0.358084352331607
0.149,43,2,28,0.0455186049959073,0.482640310880829,0.519126062176166,0.554215699481865,0.57471725388601
0.149,43,2,29,0.0508740380101179,0.353925031088083,0.344760186528497,0.325544383419689,0.34671121761658
0.149,43,2,30,0.0626117709173041,0.399394865284974,0.363583839378238,0.393087761658031,0.426057699481865
0.149,43,2,31,0.097278011594791,0.407685222797927,0.328808844559585,0.290515606217617,0.243337398963731
0.149,43,2,32,0.105680003289631,0.498643020725389,0.466574911917098,0.447234756476684,0.446056518134715
0.149,43,2,33,0.114614595475761,0.304526492227982,0.270711772020725,0.258833678756477,0.26338670984456
0.149,43,2,34,0.100429599844055,0.368728551813471,0.317229601036269,0.283137642487046,0.321139113989637
0.149,43,2,35,0.0665277449687605,0.295287409326425,0.293644274611399,0.308060124352332,0.365073077720207
0.149,43,2,36,0.0688338279517626,0.480285834196891,0.45677529015544,0.452725626943005,0.500465886010363
0.149,43,2,37,0.114637437325357,0.417565979274613,0.353350176165806,0.347634357512953,0.426959937823839
0.149,43,2,38,0.0997169293861279,0.31842777202073,0.32684192746114,0.304718134715027,0.366307295336788
0.149,43,2,39,0.0945520245186419,0.587533015544041,0.554320424870466,0.464275901554401,0.490195774611399
0.149,43,2,40,0.0823690048821502,0.552317176165804,0.530857215025909,0.469574507772022,0.489400756476684
0.149,43,2,41,0.0446372781251025,0.308874129533679,0.357646917098446,0.41942189119171,0.465332512953369
0.149,43,2,42,0.0453691318777586,0.245033238341969,0.255806010362694,0.295976616580311,0.329938015544041
0.149,43,2,43,0.064669026260123,0.200787196891195,0.214344492227979,0.224375424870469,0.256053880829019
0.149,43,2,44,0.0841195692934986,0.228106062176165,0.221164018134715,0.213616248704664,0.239199393782382
0.217,72,1,1,0.349294796528076,0.481918533678756,0.496370518134715,0.314565471502591,0.704486005181347
0.217,72,1,2,0.184521602428054,0.276330072538861,0.296724891191715,0.260090658031088,0.347337704663212
0.217,72,1,3,0.100783921323128,0.285442279792747,0.341805647668392,0.40027812953368,0.405210512953369
0.217,72,1,4,0.132672510748004,0.236781689119168,0.318160326424869,0.293773849740932,0.393598005181348
0.217,72,1,5,0.157869332148879,0.352941595854924,0.367573051813457,0.257131419689113,0.545742787564763
0.217,72,1,6,0.10967278792662,0.481263870466319,0.506533445595855,0.531986813471501,0.561054430051813
0.217,72,1,7,0.110875339378453,0.602555134715024,0.567290207253886,0.45810634715026,0.464357663212428
0.217,72,1,8,0.0729810698122485,0.486003735751295,0.488060134715026,0.555526274611399,0.573090523316062
0.217,72,1,9,0.190535436217042,0.523467119170984,0.45165748704663,0.349584761658031,0.540760129533683
0.217,72,1,10,0.205217795220068,0.362376974093266,0.319530896373057,0.304784,0.523954243523318
