id,type,node_1,node_2,direction,ele_side,element_id,story,ele_direction
60,rotational,6256,6095,primary,2,30,5,x
61,rotational,6257,6017,primary,1,31,5,x
62,rotational,6258,6094,primary,2,31,5,x
63,rotational,6259,6096,primary,1,32,5,x
64,rotational,6260,6098,primary,2,32,5,x
65,rotational,6261,6018,primary,1,33,5,x
66,rotational,6262,6097,primary,2,33,5,x
67,rotational,6263,6099,primary,1,34,5,x
68,rotational,6264,6101,primary,2,34,5,x
69,rotational,6265,6019,primary,1,35,5,x
70,rotational,6266,6100,primary,2,35,5,x
71,rotational,6267,6020,primary,1,36,6,x
72,rotational,6268,6102,primary,2,36,6,x
73,rotational,6269,6103,primary,1,37,6,x
74,rotational,6270,6105,primary,2,37,6,x
75,rotational,6271,6021,primary,1,38,6,x
76,rotational,6272,6104,primary,2,38,6,x
77,rotational,6273,6106,primary,1,39,6,x
78,rotational,6274,6108,primary,2,39,6,x
79,rotational,6275,6022,primary,1,40,6,x
80,rotational,6276,6107,primary,2,40,6,x
81,rotational,6277,6109,primary,1,41,6,x
82,rotational,6278,6111,primary,2,41,6,x
83,rotational,6279,6023,primary,1,42,6,x
84,rotational,6280,6110,primary,2,42,6,x
85,rotational,6281,6024,primary,1,43,7,x
86,rotational,6282,6112,primary,2,43,7,x
87,rotational,6283,6113,primary,1,44,7,x
88,rotational,6284,6115,primary,2,44,7,x
89,rotational,6285,6025,primary,1,45,7,x
90,rotational,6286,6114,primary,2,45,7,x
91,rotational,6287,6116,primary,1,46,7,x
92,rotational,6288,6118,primary,2,46,7,x
93,rotational,6289,6026,primary,1,47,7,x
94,rotational,6290,6117,primary,2,47,7,x
95,rotational,6291,6119,primary,1,48,7,x
96,rotational,6292,6121,primary,2,48,7,x
97,rotational,6293,6027,primary,1,49,7,x
98,rotational,6294,6120,primary,2,49,7,x
99,rotational,6295,6028,primary,1,50,8,x
100,rotational,6296,6122,primary,2,50,8,x
101,rotational,6297,6123,primary,1,51,8,x
102,rotational,6298,6125,primary,2,51,8,x
103,rotational,6299,6029,primary,1,52,8,x
104,rotational,6300,6124,primary,2,52,8,x
105,rotational,6301,6126,primary,1,53,8,x
106,rotational,6302,6128,primary,2,53,8,x
107,rotational,6303,6030,primary,1,54,8,x
108,rotational,6304,6127,primary,2,54,8,x
109,rotational,6305,6129,primary,1,55,8,x
110,rotational,6306,6131,primary,2,55,8,x
111,rotational,6307,6031,primary,1,56,8,x
112,rotational,6308,6130,primary,2,56,8,x
113,rotational,6309,6032,primary,1,57,9,x
114,rotational,6310,6132,primary,2,57,9,x
115,rotational,6311,6133,primary,1,58,9,x
116,rotational,6312,6135,primary,2,58,9,x
117,rotational,6313,6033,primary,1,59,9,x
118,rotational,6314,6134,primary,2,59,9,x
119,rotational,6315,6136,primary,1,60,9,x
120,rotational,6316,6138,primary,2,60,9,x
121,rotational,6317,6034,primary,1,61,9,x
122,rotational,6318,6137,primary,2,61,9,x
123,rotational,6319,6139,primary,1,62,9,x
124,rotational,6320,6141,primary,2,62,9,x
125,rotational,6321,6035,primary,1,63,9,x
126,rotational,6322,6140,primary,2,63,9,x
127,rotational,6323,6036,primary,1,64,10,x
128,rotational,6324,6142,primary,2,64,10,x
129,rotational,6325,6143,primary,1,65,10,x
130,rotational,6326,6145,primary,2,65,10,x
131,rotational,6327,6037,primary,1,66,10,x
132,rotational,6328,6144,primary,2,66,10,x
133,rotational,6329,6146,primary,1,67,10,x
134,rotational,6330,6148,primary,2,67,10,x
135,rotational,6331,6038,primary,1,68,10,x
136,rotational,6332,6147,primary,2,68,10,x
137,rotational,6333,6149,primary,1,69,10,x
138,rotational,6334,6151,primary,2,69,10,x
139,rotational,6335,6039,primary,1,70,10,x
140,rotational,6336,6150,primary,2,70,10,x
141,rotational,6337,6040,primary,1,71,11,x
142,rotational,6338,6152,primary,2,71,11,x
143,rotational,6339,6153,primary,1,72,11,x
144,rotational,6340,6155,primary,2,72,11,x
145,rotational,6341,6041,primary,1,73,11,x
146,rotational,6342,6154,primary,2,73,11,x
147,rotational,6343,6156,primary,1,74,11,x
148,rotational,6344,6158,primary,2,74,11,x
149,rotational,6345,6042,primary,1,75,11,x
150,rotational,6346,6157,primary,2,75,11,x
151,rotational,6347,6159,primary,1,76,11,x
152,rotational,6348,6161,primary,2,76,11,x
153,rotational,6349,6043,primary,1,77,11,x
154,rotational,6350,6160,primary,2,77,11,x
155,rotational,6351,6044,primary,1,78,12,x
156,rotational,6352,6162,primary,2,78,12,x
157,rotational,6353,6163,primary,1,79,12,x
158,rotational,6354,6165,primary,2,79,12,x
159,rotational,6355,6045,primary,1,80,12,x
160,rotational,6356,6164,primary,2,80,12,x
161,rotational,6357,6166,primary,1,81,12,x
162,rotational,6358,6168,primary,2,81,12,x
163,rotational,6359,6046,primary,1,82,12,x
164,rotational,6360,6167,primary,2,82,12,x
165,rotational,6361,6169,primary,1,83,12,x
166,rotational,6362,6171,primary,2,83,12,x
167,rotational,6363,6047,primary,1,84,12,x
168,rotational,6364,6170,primary,2,84,12,x
