id,type,node_1,node_2,direction,ele_side,element_id,story,ele_direction
1,rotational,6197,6000,primary,1,1,1,x
2,rotational,6198,6052,primary,2,1,1,x
3,rotational,6199,6053,primary,1,2,1,x
4,rotational,6200,6055,primary,2,2,1,x
5,rotational,6201,6003,primary,1,3,1,x
6,rotational,6202,6054,primary,2,3,1,x
7,rotational,6203,6056,primary,1,4,1,x
8,rotational,6204,6058,primary,2,4,1,x
9,rotational,6205,6005,primary,1,5,1,x
10,rotational,6206,6057,primary,2,5,1,x
11,rotational,6207,6059,primary,1,6,1,x
12,rotational,6208,6061,primary,2,6,1,x
13,rotational,6209,6007,primary,1,7,1,x
14,rotational,6210,6060,primary,2,7,1,x
15,rotational,6211,6001,primary,1,8,2,x
16,rotational,6212,6062,primary,2,8,2,x
17,rotational,6213,6063,primary,1,9,2,x
18,rotational,6214,6065,primary,2,9,2,x
19,rotational,6215,6002,primary,1,10,2,x
20,rotational,6216,6064,primary,2,10,2,x
21,rotational,6217,6066,primary,1,11,2,x
22,rotational,6218,6068,primary,2,11,2,x
23,rotational,6219,6004,primary,1,12,2,x
24,rotational,6220,6067,primary,2,12,2,x
25,rotational,6221,6069,primary,1,13,2,x
26,rotational,6222,6071,primary,2,13,2,x
27,rotational,6223,6006,primary,1,14,2,x
28,rotational,6224,6070,primary,2,14,2,x
29,rotational,6225,6008,primary,1,15,3,x
30,rotational,6226,6072,primary,2,15,3,x
31,rotational,6227,6073,primary,1,16,3,x
32,rotational,6228,6075,primary,2,16,3,x
33,rotational,6229,6009,primary,1,17,3,x
34,rotational,6230,6074,primary,2,17,3,x
35,rotational,6231,6076,primary,1,18,3,x
36,rotational,6232,6078,primary,2,18,3,x
37,rotational,6233,6010,primary,1,19,3,x
38,rotational,6234,6077,primary,2,19,3,x
39,rotational,6235,6079,primary,1,20,3,x
40,rotational,6236,6081,primary,2,20,3,x
41,rotational,6237,6011,primary,1,21,3,x
42,rotational,6238,6080,primary,2,21,3,x
43,rotational,6239,6012,primary,1,22,4,x
44,rotational,6240,6082,primary,2,22,4,x
45,rotational,6241,6083,primary,1,23,4,x
46,rotational,6242,6085,primary,2,23,4,x
47,rotational,6243,6013,primary,1,24,4,x
48,rotational,6244,6084,primary,2,24,4,x
49,rotational,6245,6086,primary,1,25,4,x
50,rotational,6246,6088,primary,2,25,4,x
51,rotational,6247,6014,primary,1,26,4,x
52,rotational,6248,6087,primary,2,26,4,x
53,rotational,6249,6089,primary,1,27,4,x
54,rotational,6250,6091,primary,2,27,4,x
55,rotational,6251,6015,primary,1,28,4,x
56,rotational,6252,6090,primary,2,28,4,x
57,rotational,6253,6016,primary,1,29,5,x
58,rotational,6254,6092,primary,2,29,5,x
59,rotational,6255,6093,primary,1,30,5,x
