id,x,y,z,mass,record_disp,record_accel,story,on_slab,primary_story,fix
6000,0,0,0,0,1,1,0,1,0,[111111]
6001,0,180,0,295.336787564767,1,1,1,1,1,[000000]
6002,240,180,0,590.673575129534,1,1,1,1,0,[000000]
6003,240,0,0,0,1,1,0,1,0,[111111]
6004,480,180,0,590.673575129534,1,1,1,1,0,[000000]
6005,480,0,0,0,1,1,0,1,0,[111111]
6006,720,180,0,295.336787564767,1,1,1,1,0,[000000]
6007,720,0,0,0,1,1,0,1,0,[111111]
6008,0,336,0,295.336787564767,1,1,2,1,1,[000000]
6009,240,336,0,590.673575129534,1,1,2,1,0,[000000]
6010,480,336,0,590.673575129534,1,1,2,1,0,[000000]
6011,720,336,0,295.336787564767,1,1,2,1,0,[000000]
6012,0,492,0,295.336787564767,1,1,3,1,1,[000000]
6013,240,492,0,590.673575129534,1,1,3,1,0,[000000]
6014,480,492,0,590.673575129534,1,1,3,1,0,[000000]
6015,720,492,0,295.336787564767,1,1,3,1,0,[000000]
6016,0,648,0,295.336787564767,1,1,4,1,1,[000000]
6017,240,648,0,590.673575129534,1,1,4,1,0,[000000]
6018,480,648,0,590.673575129534,1,1,4,1,0,[000000]
6019,720,648,0,295.336787564767,1,1,4,1,0,[000000]
6020,0,804,0,295.336787564767,1,1,5,1,1,[000000]
6021,240,804,0,590.673575129534,1,1,5,1,0,[000000]
6022,480,804,0,590.673575129534,1,1,5,1,0,[000000]
6023,720,804,0,295.336787564767,1,1,5,1,0,[000000]
6024,0,960,0,295.336787564767,1,1,6,1,1,[000000]
6025,240,960,0,590.673575129534,1,1,6,1,0,[000000]
6026,480,960,0,590.673575129534,1,1,6,1,0,[000000]
6027,720,960,0,295.336787564767,1,1,6,1,0,[000000]
6028,0,1116,0,295.336787564767,1,1,7,1,1,[000000]
6029,240,1116,0,590.673575129534,1,1,7,1,0,[000000]
6030,480,1116,0,590.673575129534,1,1,7,1,0,[000000]
6031,720,1116,0,295.336787564767,1,1,7,1,0,[000000]
6032,0,1272,0,229.274611398964,1,1,8,1,1,[000000]
6033,240,1272,0,458.549222797927,1,1,8,1,0,[000000]
6034,480,1272,0,458.549222797927,1,1,8,1,0,[000000]
6035,720,1272,0,229.274611398964,1,1,8,1,0,[000000]
6036,0,138,0,0,0,0,0,0,0,[000000]
6037,18,159,0,0,0,0,0,0,0,[000000]
6038,240,138,0,0,0,0,0,0,0,[000000]
6039,222,159,0,0,0,0,0,0,0,[000000]
6040,258,159,0,0,0,0,0,0,0,[000000]
6041,480,138,0,0,0,0,0,0,0,[000000]
6042,462,159,0,0,0,0,0,0,0,[000000]
6043,498,159,0,0,0,0,0,0,0,[000000]
6044,720,138,0,0,0,0,0,0,0,[000000]
6045,702,159,0,0,0,0,0,0,0,[000000]
6046,0,294,0,0,0,0,0,0,0,[000000]
6047,18,315,0,0,0,0,0,0,0,[000000]
6048,240,294,0,0,0,0,0,0,0,[000000]
6049,222,315,0,0,0,0,0,0,0,[000000]
6050,258,315,0,0,0,0,0,0,0,[000000]
6051,480,294,0,0,0,0,0,0,0,[000000]
6052,462,315,0,0,0,0,0,0,0,[000000]
6053,498,315,0,0,0,0,0,0,0,[000000]
6054,720,294,0,0,0,0,0,0,0,[000000]
6055,702,315,0,0,0,0,0,0,0,[000000]
6056,0,450,0,0,0,0,0,0,0,[000000]
6057,18,471,0,0,0,0,0,0,0,[000000]
6058,240,450,0,0,0,0,0,0,0,[000000]
6059,222,471,0,0,0,0,0,0,0,[000000]
6060,258,471,0,0,0,0,0,0,0,[000000]
6061,480,450,0,0,0,0,0,0,0,[000000]
6062,462,471,0,0,0,0,0,0,0,[000000]
6063,498,471,0,0,0,0,0,0,0,[000000]
6064,720,450,0,0,0,0,0,0,0,[000000]
6065,702,471,0,0,0,0,0,0,0,[000000]
6066,0,606,0,0,0,0,0,0,0,[000000]
6067,18,627,0,0,0,0,0,0,0,[000000]
6068,240,606,0,0,0,0,0,0,0,[000000]
6069,222,627,0,0,0,0,0,0,0,[000000]
6070,258,627,0,0,0,0,0,0,0,[000000]
6071,480,606,0,0,0,0,0,0,0,[000000]
6072,462,627,0,0,0,0,0,0,0,[000000]
6073,498,627,0,0,0,0,0,0,0,[000000]
6074,720,606,0,0,0,0,0,0,0,[000000]
6075,702,627,0,0,0,0,0,0,0,[000000]
6076,0,768,0,0,0,0,0,0,0,[000000]
6077,18,786,0,0,0,0,0,0,0,[000000]
6078,240,768,0,0,0,0,0,0,0,[000000]
6079,222,786,0,0,0,0,0,0,0,[000000]
6080,258,786,0,0,0,0,0,0,0,[000000]
6081,480,768,0,0,0,0,0,0,0,[000000]
6082,462,786,0,0,0,0,0,0,0,[000000]
6083,498,786,0,0,0,0,0,0,0,[000000]
