rp,direction,ground_motion,floor_1,floor_2,floor_3,floor_4,floor_5,floor_6,floor_7,floor_8,floor_9
43,1,1,0.070970725388601,0.0886873056994819,0.142126165803109,0.174881347150259,0.175856476683938,0.144337046632124,0.103826165803109,0.151070466321244,0.236916580310881
43,1,2,0.088149481865285,0.0973564766839378,0.188144300518135,0.240838341968912,0.240240414507772,0.176971761658031,0.10925,0.150902331606218,0.281544041450777
43,1,3,0.0894344559585492,0.136537046632124,0.231853886010363,0.295108808290155,0.327782383419689,0.250965284974093,0.121854922279793,0.254261917098446,0.366694300518135
43,1,4,0.105118393782383,0.122603626943005,0.173983419689119,0.16170103626943,0.15085932642487,0.112280310880829,0.108880051813472,0.120012694300518,0.205070984455959
43,1,5,0.12004170984456,0.157191191709845,0.223651554404145,0.217618911917098,0.228113989637306,0.253161658031088,0.196350777202073,0.156474870466321,0.300865284974093
43,1,6,0.135699222797927,0.121733678756477,0.142039637305699,0.141695595854922,0.127883678756477,0.108356994818653,0.0885862694300518,0.100905958549223,0.191827720207254
43,1,7,0.0760323834196891,0.0599041450777202,0.10194481865285,0.111524870466321,0.104596373056995,0.101649740932642,0.106251554404145,0.107541191709845,0.201417875647668
43,1,8,0.0964108808290155,0.122113730569948,0.176540932642487,0.156774093264249,0.166119948186528,0.186080310880829,0.221577720207254,0.186655699481865,0.298531088082902
43,1,9,0.0817761658031088,0.103510880829016,0.135988341968912,0.17514274611399,0.17700829015544,0.143391968911917,0.149049740932642,0.160889378238342,0.256516062176166
43,1,10,0.120775906735751,0.144523056994819,0.216358808290155,0.264181347150259,0.241299740932642,0.22649378238342,0.182929792746114,0.270704663212435,0.412709844559586
43,1,11,0.0967782383419689,0.108679015544041,0.152487305699482,0.205758808290155,0.190347150259067,0.164513471502591,0.238031865284974,0.171651295336788,0.27309585492228
43,1,12,0.100922020725389,0.152715025906736,0.208968652849741,0.165918652849741,0.147328756476684,0.195804922279793,0.206738601036269,0.133105440414508,0.240875647668394
43,1,13,0.138138341968912,0.175890414507772,0.171988860103627,0.20140103626943,0.1798,0.212095336787565,0.152066321243523,0.114161139896373,0.232783160621762
43,1,14,0.136354922279793,0.144510103626943,0.14665725388601,0.174297668393782,0.170766062176166,0.129860362694301,0.156857512953368,0.178873056994819,0.2735
