rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8
43,1,1,0.00180128,0.00243273,0.00259607,0.00266366,0.00332276,0.00385082,0.00367666,0.00284775
43,1,2,0.0024666,0.00334573,0.0035188,0.0034015,0.00347423,0.00355926,0.00375418,0.00305336
43,1,3,0.00362506,0.00471547,0.00431601,0.00325876,0.00484028,0.00600929,0.00573189,0.00440848
43,1,4,0.00148525,0.00204341,0.00220043,0.00224329,0.00227764,0.00263846,0.00253051,0.00200599
43,1,5,0.00272327,0.00366501,0.00362615,0.00306499,0.00325259,0.00372462,0.00372234,0.00297029
43,1,6,0.00174719,0.00223294,0.00251274,0.00283588,0.00297618,0.00282273,0.00267078,0.00215256
43,1,7,0.00149075,0.00211608,0.00235519,0.00242476,0.00268639,0.00283651,0.00268818,0.00219276
43,1,8,0.00331472,0.00468454,0.00505839,0.00526259,0.00552482,0.00535628,0.0046523,0.00361459
43,1,9,0.00261151,0.00349645,0.00357039,0.00347641,0.00408092,0.00434412,0.00402927,0.00310544
43,1,10,0.00341491,0.00458193,0.00477704,0.00585693,0.00710322,0.00738762,0.00650622,0.005037
43,1,11,0.00220176,0.00310676,0.00350694,0.00409672,0.00428134,0.00409884,0.00393128,0.00312453
43,1,12,0.00127123,0.00177231,0.00194219,0.00211961,0.00253518,0.0031388,0.00304837,0.0023736
43,1,13,0.00183767,0.00239224,0.00210466,0.00183546,0.00217101,0.00278545,0.00296006,0.00244472
43,1,14,0.00215531,0.00286241,0.00294017,0.00346387,0.00394341,0.00439881,0.00397809,0.00301376
43,1,15,0.00140002,0.00184359,0.00180603,0.00170721,0.00205064,0.00242659,0.0022622,0.00174226
43,1,16,0.0017184,0.00237268,0.0025188,0.00278443,0.00309551,0.00323642,0.00316389,0.00252081
43,1,17,0.00163731,0.00207138,0.00204715,0.0022211,0.0024175,0.00257659,0.00252789,0.00203244
43,1,18,0.00247391,0.00352019,0.00388925,0.00389847,0.00366539,0.00323057,0.00260934,0.00193453
43,1,19,0.000547422,0.000641107,0.000703569,0.000705963,0.000856242,0.000844123,0.000864885,0.00076091
43,1,20,0.00119659,0.00168622,0.00189472,0.00194913,0.00192017,0.00173555,0.00135951,0.00103342
43,1,21,0.0016008,0.00240005,0.00280191,0.00296549,0.0029638,0.00290616,0.00248558,0.0018481
43,1,22,0.00108267,0.00153425,0.00171804,0.00175616,0.00190549,0.00189069,0.00160436,0.00117165
43,1,23,0.00107909,0.00146442,0.00164143,0.00175667,0.00187341,0.00183736,0.00162918,0.00157727
43,1,24,0.00210623,0.00268315,0.00263458,0.00303237,0.00348542,0.00370759,0.00386198,0.00341052
43,1,25,0.00241124,0.00322589,0.00304749,0.00347392,0.00457281,0.00492987,0.00421436,0.00363298
43,1,26,0.00145191,0.00170091,0.00144074,0.00198806,0.00290932,0.00340111,0.00317825,0.00249909
43,1,27,0.00146568,0.00183484,0.00156023,0.00133554,0.00202791,0.0026159,0.00265506,0.00219237
43,1,28,0.00248902,0.00318479,0.00353318,0.00399013,0.00434193,0.00432582,0.00389516,0.00295517
43,1,29,0.0010293,0.00125178,0.00127832,0.00173154,0.00224134,0.00220517,0.00168162,0.00148873
43,1,30,0.0027741,0.00373145,0.00421766,0.00457993,0.00442186,0.00438465,0.0038401,0.00302305
43,1,31,0.00209739,0.00273577,0.00270571,0.00241937,0.00280613,0.00306652,0.00286557,0.00229004
43,1,32,0.00232971,0.00320621,0.003449,0.00339692,0.00315346,0.00290704,0.00239325,0.00179924
43,1,33,0.00161322,0.00227774,0.00233707,0.00212297,0.00203044,0.00245682,0.00258098,0.00216375
43,1,34,0.00164872,0.00225834,0.00249982,0.0027015,0.00307697,0.00341166,0.00312248,0.00241938
43,1,35,0.00167709,0.00217513,0.00200428,0.0021718,0.00255848,0.00263334,0.00289817,0.00249831
43,1,36,0.00143095,0.00158904,0.00146287,0.00138147,0.00223447,0.00234762,0.00243909,0.00209646
43,1,37,0.00122022,0.00169692,0.00182288,0.00179683,0.00165091,0.00156934,0.00136204,0.00105389
43,1,38,0.00112176,0.00152467,0.00176652,0.00197465,0.0021092,0.00212086,0.00185069,0.00139374
43,1,39,0.00173196,0.00215349,0.00201717,0.00156046,0.00219008,0.00257797,0.00276483,0.00242642
43,1,40,0.00203047,0.0025718,0.00260947,0.00242089,0.00289796,0.00316394,0.00304613,0.00244427
43,1,41,0.00188779,0.00217384,0.00202387,0.00233672,0.00295194,0.00294427,0.00257156,0.00246164
43,1,42,0.00137134,0.0018714,0.0020337,0.00199957,0.00222387,0.00229108,0.00208047,0.00158998
