rp,direction,ground_motion,story_1,story_2,story_3,story_4
43,1,1,0.00482568,0.00561459,0.00563676,0.00402912
43,1,2,0.00564853,0.00641707,0.00673072,0.00514254
43,1,3,0.00434557,0.00412347,0.00523808,0.00450754
43,1,4,0.00436162,0.00467452,0.00396432,0.00383922
43,1,5,0.00377817,0.00332879,0.00327451,0.00369732
43,1,6,0.00317832,0.00384649,0.00471034,0.00375173
43,1,7,0.00378393,0.00457987,0.00521788,0.00408425
43,1,8,0.00807637,0.00822266,0.00815013,0.00654847
43,1,9,0.00510077,0.00493457,0.00478216,0.00424172
43,1,10,0.00830967,0.00859187,0.007836,0.00633131
43,1,11,0.00607207,0.00634966,0.00609069,0.00481835
43,1,12,0.0036567,0.00333675,0.00388481,0.00439502
43,1,13,0.00608316,0.00376785,0.00743815,0.00818547
43,1,14,0.00438242,0.00344703,0.00524205,0.00597227
43,1,15,0.00387338,0.0037059,0.00506642,0.0044009
43,1,16,0.00402691,0.00431806,0.00524804,0.0045738
43,1,17,0.00276733,0.00319895,0.00317042,0.00232536
43,1,18,0.00594698,0.00698982,0.00704428,0.00531889
43,1,19,0.00157985,0.001535,0.00140347,0.00123064
43,1,20,0.00267181,0.00273145,0.00257971,0.00184273
43,1,21,0.00764525,0.00846231,0.00863949,0.00644949
43,1,22,0.00515776,0.00549777,0.00500096,0.00368108
43,1,23,0.00219091,0.0025152,0.00271251,0.00309437
43,1,24,0.00538952,0.00602429,0.00790291,0.00672451
43,1,25,0.0110685,0.0127162,0.0124076,0.00881036
43,1,26,0.00647534,0.00717155,0.0068528,0.00479061
43,1,27,0.00305803,0.00323659,0.00409951,0.00338076
43,1,28,0.00528095,0.00526376,0.00501374,0.00382918
43,1,29,0.0023399,0.00260361,0.00275714,0.0024711
43,1,30,0.00625332,0.00608616,0.00670387,0.00534356
43,1,31,0.00400321,0.00428241,0.00490191,0.00357455
43,1,32,0.00504489,0.00481872,0.00480949,0.00388334
43,1,33,0.00567148,0.00507152,0.00602575,0.00618024
43,1,34,0.00520083,0.00512052,0.00479469,0.00401213
43,1,35,0.00490632,0.00552076,0.00523912,0.00374074
43,1,36,0.0045705,0.00380646,0.00452626,0.00459453
43,1,37,0.00185882,0.00212725,0.0022451,0.00168828
43,1,38,0.00232905,0.00218608,0.0024713,0.00212074
43,1,39,0.00399082,0.00279137,0.00446984,0.00480112
43,1,40,0.00291242,0.00254044,0.00323946,0.00320824
43,1,41,0.00837005,0.00855566,0.00808903,0.00640798
43,1,42,0.00197005,0.00199625,0.00240538,0.00268619
43,1,43,0.00381982,0.00337759,0.0048502,0.00485633
43,1,44,0.00347122,0.0026122,0.00431943,0.0047167
43,2,1,0.00482568,0.00561459,0.00563676,0.00402912
43,2,2,0.00564853,0.00641707,0.00673072,0.00514254
43,2,3,0.00434557,0.00412347,0.00523808,0.00450754
43,2,4,0.00436162,0.00467452,0.00396432,0.00383922
43,2,5,0.00377817,0.00332879,0.00327451,0.00369732
43,2,6,0.00317832,0.00384649,0.00471034,0.00375173
43,2,7,0.00378393,0.00457987,0.00521788,0.00408425
43,2,8,0.00807637,0.00822266,0.00815013,0.00654847
43,2,9,0.00510077,0.00493457,0.00478216,0.00424172
43,2,10,0.00830967,0.00859187,0.007836,0.00633131
43,2,11,0.00607207,0.00634966,0.00609069,0.00481835
43,2,12,0.0036567,0.00333675,0.00388481,0.00439502
43,2,13,0.00608316,0.00376785,0.00743815,0.00818547
43,2,14,0.00438242,0.00344703,0.00524205,0.00597227
43,2,15,0.00387338,0.0037059,0.00506642,0.0044009
43,2,16,0.00402691,0.00431806,0.00524804,0.0045738
43,2,17,0.00276733,0.00319895,0.00317042,0.00232536
43,2,18,0.00594698,0.00698982,0.00704428,0.00531889
43,2,19,0.00157985,0.001535,0.00140347,0.00123064
43,2,20,0.00267181,0.00273145,0.00257971,0.00184273
43,2,21,0.00764525,0.00846231,0.00863949,0.00644949
43,2,22,0.00515776,0.00549777,0.00500096,0.00368108
