exterior column,interior column,beam
W36X182,W36X182,W33X169
W36X182,W36X182,W33X169
W36X170,W36X170,W30X148
W36X170,W36X170,W30X148
W36X160,W36X160,W30X108
W36X160,W36X160,W30X108
W36X150,W36X150,W30X108
W36X150,W36X150,W30X108
