sa,rp,direction,gm,story_1,story_2,story_3,story_4
0.149,43,1,1,0.00164191111111111,0.0017276858974359,0.00168704487179487,0.00151359615384615
0.149,43,1,2,0.00124802777777778,0.00166170512820513,0.00137621153846154,0.000884698717948718
0.149,43,1,3,0.00167036111111111,0.00205020512820513,0.00153001923076923,0.000929089743589744
0.149,43,1,4,0.0016767,0.00200157692307692,0.0015249358974359,0.00104180769230769
0.149,43,1,5,0.00146072222222222,0.00187314743589744,0.00185230769230769,0.00137008333333333
0.149,43,1,6,0.00146120555555556,0.00185597435897436,0.0014641282051282,0.00092898717948718
0.149,43,1,7,0.00136917777777778,0.00179392307692308,0.00147789743589744,0.000946096153846153
0.149,43,1,8,0.00156502222222222,0.00201461538461538,0.00158635897435897,0.000983814102564103
0.149,43,1,9,0.00160305555555556,0.00194425641025641,0.00163916025641026,0.00122498076923077
0.149,43,1,10,0.00143589444444444,0.00162477564102564,0.00150580769230769,0.00109810256410256
0.149,43,1,11,0.0016674,0.00206017307692308,0.00170201282051282,0.00122630128205128
0.149,43,1,12,0.00131342777777778,0.00176121794871795,0.00169680769230769,0.00129920512820513
0.149,43,1,13,0.00155773888888889,0.0019641858974359,0.00158309615384615,0.00106003846153846
0.149,43,1,14,0.00137501111111111,0.00183728846153846,0.00151022435897436,0.0010744358974359
0.149,43,1,15,0.00135562777777778,0.00185558974358974,0.00159838461538462,0.00107954487179487
0.149,43,1,16,0.00169733888888889,0.00220179487179487,0.00173583333333333,0.00109619871794872
0.149,43,1,17,0.0014471,0.00179586538461538,0.00140423076923077,0.000898448717948718
0.149,43,1,18,0.00138175,0.00160857692307692,0.00139899358974359,0.000920666666666667
0.149,43,1,19,0.00186016111111111,0.00233670512820513,0.00184812820512821,0.00126327564102564
0.149,43,1,20,0.00162226111111111,0.00198160256410256,0.00157295512820513,0.00101412179487179
0.149,43,1,21,0.00170454444444444,0.00217559615384615,0.00169910256410256,0.00104903205128205
0.149,43,1,22,0.00140922222222222,0.00182148076923077,0.00143580769230769,0.000914679487179487
0.149,43,1,23,0.00146083888888889,0.00183198717948718,0.00145866025641026,0.000952423076923077
0.149,43,1,24,0.0013905,0.00177810897435897,0.00142520512820513,0.000890224358974359
