Mode,Modal periods
1,3.646446681
2,0.639689426
3,0.23427823
4,0.119264649
5,0.072203743
6,0.047874305
7,0.034547262
8,0.025988549
9,0.020227699
10,0.016224481
11,0.013240452
12,0.011111301
13,0.00947681
14,0.008215435
15,0.007232074
16,0.006488513
17,0.005927847
18,0.005553031
19,0.005134992
20,0.00452552
