Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8,Mode 9,Mode 10,Mode 11,Mode 12,Mode 13,Mode 14,Mode 15,Mode 16,Mode 17,Mode 18,Mode 19,Mode 20
1,0.004561639,0.028177834,0.080033528,-0.155840454,0.246326683,-0.365085987,0.477331672,-0.575948314,0.661134003,-0.780892738,0.830125773,-0.916608092,0.955195457,-0.958648657,0.892650437,-0.953431801,0.652489487,-0.643884235,0.595795853,0.694330465
2,0.015535929,0.091004841,0.243544964,-0.439575758,0.634274077,-0.840409739,0.967549189,-1,0.948297357,-0.880918706,0.671681847,-0.462672938,0.196495343,0.076298076,-0.30852169,0.551612955,-0.506151197,0.59188574,-0.650320596,-0.949836776
3,0.032541985,0.179794897,0.44771793,-0.729958053,0.917958476,-1,0.879284128,-0.585205004,0.20090063,0.202515669,-0.557268272,0.821627819,-0.913490608,0.827526002,-0.573615055,0.326104193,-0.005386898,-0.180900872,0.405173201,1
4,0.055116962,0.285504766,0.651665637,-0.926438164,0.937623232,-0.675397465,0.17438103,0.384557508,-0.792183305,0.98493476,-0.787866012,0.396203163,0.137952482,-0.605408571,0.823530056,-0.923869363,0.525206767,-0.350232819,0.029272474,-0.847958414
5,0.083728999,0.400449884,0.812394302,-0.935824156,0.610746954,0.03802039,-0.672063749,0.954178342,-0.739608737,0.181419478,0.495587068,-0.919205653,0.873566619,-0.40251656,-0.223722084,0.774417907,-0.717175078,0.708563715,-0.451340249,0.636732494
6,0.118735336,0.515489003,0.89026229,-0.713634616,0.01848902,0.742040592,-0.95048359,0.453261136,0.368636533,-0.968783489,0.836210021,-0.170046956,-0.622352615,0.950379408,-0.594100506,-0.075564983,0.539177199,-0.798350905,0.774351205,-0.45962236
7,0.15951353,0.620452992,0.865748984,-0.309364765,-0.584663711,0.974119108,-0.401012234,-0.560692709,0.957254104,-0.473497106,-0.494225771,0.958250532,-0.494995014,-0.4244852,0.886958835,-0.666513735,-0.111789172,0.623294778,-0.963051171,0.32007753
8,0.205450731,0.706510392,0.736282415,0.176314191,-0.940817275,0.580063167,0.510974546,-0.95011167,0.185275522,0.848599736,-0.834874201,-0.141803102,0.93728609,-0.579774929,-0.421762999,0.989200877,-0.367166634,-0.251075452,1,-0.210850523
9,0.256258475,0.764419356,0.509761695,0.614707012,-0.873512357,-0.207009606,0.970904509,-0.228683,-0.868704449,0.691585516,0.555601279,-0.915862969,-0.121365884,0.971278811,-0.385218758,-0.733800555,0.699044676,-0.186094252,-0.931986385,0.133378269
10,0.311609682,0.786296154,0.211022724,0.87981232,-0.391540502,-0.864693224,0.53092733,0.781479809,-0.641018742,-0.712343022,0.791332317,0.515559225,-0.862152393,-0.371231288,0.902525967,0.083037661,-0.786571872,0.58266691,0.814202751,-0.08308449
11,0.370861055,0.768229104,-0.117042503,0.895819938,0.281813376,-0.932341703,-0.406428576,0.852886528,0.543037086,-0.82916871,-0.645824568,0.690293733,0.740249979,-0.593745848,-0.75105236,0.60755173,0.61372766,-0.863213207,-0.664885715,0.050294839
12,0.433397892,0.708626231,-0.426969361,0.658674632,0.839273767,-0.356410244,-0.981590211,-0.115253687,0.925013686,0.57255106,-0.714577541,-0.83507742,0.317548238,0.98788659,0.059312029,-1,-0.250391168,0.989982068,0.501658674,-0.02893369
13,0.49884929,0.604804305,-0.667417851,0.224837412,1,0.485184768,-0.612734872,-0.955099317,-0.129335757,0.922718578,0.787910275,-0.280637634,-1,-0.474251892,0.672376855,0.956188505,-0.174014362,-1,-0.359610597,0.016057712
14,0.566825127,0.456528924,-0.79260592,-0.280813745,0.662236134,0.986422954,0.379649215,-0.581690488,-1,-0.488790799,0.545425512,1,0.530042304,-0.455898541,-0.998873438,-0.548789349,0.563781837,0.951470833,0.2544713,-0.00890209
15,0.636747614,0.269093422,-0.777634654,-0.694004242,-0.00050633,0.770520531,1,0.535885953,-0.279865042,-0.961970293,-0.919168085,-0.284441168,0.534734868,1,0.745840486,-0.053401701,-0.856137261,-0.864952892,-0.178744304,0.004929403
16,0.708099548,0.049353203,-0.617513068,-0.876963278,-0.649039361,-0.002041384,0.630795304,0.966031514,0.887007566,0.409497302,-0.314052586,-0.838651424,-0.996498706,-0.701851638,-0.058844605,0.636633027,1,0.742649787,0.123459271,-0.002718568
17,0.780431776,-0.194920926,-0.326749124,-0.75739295,-0.943667627,-0.750746791,-0.351633445,0.163214879,0.64345585,1,1,0.760365557,0.334467667,-0.187220998,-0.662163026,-0.991594014,-0.970395372,-0.589687718,-0.082306134,0.001479417
18,0.853370805,-0.455801035,0.064731606,-0.345535642,-0.705463171,-0.893880654,-0.941858105,-0.818605652,-0.604407592,-0.308736052,0.074966979,0.415629959,0.709826448,0.921732048,1,0.992438431,0.773171777,0.412663917,0.050598903,-0.000769279
19,0.926626526,-0.726045421,0.51898177,0.277596059,0.011584882,-0.252455705,-0.475146763,-0.644957971,-0.797735847,-0.946939334,-0.958372657,-0.948882612,-0.917247565,-0.852695079,-0.736960186,-0.623865071,-0.433581096,-0.214915332,-0.024315853,0.000330062
20,1,-1,1,1,0.983020223,0.87956772,0.801941137,0.702029261,0.634203682,0.592227293,0.491920993,0.417257408,0.354672756,0.296503483,0.234817771,0.185555021,0.122244642,0.058425379,0.006343403,-8.10147E-05
