story,story drift ratio
1,0.001203434
2,0.003274102
3,0.004966506
4,0.006453231
5,0.007980764
6,0.009532
7,0.010884333
8,0.012064428
9,0.013162557
10,0.014194773
11,0.015111926
12,0.015928198
13,0.016697627
14,0.017421621
15,0.018052064
16,0.01858452
17,0.019014964
18,0.019343025
19,0.019575083
20,0.019726895
