Story,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8
1,0.032003446,0.206916912,0.501801139,0.816285031,-1,1,-0.90629309,0.532626259
2,0.105180923,0.554325329,1,0.967384491,-0.346150224,-0.436665183,0.970661535,-0.789089564
3,0.212026924,0.850952062,0.877192869,-0.128099496,0.953488067,-0.543234806,-0.572977666,0.959404142
4,0.34468549,0.949913755,0.13795297,-1,0.155876034,0.929491046,-0.12655352,-1
5,0.495790502,0.777658398,-0.664575841,-0.426584064,-0.987359012,-0.283906563,0.759759325,0.907032343
6,0.658763285,0.341737928,-0.887004796,0.737715927,0.006767798,-0.680940251,-1,-0.693391175
7,0.828152278,-0.284520985,-0.288201598,0.741109678,0.924254887,0.857224169,0.703161077,0.380048798
8,1,-1,0.841622976,-0.679727866,-0.493593135,-0.32901796,-0.219687285,-0.105967095
