Story,Mode 1,Mode 2,Mode 3,Mode 4
1,0.113231965,0.589798183,1,0.882716168
2,0.35046726,1,0.178132109,-1
3,0.660504931,0.481792195,-0.90940312,0.677615686
4,1,-0.775962382,0.448398513,-0.207899878
